ID;CaoSector;SectorBranchesSIC2008;Version;Periods;MonthlyCaoWagesExclSpecialPayments_1;MonthlyCaoWagesInclSpecialPayments_2;HourlyCaoWagesExclSpecialPayments_3;HourlyCaoWagesInclSpecialPayments_4;MonthlyContractualWageCosts_5;HourlyContractualWageCosts_6;ContractualWorkingHours_7;MonthlyCaoWagesExclSpecialPayments_8;MonthlyCaoWagesInclSpecialPayments_9;HourlyCaoWagesExclSpecialPayments_10;HourlyCaoWagesInclSpecialPayments_11;MonthlyContractualWageCosts_12;HourlyContractualWageCosts_13;ContractualWorkingHours_14;PercentageOfCaoSConcluded_15
0;Total collective labour agreement sector;A-U All economic activities;Current figures;1972 year;;;;;;;;;;;;;;;
1;Total collective labour agreement sector;A-U All economic activities;Current figures;1973 year;;;;;;;;11.8;12.0;;13.1;;;;
2;Total collective labour agreement sector;A-U All economic activities;Current figures;1974 year;;;;;;;;13.5;14.4;;14.8;;;;
3;Total collective labour agreement sector;A-U All economic activities;Current figures;1975 year;;;;;;;;12.6;12.4;;15.5;;;;
4;Total collective labour agreement sector;A-U All economic activities;Current figures;1976 year;;;;;;;;9.1;9.1;;9.4;;;;
5;Total collective labour agreement sector;A-U All economic activities;Current figures;1977 year;;;;;;;;7.0;7.6;;7.2;;;;
6;Total collective labour agreement sector;A-U All economic activities;Current figures;1978 year;;;;;;;;6.0;5.8;;6.3;;;;
7;Total collective labour agreement sector;A-U All economic activities;Current figures;1979 year;;;;;;;;4.5;5.0;;4.8;;;;
8;Total collective labour agreement sector;A-U All economic activities;Current figures;1980 year;;;;;;;;4.3;3.8;;4.1;;;;
9;Total collective labour agreement sector;A-U All economic activities;Current figures;1981 year;;;;;;;;3.1;2.6;;2.6;;;-0.5;
10;Total collective labour agreement sector;A-U All economic activities;Current figures;1982 year;;;;;;;;6.5;6.4;;6.6;;;-0.3;
11;Total collective labour agreement sector;A-U All economic activities;Current figures;1983 year;;;;;;;;0.8;1.0;;1.1;;;-0.9;
12;Total collective labour agreement sector;A-U All economic activities;Current figures;1984 year;;;;;;;;-0.4;-0.4;;0.1;;;-1.1;
13;Total collective labour agreement sector;A-U All economic activities;Current figures;1985 year;;;;;;;;0.4;0.7;;2.7;;;-1.7;
14;Total collective labour agreement sector;A-U All economic activities;Current figures;1986 year;;;;;;;;1.0;1.1;;2.2;;;-0.9;
15;Total collective labour agreement sector;A-U All economic activities;Current figures;1987 year;;;;;;;;0.8;0.7;;1.1;;;-0.5;
16;Total collective labour agreement sector;A-U All economic activities;Current figures;1988 year;;;;;;;;0.8;0.5;;0.8;;;-0.2;
17;Total collective labour agreement sector;A-U All economic activities;Current figures;1989 year;;;;;;;;1.6;1.6;;1.7;;;-0.2;
18;Total collective labour agreement sector;A-U All economic activities;Current figures;1990 year;;;;;;;;2.9;3.3;;3.3;;;-0.1;
19;Total collective labour agreement sector;A-U All economic activities;Current figures;1991 year;;;;;;;;3.9;3.5;4.0;3.7;;;-0.2;
20;Total collective labour agreement sector;A-U All economic activities;Current figures;1992 year;;;;;;;;3.9;3.9;4.1;4.2;;;-0.1;
21;Total collective labour agreement sector;A-U All economic activities;Current figures;1993 year;;;;;;;;3.2;3.2;3.3;3.2;;;-0.1;
22;Total collective labour agreement sector;A-U All economic activities;Current figures;1994 year;;;;;;;;1.4;1.4;1.3;1.5;;;0.1;
23;Total collective labour agreement sector;A-U All economic activities;Current figures;1995 year;;;;;;;;0.9;1.1;1.0;1.1;;;0.0;
24;Total collective labour agreement sector;A-U All economic activities;Current figures;1996 year;;;;;;;;1.6;1.7;1.7;1.8;;;-0.2;
25;Total collective labour agreement sector;A-U All economic activities;Current figures;1997 year;;;;;;;;2.0;2.0;2.9;3.0;;;-0.8;
26;Total collective labour agreement sector;A-U All economic activities;Current figures;1998 year;;;;;;;;2.8;2.8;3.3;3.3;;;-0.4;
27;Total collective labour agreement sector;A-U All economic activities;Current figures;1999 year;;;;;;;;3.0;3.0;3.3;3.3;;;-0.3;
28;Total collective labour agreement sector;A-U All economic activities;Current figures;2000 year;;;;;;;;3.2;3.2;3.2;3.3;;;0.0;
29;Total collective labour agreement sector;A-U All economic activities;Current figures;2001 year;;;;;;;;3.8;4.3;3.8;4.4;4.2;4.3;0.0;
30;Total collective labour agreement sector;A-U All economic activities;Current figures;2002 year;;;;;;;;3.4;3.7;3.4;3.6;4.3;4.3;0.0;
31;Total collective labour agreement sector;A-U All economic activities;Current figures;2003 year;;;;;;;;2.6;2.8;2.7;2.8;3.4;3.3;0.0;
32;Total collective labour agreement sector;A-U All economic activities;Current figures;2004 year;;;;;;;;1.3;1.2;1.3;1.3;2.4;2.5;0.0;
33;Total collective labour agreement sector;A-U All economic activities;Current figures;2005 year;;;;;;;;0.7;0.8;0.6;0.7;1.2;1.2;0.0;
34;Total collective labour agreement sector;A-U All economic activities;Current figures;2006 year;;;;;;;;1.6;2.1;1.6;2.0;1.1;1.0;0.1;
35;Total collective labour agreement sector;A-U All economic activities;Current figures;2007 year;;;;;;;;2.0;2.0;1.9;2.1;2.0;2.0;0.0;
36;Total collective labour agreement sector;A-U All economic activities;Current figures;2008 year;;;;;;;;3.1;3.5;3.0;3.3;4.0;3.8;0.0;
37;Total collective labour agreement sector;A-U All economic activities;Current figures;2009 year;;;;;;;;2.4;2.7;2.5;2.8;2.8;2.9;0.0;
38;Total collective labour agreement sector;A-U All economic activities;Current figures;2010 year;;;;;;;;1.1;1.1;1.2;1.3;1.4;1.5;-0.1;
39;Total collective labour agreement sector;A-U All economic activities;Current figures;2011 year;;;;;;;;1.1;1.1;1.1;1.1;1.5;1.4;0.0;
