ID;Geslacht;Leeftijd;DiagnosenGGZ;RegioS;Perioden;PrimaireDiagnosen_1;PrimaireOfNevendiagnosen_2;PrimaireDiagnosen_3;PrimaireOfNevendiagnosen_4
0;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Nederland;2015;697525.0;697525.0;5127.0;5127.0
1;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Nederland;2016;696675.0;696675.0;5079.0;5079.0
2;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Nederland;2017;698980.0;698980.0;5054.0;5054.0
3;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Noord-Nederland (LD);2015;81295.0;81295.0;5857.0;5857.0
4;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Noord-Nederland (LD);2016;80480.0;80480.0;5776.0;5776.0
5;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Noord-Nederland (LD);2017;74315.0;74315.0;5312.0;5312.0
6;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Oost-Nederland (LD);2015;129050.0;129050.0;4554.0;4554.0
7;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Oost-Nederland (LD);2016;128600.0;128600.0;4501.0;4501.0
8;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Oost-Nederland (LD);2017;134095.0;134095.0;4653.0;4653.0
9;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;West-Nederland (LD);2015;342070.0;342070.0;5315.0;5315.0
10;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;West-Nederland (LD);2016;341485.0;341485.0;5256.0;5256.0
11;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;West-Nederland (LD);2017;348990.0;348990.0;5319.0;5319.0
12;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Zuid-Nederland (LD);2015;145110.0;145110.0;4922.0;4922.0
13;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Zuid-Nederland (LD);2016;146115.0;146115.0;4924.0;4924.0
14;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Zuid-Nederland (LD);2017;141575.0;141575.0;4738.0;4738.0
