ID;ModesOfTravel;Population;Margins;RegionCharacteristics;Periods;TransportPerformance_1
0;Total;Population 6 years or older;Value;The Netherlands;2018;218.1
1;Total;Population 6 years or older;Value;The Netherlands;2019;218.8
2;Total;Population 6 years or older;Value;The Netherlands;2020;152.0
3;Total;Population 6 years or older;Value;The Netherlands;2021;168.4
4;Total;Population 6 years or older;Value;The Netherlands;2022;186.9
5;Total;Population 6 years or older;Value;The Netherlands;2023;199.3
6;Total;Population 6 years or older;Value;Noord-Nederland (LD);2018;25.0
7;Total;Population 6 years or older;Value;Noord-Nederland (LD);2019;25.1
8;Total;Population 6 years or older;Value;Noord-Nederland (LD);2020;17.1
9;Total;Population 6 years or older;Value;Noord-Nederland (LD);2021;19.4
10;Total;Population 6 years or older;Value;Noord-Nederland (LD);2022;21.6
11;Total;Population 6 years or older;Value;Noord-Nederland (LD);2023;22.0
12;Total;Population 6 years or older;Value;Oost-Nederland (LD);2018;49.3
13;Total;Population 6 years or older;Value;Oost-Nederland (LD);2019;49.8
14;Total;Population 6 years or older;Value;Oost-Nederland (LD);2020;35.1
15;Total;Population 6 years or older;Value;Oost-Nederland (LD);2021;38.7
16;Total;Population 6 years or older;Value;Oost-Nederland (LD);2022;43.1
17;Total;Population 6 years or older;Value;Oost-Nederland (LD);2023;45.6
18;Total;Population 6 years or older;Value;West-Nederland (LD);2018;98.7
19;Total;Population 6 years or older;Value;West-Nederland (LD);2019;99.6
20;Total;Population 6 years or older;Value;West-Nederland (LD);2020;68.4
21;Total;Population 6 years or older;Value;West-Nederland (LD);2021;76.1
22;Total;Population 6 years or older;Value;West-Nederland (LD);2022;82.8
23;Total;Population 6 years or older;Value;West-Nederland (LD);2023;89.4
24;Total;Population 6 years or older;Value;Zuid-Nederland (LD);2018;45.1
25;Total;Population 6 years or older;Value;Zuid-Nederland (LD);2019;44.4
26;Total;Population 6 years or older;Value;Zuid-Nederland (LD);2020;31.6
27;Total;Population 6 years or older;Value;Zuid-Nederland (LD);2021;34.1
28;Total;Population 6 years or older;Value;Zuid-Nederland (LD);2022;39.4
29;Total;Population 6 years or older;Value;Zuid-Nederland (LD);2023;42.3
30;Total;Population 6 years or older;Value;Groningen (PV);2018;7.8
31;Total;Population 6 years or older;Value;Groningen (PV);2019;8.1
32;Total;Population 6 years or older;Value;Groningen (PV);2020;5.5
33;Total;Population 6 years or older;Value;Groningen (PV);2021;6.3
34;Total;Population 6 years or older;Value;Groningen (PV);2022;7.0
35;Total;Population 6 years or older;Value;Groningen (PV);2023;6.7
36;Total;Population 6 years or older;Value;Fryslân (PV);2018;9.6
37;Total;Population 6 years or older;Value;Fryslân (PV);2019;10.0
38;Total;Population 6 years or older;Value;Fryslân (PV);2020;6.8
39;Total;Population 6 years or older;Value;Fryslân (PV);2021;7.5
40;Total;Population 6 years or older;Value;Fryslân (PV);2022;8.5
41;Total;Population 6 years or older;Value;Fryslân (PV);2023;8.5
42;Total;Population 6 years or older;Value;Drenthe (PV);2018;7.5
43;Total;Population 6 years or older;Value;Drenthe (PV);2019;7.0
44;Total;Population 6 years or older;Value;Drenthe (PV);2020;4.9
45;Total;Population 6 years or older;Value;Drenthe (PV);2021;5.6
46;Total;Population 6 years or older;Value;Drenthe (PV);2022;6.1
47;Total;Population 6 years or older;Value;Drenthe (PV);2023;6.8
48;Total;Population 6 years or older;Value;Overijssel (PV);2018;15.5
49;Total;Population 6 years or older;Value;Overijssel (PV);2019;15.7
50;Total;Population 6 years or older;Value;Overijssel (PV);2020;10.5
51;Total;Population 6 years or older;Value;Overijssel (PV);2021;11.7
52;Total;Population 6 years or older;Value;Overijssel (PV);2022;13.3
53;Total;Population 6 years or older;Value;Overijssel (PV);2023;14.1
54;Total;Population 6 years or older;Value;Flevoland (PV);2018;6.1
55;Total;Population 6 years or older;Value;Flevoland (PV);2019;6.1
56;Total;Population 6 years or older;Value;Flevoland (PV);2020;4.4
57;Total;Population 6 years or older;Value;Flevoland (PV);2021;4.9
58;Total;Population 6 years or older;Value;Flevoland (PV);2022;5.4
59;Total;Population 6 years or older;Value;Flevoland (PV);2023;5.6
60;Total;Population 6 years or older;Value;Gelderland (PV);2018;27.8
61;Total;Population 6 years or older;Value;Gelderland (PV);2019;28.0
62;Total;Population 6 years or older;Value;Gelderland (PV);2020;20.1
63;Total;Population 6 years or older;Value;Gelderland (PV);2021;22.1
64;Total;Population 6 years or older;Value;Gelderland (PV);2022;24.4
65;Total;Population 6 years or older;Value;Gelderland (PV);2023;26.0
66;Total;Population 6 years or older;Value;Utrecht (PV);2018;16.8
67;Total;Population 6 years or older;Value;Utrecht (PV);2019;18.8
68;Total;Population 6 years or older;Value;Utrecht (PV);2020;12.6
69;Total;Population 6 years or older;Value;Utrecht (PV);2021;13.6
70;Total;Population 6 years or older;Value;Utrecht (PV);2022;15.2
71;Total;Population 6 years or older;Value;Utrecht (PV);2023;16.6
72;Total;Population 6 years or older;Value;Noord-Holland (PV);2018;35.3
73;Total;Population 6 years or older;Value;Noord-Holland (PV);2019;33.1
74;Total;Population 6 years or older;Value;Noord-Holland (PV);2020;22.6
75;Total;Population 6 years or older;Value;Noord-Holland (PV);2021;25.4
76;Total;Population 6 years or older;Value;Noord-Holland (PV);2022;28.3
77;Total;Population 6 years or older;Value;Noord-Holland (PV);2023;29.7
78;Total;Population 6 years or older;Value;Zuid-Holland (PV);2018;42.2
79;Total;Population 6 years or older;Value;Zuid-Holland (PV);2019;42.7
80;Total;Population 6 years or older;Value;Zuid-Holland (PV);2020;29.3
81;Total;Population 6 years or older;Value;Zuid-Holland (PV);2021;32.8
82;Total;Population 6 years or older;Value;Zuid-Holland (PV);2022;35.0
83;Total;Population 6 years or older;Value;Zuid-Holland (PV);2023;38.5
84;Total;Population 6 years or older;Value;Zeeland (PV);2018;4.4
85;Total;Population 6 years or older;Value;Zeeland (PV);2019;5.0
86;Total;Population 6 years or older;Value;Zeeland (PV);2020;3.8
87;Total;Population 6 years or older;Value;Zeeland (PV);2021;4.4
88;Total;Population 6 years or older;Value;Zeeland (PV);2022;4.4
89;Total;Population 6 years or older;Value;Zeeland (PV);2023;4.6
90;Total;Population 6 years or older;Value;Noord-Brabant (PV);2018;32.2
91;Total;Population 6 years or older;Value;Noord-Brabant (PV);2019;32.0
92;Total;Population 6 years or older;Value;Noord-Brabant (PV);2020;22.2
93;Total;Population 6 years or older;Value;Noord-Brabant (PV);2021;24.2
94;Total;Population 6 years or older;Value;Noord-Brabant (PV);2022;28.2
95;Total;Population 6 years or older;Value;Noord-Brabant (PV);2023;30.9
96;Total;Population 6 years or older;Value;Limburg (PV);2018;12.9
97;Total;Population 6 years or older;Value;Limburg (PV);2019;12.4
98;Total;Population 6 years or older;Value;Limburg (PV);2020;9.4
99;Total;Population 6 years or older;Value;Limburg (PV);2021;9.9
100;Total;Population 6 years or older;Value;Limburg (PV);2022;11.2
101;Total;Population 6 years or older;Value;Limburg (PV);2023;11.3
102;Total;Population 6 years or older;Value;Extremely urbanised;2018;46.8
103;Total;Population 6 years or older;Value;Extremely urbanised;2019;46.2
104;Total;Population 6 years or older;Value;Extremely urbanised;2020;31.4
105;Total;Population 6 years or older;Value;Extremely urbanised;2021;36.3
106;Total;Population 6 years or older;Value;Extremely urbanised;2022;40.9
107;Total;Population 6 years or older;Value;Extremely urbanised;2023;43.9
108;Total;Population 6 years or older;Value;Strongly urbanised;2018;66.1
109;Total;Population 6 years or older;Value;Strongly urbanised;2019;66.6
110;Total;Population 6 years or older;Value;Strongly urbanised;2020;46.1
111;Total;Population 6 years or older;Value;Strongly urbanised;2021;50.8
112;Total;Population 6 years or older;Value;Strongly urbanised;2022;56.3
113;Total;Population 6 years or older;Value;Strongly urbanised;2023;59.8
114;Total;Population 6 years or older;Value;Moderately urbanised;2018;34.7
115;Total;Population 6 years or older;Value;Moderately urbanised;2019;35.6
116;Total;Population 6 years or older;Value;Moderately urbanised;2020;24.6
117;Total;Population 6 years or older;Value;Moderately urbanised;2021;25.6
118;Total;Population 6 years or older;Value;Moderately urbanised;2022;30.9
119;Total;Population 6 years or older;Value;Moderately urbanised;2023;33.7
120;Total;Population 6 years or older;Value;Hardly urbanised;2018;51.9
121;Total;Population 6 years or older;Value;Hardly urbanised;2019;50.6
122;Total;Population 6 years or older;Value;Hardly urbanised;2020;35.7
123;Total;Population 6 years or older;Value;Hardly urbanised;2021;40.7
124;Total;Population 6 years or older;Value;Hardly urbanised;2022;44.3
125;Total;Population 6 years or older;Value;Hardly urbanised;2023;45.6
126;Total;Population 6 years or older;Value;Not urbanised;2018;18.7
127;Total;Population 6 years or older;Value;Not urbanised;2019;20.0
128;Total;Population 6 years or older;Value;Not urbanised;2020;14.2
129;Total;Population 6 years or older;Value;Not urbanised;2021;14.9
130;Total;Population 6 years or older;Value;Not urbanised;2022;14.6
131;Total;Population 6 years or older;Value;Not urbanised;2023;16.2
132;Total;Population 6 years or older;Lower bound 95% confidence interval;The Netherlands;2018;214.6
133;Total;Population 6 years or older;Lower bound 95% confidence interval;The Netherlands;2019;215.0
134;Total;Population 6 years or older;Lower bound 95% confidence interval;The Netherlands;2020;149.4
135;Total;Population 6 years or older;Lower bound 95% confidence interval;The Netherlands;2021;165.5
136;Total;Population 6 years or older;Lower bound 95% confidence interval;The Netherlands;2022;183.9
137;Total;Population 6 years or older;Lower bound 95% confidence interval;The Netherlands;2023;196.2
138;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2018;23.6
139;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2019;23.4
140;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2020;16.0
141;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2021;18.2
142;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2022;20.2
143;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2023;20.7
144;Total;Population 6 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2018;47.5
145;Total;Population 6 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2019;47.7
146;Total;Population 6 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2020;33.6
147;Total;Population 6 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2021;37.2
148;Total;Population 6 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2022;41.5
149;Total;Population 6 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2023;44.0
150;Total;Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2018;96.3
151;Total;Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2019;97.0
152;Total;Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2020;66.6
153;Total;Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2021;74.4
154;Total;Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2022;80.9
155;Total;Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2023;87.4
156;Total;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;43.4
157;Total;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;42.6
158;Total;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;30.2
159;Total;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;32.7
160;Total;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;37.8
