ID;Herkomstgroepering;Geslacht;Leeftijd;Perioden;DigiDBezittersRelatief_1;DigiDBezittersAbsoluut_2;Bevolking_3
0;Totale bevolking;Mannen en vrouwen;Totale bevolking (alle leeftijden);2008 1 juli;41.2;6767770;16434955
1;Totale bevolking;Mannen en vrouwen;Totale bevolking (alle leeftijden);2009 1 januari;39.8;6560364;16485787
2;Totale bevolking;Mannen en vrouwen;0 jaar;2008 1 juli;0.2;418;182221
3;Totale bevolking;Mannen en vrouwen;0 jaar;2009 1 januari;0.2;419;184408
4;Totale bevolking;Mannen en vrouwen;1 jaar;2008 1 juli;0.3;514;182460
5;Totale bevolking;Mannen en vrouwen;1 jaar;2009 1 januari;0.3;470;181569
6;Totale bevolking;Mannen en vrouwen;2 jaar;2008 1 juli;0.2;326;185162
7;Totale bevolking;Mannen en vrouwen;2 jaar;2009 1 januari;0.1;231;185053
8;Totale bevolking;Mannen en vrouwen;3 jaar;2008 1 juli;0.2;323;190404
9;Totale bevolking;Mannen en vrouwen;3 jaar;2009 1 januari;0.1;209;187324
10;Totale bevolking;Mannen en vrouwen;4 jaar;2008 1 juli;0.1;275;196764
11;Totale bevolking;Mannen en vrouwen;4 jaar;2009 1 januari;0.1;190;193202
12;Totale bevolking;Mannen en vrouwen;5 jaar;2008 1 juli;0.2;334;201558
13;Totale bevolking;Mannen en vrouwen;5 jaar;2009 1 januari;0.1;179;199816
14;Totale bevolking;Mannen en vrouwen;6 jaar;2008 1 juli;0.1;281;199921
15;Totale bevolking;Mannen en vrouwen;6 jaar;2009 1 januari;0.1;233;200712
16;Totale bevolking;Mannen en vrouwen;7 jaar;2008 1 juli;0.2;326;204421
17;Totale bevolking;Mannen en vrouwen;7 jaar;2009 1 januari;0.1;240;202523
18;Totale bevolking;Mannen en vrouwen;8 jaar;2008 1 juli;0.2;335;204234
19;Totale bevolking;Mannen en vrouwen;8 jaar;2009 1 januari;0.1;260;206110
20;Totale bevolking;Mannen en vrouwen;9 jaar;2008 1 juli;0.2;370;201918
21;Totale bevolking;Mannen en vrouwen;9 jaar;2009 1 januari;0.2;309;201473
22;Totale bevolking;Mannen en vrouwen;10 jaar;2008 1 juli;0.2;452;194379
23;Totale bevolking;Mannen en vrouwen;10 jaar;2009 1 januari;0.2;334;200150
24;Totale bevolking;Mannen en vrouwen;11 jaar;2008 1 juli;0.3;593;195646
25;Totale bevolking;Mannen en vrouwen;11 jaar;2009 1 januari;0.2;369;194448
26;Totale bevolking;Mannen en vrouwen;12 jaar;2008 1 juli;0.6;1106;191628
27;Totale bevolking;Mannen en vrouwen;12 jaar;2009 1 januari;0.4;855;193216
28;Totale bevolking;Mannen en vrouwen;13 jaar;2008 1 juli;0.6;1224;195679
29;Totale bevolking;Mannen en vrouwen;13 jaar;2009 1 januari;0.4;858;193746
30;Totale bevolking;Mannen en vrouwen;14 jaar;2008 1 juli;0.6;1219;200491
31;Totale bevolking;Mannen en vrouwen;14 jaar;2009 1 januari;0.4;889;199308
32;Totale bevolking;Mannen en vrouwen;15 jaar;2008 1 juli;1.1;2176;198705
33;Totale bevolking;Mannen en vrouwen;15 jaar;2009 1 januari;0.7;1399;199068
34;Totale bevolking;Mannen en vrouwen;16 jaar;2008 1 juli;4.8;9677;203646
35;Totale bevolking;Mannen en vrouwen;16 jaar;2009 1 januari;2.6;5217;201494
36;Totale bevolking;Mannen en vrouwen;17 jaar;2008 1 juli;21.4;43797;204818
37;Totale bevolking;Mannen en vrouwen;17 jaar;2009 1 januari;17.8;36323;204621
38;Totale bevolking;Mannen en vrouwen;18 jaar;2008 1 juli;61.3;123511;201518
39;Totale bevolking;Mannen en vrouwen;18 jaar;2009 1 januari;67.9;139894;205908
40;Totale bevolking;Mannen en vrouwen;19 jaar;2008 1 juli;51.2;100275;196034
41;Totale bevolking;Mannen en vrouwen;19 jaar;2009 1 januari;59.1;117771;199436
42;Totale bevolking;Mannen en vrouwen;20 jaar;2008 1 juli;46.7;92709;198355
43;Totale bevolking;Mannen en vrouwen;20 jaar;2009 1 januari;50.1;99563;198920
44;Totale bevolking;Mannen en vrouwen;21 jaar;2008 1 juli;49.7;98785;198943
45;Totale bevolking;Mannen en vrouwen;21 jaar;2009 1 januari;51.8;104158;201112
46;Totale bevolking;Mannen en vrouwen;22 jaar;2008 1 juli;52.7;105132;199409
47;Totale bevolking;Mannen en vrouwen;22 jaar;2009 1 januari;54.5;109910;201497
48;Totale bevolking;Mannen en vrouwen;23 jaar;2008 1 juli;55.4;108042;195049
49;Totale bevolking;Mannen en vrouwen;23 jaar;2009 1 januari;56.4;111725;198198
50;Totale bevolking;Mannen en vrouwen;24 jaar;2008 1 juli;57.6;111997;194321
51;Totale bevolking;Mannen en vrouwen;24 jaar;2009 1 januari;57.7;113716;197132
52;Totale bevolking;Mannen en vrouwen;25 jaar;2008 1 juli;59.3;114118;192286
53;Totale bevolking;Mannen en vrouwen;25 jaar;2009 1 januari;58.8;113527;193216
54;Totale bevolking;Mannen en vrouwen;26 jaar;2008 1 juli;60.7;119574;197086
