ID;Geslacht;Leeftijd;BeroepenEnSpecialismen;Sector;Perioden;GemiddeldAantalWerkurenPerWeekSEC_1;MedischGeschooldenWerknemersSEC_2;MinderDan25UurPerWeek_3;MinderDan12UurPerWeek_4;k_12Tot20UurPerWeek_5;k_20Tot25UurPerWeek_6;k_25Tot35UurPerWeek_7;k_25Tot30UurPerWeek_8;k_30Tot35UurPerWeek_9;k_35Tot55UurPerWeek_10;k_35Tot40UurPerWeek_11;k_40Tot45UurPerWeek_12;k_45Tot50UurPerWeek_13;k_50Tot55UurPerWeek_14;MinderDan25UurPerWeek_15;MinderDan12UurPerWeek_16;k_12Tot20UurPerWeek_17;k_20Tot25UurPerWeek_18;k_25Tot35UurPerWeek_19;k_25Tot30UurPerWeek_20;k_30Tot35UurPerWeek_21;k_35Tot55UurPerWeek_22;k_35Tot40UurPerWeek_23;k_40Tot45UurPerWeek_24;k_45Tot50UurPerWeek_25;k_50Tot55UurPerWeek_26
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2013;29.1;275405;32.8;2.4;11.4;19.0;37.3;15.1;22.3;29.8;24.7;3.1;1.8;0.2;19.7;8.4;16.8;22.8;30.3;27.5;32.2;38.0;36.8;41.4;46.0;52.1
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2014;29.3;238570;31.5;1.7;10.4;19.4;39.5;16.1;23.4;29.0;24.3;2.7;1.9;0.1;20.2;8.8;17.0;22.9;30.3;27.5;32.2;38.0;36.8;41.4;45.9;52.1
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2015;29.4;245030;30.8;1.6;9.3;20.0;40.8;16.6;24.2;28.4;23.7;2.6;1.9;0.2;20.4;8.8;16.8;22.9;30.3;27.5;32.2;37.9;36.8;41.4;45.8;52.1
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2016;29.5;249845;30.2;1.4;8.8;20.0;41.9;17.3;24.6;27.9;23.1;2.8;1.8;0.3;20.5;8.7;16.8;22.9;30.3;27.5;32.2;38.1;36.9;41.4;46.2;52.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2017;29.5;255490;29.7;1.3;8.4;20.0;43.0;17.8;25.3;27.2;23.0;2.3;1.6;0.3;20.6;8.8;16.8;22.9;30.3;27.6;32.2;38.1;36.9;41.8;46.3;51.9
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2018;29.5;260600;29.4;1.3;8.0;20.1;43.9;18.0;25.9;26.7;22.2;2.5;1.6;0.3;20.7;8.8;16.8;23.0;30.3;27.6;32.2;38.1;36.9;41.7;46.3;51.9
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2019;29.7;258495;28.4;1.2;7.3;19.9;45.4;18.5;26.9;26.3;21.9;2.5;1.5;0.3;20.8;8.9;16.8;23.0;30.3;27.6;32.2;38.1;36.9;41.7;46.4;51.9
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2020;29.8;267560;27.8;1.1;6.9;19.9;46.3;18.7;27.6;25.9;21.6;2.6;1.4;0.3;20.9;8.8;16.7;23.1;30.4;27.6;32.2;38.1;36.9;41.7;46.4;52.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2021;29.8;274505;27.0;1.0;6.5;19.5;47.5;19.0;28.5;25.5;21.3;2.5;1.4;0.3;21.0;8.7;16.7;23.1;30.4;27.6;32.2;38.1;36.9;41.7;46.4;51.9
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2022;29.8;279285;26.9;1.1;6.2;19.7;48.2;19.2;29.0;24.9;20.9;2.5;1.3;0.3;21.1;8.7;16.7;23.1;30.4;27.6;32.2;38.1;36.9;41.8;46.4;51.9
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2023;29.9;275920;26.1;1.0;5.9;19.3;49.1;19.3;29.8;24.7;20.7;2.5;1.3;0.3;21.1;8.7;16.7;23.1;30.4;27.6;32.2;38.1;36.9;41.8;46.5;51.9
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2013;29.0;240945;33.3;2.1;11.5;19.7;38.2;15.3;22.9;28.5;23.9;2.4;1.9;0.2;19.9;8.7;16.9;22.9;30.3;27.5;32.2;37.9;36.7;41.6;46.0;52.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2014;29.2;217520;32.0;1.6;10.5;19.9;40.2;16.2;23.9;27.9;23.4;2.3;2.0;0.1;20.3;9.0;17.0;22.9;30.3;27.5;32.2;37.9;36.7;41.6;45.8;52.1
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2015;29.3;222500;31.3;1.5;9.3;20.6;41.5;16.8;24.7;27.2;22.8;2.2;2.0;0.1;20.4;8.9;16.8;22.9;30.3;27.6;32.2;37.9;36.7;41.6;45.8;52.1
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2016;29.4;226345;30.7;1.3;8.8;20.5;42.7;17.5;25.1;26.6;22.1;2.4;1.9;0.3;20.5;8.9;16.8;22.9;30.3;27.5;32.2;38.0;36.8;41.6;46.1;51.9
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2017;29.4;231315;30.3;1.2;8.5;20.6;43.8;18.1;25.7;25.9;21.7;2.2;1.7;0.3;20.7;9.0;16.8;22.9;30.3;27.5;32.2;38.0;36.8;41.9;46.3;51.9
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2018;29.4;235825;30.0;1.2;8.1;20.6;44.7;18.3;26.4;25.3;21.1;2.3;1.6;0.3;20.7;8.9;16.8;23.0;30.3;27.6;32.2;38.0;36.8;41.8;46.3;51.9
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2019;29.5;235155;28.9;1.1;7.4;20.4;46.2;18.8;27.4;24.9;20.7;2.3;1.6;0.3;20.9;9.1;16.8;23.0;30.3;27.6;32.2;38.0;36.8;41.8;46.3;51.9
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2020;29.6;242550;28.3;1.0;7.0;20.3;47.1;19.0;28.1;24.6;20.6;2.3;1.5;0.3;21.0;9.0;16.7;23.1;30.4;27.6;32.2;38.0;36.8;41.8;46.3;52.0
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2021;29.7;248090;27.4;0.9;6.5;20.0;48.3;19.3;29.1;24.3;20.3;2.3;1.4;0.3;21.1;8.8;16.8;23.1;30.4;27.6;32.2;38.0;36.8;41.8;46.3;51.9
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2022;29.7;250850;27.3;0.9;6.3;20.1;49.1;19.5;29.6;23.6;19.7;2.2;1.3;0.3;21.2;8.9;16.7;23.1;30.4;27.6;32.2;38.0;36.8;41.9;46.3;51.9
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2023;29.8;249700;26.6;0.9;5.9;19.7;50.0;19.6;30.4;23.4;19.5;2.3;1.4;0.3;21.2;8.9;16.7;23.1;30.4;27.6;32.2;38.1;36.8;41.9;46.4;51.9
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Universitair medische centra;2013;33.4;26360;17.8;0.8;4.5;12.6;33.7;10.1;23.6;48.5;33.1;4.2;10.5;0.6;20.8;8.7;16.9;23.0;30.8;27.6;32.2;39.7;37.2;42.4;46.0;52.1
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Universitair medische centra;2014;33.3;25395;17.5;0.6;4.1;12.8;34.8;10.3;24.5;47.7;33.7;3.1;10.8;0.1;21.1;8.7;16.9;23.0;30.8;27.6;32.1;39.5;37.2;42.1;45.9;
