ID;Geslacht;Leeftijden;TypeZorg;SamenstellingHuishoudens;Perioden;AantalInVerslagjaar_1;PercentageInVerslagjaar_2;TotaalUrenInVerslagjaar_3;GemiddeldPerPersoonInVerslagjaar_4;GemiddeldInBevolkingInVerslagjaar_5
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal huishoudens;2004;608095;4.77;89515;147;7.02
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal huishoudens;2005;595375;4.66;90493;152;7.08
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal huishoudens;2006;607575;4.74;95031;156;7.42
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal huishoudens;2007;610180;4.76;95279;156;7.43
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal huishoudens;2008;620190;4.79;96447;156;7.44
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal huishoudens;2009;620890;4.76;99194;160;7.6
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal huishoudens;2010;629155;4.79;101725;162;7.74
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Eénpersoonshuishoudens;2004;336500;14.16;57467;171;24.17
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Eénpersoonshuishoudens;2005;337605;14.07;59573;176;24.83
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Eénpersoonshuishoudens;2006;347905;14.24;63191;182;25.86
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Eénpersoonshuishoudens;2007;352480;14.27;63575;180;25.73
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Eénpersoonshuishoudens;2008;359320;14.25;64376;179;25.54
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Eénpersoonshuishoudens;2009;363075;14.14;66330;183;25.84
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Eénpersoonshuishoudens;2010;368155;14.11;68105;185;26.1
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal meerpers.huishoudens met kinderen;2004;73020;1.23;8045;110;1.36
15;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal meerpers.huishoudens met kinderen;2005;63575;1.07;7081;111;1.19
16;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal meerpers.huishoudens met kinderen;2006;61185;1.03;6891;113;1.16
17;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal meerpers.huishoudens met kinderen;2007;57950;0.98;6536;113;1.11
18;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal meerpers.huishoudens met kinderen;2008;56895;0.96;6389;112;1.08
19;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal meerpers.huishoudens met kinderen;2009;54165;0.91;6417;118;1.08
