ID;Zorgfuncties;Zorgaanbieders;Perioden;UitgavenAanZorgVoorIngezetenen_1
0;Totaal uitgaven zorg en welzijn;Totaal aanbieders zorg en welzijn;2005;67151
1;Totaal uitgaven zorg en welzijn;Totaal aanbieders zorg en welzijn;2006;70350
2;Totaal uitgaven zorg en welzijn;Totaal aanbieders zorg en welzijn;2007;74666
3;Totaal uitgaven zorg en welzijn;Totaal aanbieders zorg en welzijn;2008;79911
4;Totaal uitgaven zorg en welzijn;Totaal aanbieders zorg en welzijn;2009;84177
5;Totaal uitgaven zorg en welzijn;Totaal aanbieders zorg en welzijn;2010;87632
6;Totaal uitgaven zorg en welzijn;Totaal aanbieders zorg en welzijn;2011;89676
7;Totaal uitgaven zorg en welzijn;Totaal aanbieders zorg en welzijn;2012;92943
8;Totaal uitgaven zorg en welzijn;Totaal aanbieders zorg en welzijn;2013;93099
9;Totaal uitgaven zorg en welzijn;Totaal aanbieders zorg en welzijn;2014;94452
10;Totaal uitgaven zorg en welzijn;Totaal aanbieders zorg en welzijn;2015;94494
11;Totaal uitgaven zorg en welzijn;Totaal aanbieders zorg en welzijn;2016;96711
12;Totaal uitgaven zorg en welzijn;Totaal aanbieders gezondheidszorg;2005;61877
13;Totaal uitgaven zorg en welzijn;Totaal aanbieders gezondheidszorg;2006;64872
14;Totaal uitgaven zorg en welzijn;Totaal aanbieders gezondheidszorg;2007;68838
15;Totaal uitgaven zorg en welzijn;Totaal aanbieders gezondheidszorg;2008;73555
16;Totaal uitgaven zorg en welzijn;Totaal aanbieders gezondheidszorg;2009;77204
17;Totaal uitgaven zorg en welzijn;Totaal aanbieders gezondheidszorg;2010;80430
18;Totaal uitgaven zorg en welzijn;Totaal aanbieders gezondheidszorg;2011;82370
19;Totaal uitgaven zorg en welzijn;Totaal aanbieders gezondheidszorg;2012;85855
20;Totaal uitgaven zorg en welzijn;Totaal aanbieders gezondheidszorg;2013;86467
21;Totaal uitgaven zorg en welzijn;Totaal aanbieders gezondheidszorg;2014;87939
22;Totaal uitgaven zorg en welzijn;Totaal aanbieders gezondheidszorg;2015;87732
23;Totaal uitgaven zorg en welzijn;Totaal aanbieders gezondheidszorg;2016;89570
24;Totaal uitgaven zorg en welzijn;HP1: Ziekenhuizen;2005;18503
25;Totaal uitgaven zorg en welzijn;HP1: Ziekenhuizen;2006;19380
26;Totaal uitgaven zorg en welzijn;HP1: Ziekenhuizen;2007;20646
27;Totaal uitgaven zorg en welzijn;HP1: Ziekenhuizen;2008;22273
28;Totaal uitgaven zorg en welzijn;HP1: Ziekenhuizen;2009;23587
29;Totaal uitgaven zorg en welzijn;HP1: Ziekenhuizen;2010;25281
30;Totaal uitgaven zorg en welzijn;HP1: Ziekenhuizen;2011;25500
31;Totaal uitgaven zorg en welzijn;HP1: Ziekenhuizen;2012;26729
32;Totaal uitgaven zorg en welzijn;HP1: Ziekenhuizen;2013;27777
33;Totaal uitgaven zorg en welzijn;HP1: Ziekenhuizen;2014;27923
34;Totaal uitgaven zorg en welzijn;HP1: Ziekenhuizen;2015;30768
35;Totaal uitgaven zorg en welzijn;HP1: Ziekenhuizen;2016;31592
36;Totaal uitgaven zorg en welzijn;HP11:Algemene en academ. Ziekenhuizen;2005;13753
37;Totaal uitgaven zorg en welzijn;HP11:Algemene en academ. Ziekenhuizen;2006;14432
38;Totaal uitgaven zorg en welzijn;HP11:Algemene en academ. Ziekenhuizen;2007;15272
39;Totaal uitgaven zorg en welzijn;HP11:Algemene en academ. Ziekenhuizen;2008;16590
40;Totaal uitgaven zorg en welzijn;HP11:Algemene en academ. Ziekenhuizen;2009;17528
41;Totaal uitgaven zorg en welzijn;HP11:Algemene en academ. Ziekenhuizen;2010;19032
42;Totaal uitgaven zorg en welzijn;HP11:Algemene en academ. Ziekenhuizen;2011;19034
43;Totaal uitgaven zorg en welzijn;HP11:Algemene en academ. Ziekenhuizen;2012;19999
44;Totaal uitgaven zorg en welzijn;HP11:Algemene en academ. Ziekenhuizen;2013;20932
45;Totaal uitgaven zorg en welzijn;HP11:Algemene en academ. Ziekenhuizen;2014;21080
46;Totaal uitgaven zorg en welzijn;HP11:Algemene en academ. Ziekenhuizen;2015;23916
47;Totaal uitgaven zorg en welzijn;HP11:Algemene en academ. Ziekenhuizen;2016;24579
48;Totaal uitgaven zorg en welzijn;HP12: Geestelijke gez., verslavingszorg;2005;4004
49;Totaal uitgaven zorg en welzijn;HP12: Geestelijke gez., verslavingszorg;2006;4171
50;Totaal uitgaven zorg en welzijn;HP12: Geestelijke gez., verslavingszorg;2007;4515
51;Totaal uitgaven zorg en welzijn;HP12: Geestelijke gez., verslavingszorg;2008;4753
52;Totaal uitgaven zorg en welzijn;HP12: Geestelijke gez., verslavingszorg;2009;5113
53;Totaal uitgaven zorg en welzijn;HP12: Geestelijke gez., verslavingszorg;2010;5168
54;Totaal uitgaven zorg en welzijn;HP12: Geestelijke gez., verslavingszorg;2011;5384
55;Totaal uitgaven zorg en welzijn;HP12: Geestelijke gez., verslavingszorg;2012;5571
56;Totaal uitgaven zorg en welzijn;HP12: Geestelijke gez., verslavingszorg;2013;5630
57;Totaal uitgaven zorg en welzijn;HP12: Geestelijke gez., verslavingszorg;2014;5645
58;Totaal uitgaven zorg en welzijn;HP12: Geestelijke gez., verslavingszorg;2015;5589
59;Totaal uitgaven zorg en welzijn;HP12: Geestelijke gez., verslavingszorg;2016;5701
60;Totaal uitgaven zorg en welzijn;HP13: Categorale ziekenhuizen;2005;746
61;Totaal uitgaven zorg en welzijn;HP13: Categorale ziekenhuizen;2006;777
62;Totaal uitgaven zorg en welzijn;HP13: Categorale ziekenhuizen;2007;859
63;Totaal uitgaven zorg en welzijn;HP13: Categorale ziekenhuizen;2008;930
64;Totaal uitgaven zorg en welzijn;HP13: Categorale ziekenhuizen;2009;946
65;Totaal uitgaven zorg en welzijn;HP13: Categorale ziekenhuizen;2010;1081
66;Totaal uitgaven zorg en welzijn;HP13: Categorale ziekenhuizen;2011;1082
67;Totaal uitgaven zorg en welzijn;HP13: Categorale ziekenhuizen;2012;1159
68;Totaal uitgaven zorg en welzijn;HP13: Categorale ziekenhuizen;2013;1215
69;Totaal uitgaven zorg en welzijn;HP13: Categorale ziekenhuizen;2014;1197
70;Totaal uitgaven zorg en welzijn;HP13: Categorale ziekenhuizen;2015;1263
71;Totaal uitgaven zorg en welzijn;HP13: Categorale ziekenhuizen;2016;1312
72;Totaal uitgaven zorg en welzijn;HP2: Instellingen langdurige zorg;2005;17192
73;Totaal uitgaven zorg en welzijn;HP2: Instellingen langdurige zorg;2006;18091
74;Totaal uitgaven zorg en welzijn;HP2: Instellingen langdurige zorg;2007;18833
75;Totaal uitgaven zorg en welzijn;HP2: Instellingen langdurige zorg;2008;19928
76;Totaal uitgaven zorg en welzijn;HP2: Instellingen langdurige zorg;2009;20808
77;Totaal uitgaven zorg en welzijn;HP2: Instellingen langdurige zorg;2010;21503
78;Totaal uitgaven zorg en welzijn;HP2: Instellingen langdurige zorg;2011;22255
79;Totaal uitgaven zorg en welzijn;HP2: Instellingen langdurige zorg;2012;24470
80;Totaal uitgaven zorg en welzijn;HP2: Instellingen langdurige zorg;2013;24540
81;Totaal uitgaven zorg en welzijn;HP2: Instellingen langdurige zorg;2014;25169
82;Totaal uitgaven zorg en welzijn;HP2: Instellingen langdurige zorg;2015;24380
83;Totaal uitgaven zorg en welzijn;HP2: Instellingen langdurige zorg;2016;25027
84;Totaal uitgaven zorg en welzijn;HP21: Verpleeg-,verzorgingsh., thuiszorg;2005;12260
85;Totaal uitgaven zorg en welzijn;HP21: Verpleeg-,verzorgingsh., thuiszorg;2006;12957
86;Totaal uitgaven zorg en welzijn;HP21: Verpleeg-,verzorgingsh., thuiszorg;2007;13323
87;Totaal uitgaven zorg en welzijn;HP21: Verpleeg-,verzorgingsh., thuiszorg;2008;13993
88;Totaal uitgaven zorg en welzijn;HP21: Verpleeg-,verzorgingsh., thuiszorg;2009;14361
89;Totaal uitgaven zorg en welzijn;HP21: Verpleeg-,verzorgingsh., thuiszorg;2010;14782
90;Totaal uitgaven zorg en welzijn;HP21: Verpleeg-,verzorgingsh., thuiszorg;2011;15338
91;Totaal uitgaven zorg en welzijn;HP21: Verpleeg-,verzorgingsh., thuiszorg;2012;16677
92;Totaal uitgaven zorg en welzijn;HP21: Verpleeg-,verzorgingsh., thuiszorg;2013;16633
93;Totaal uitgaven zorg en welzijn;HP21: Verpleeg-,verzorgingsh., thuiszorg;2014;17022
94;Totaal uitgaven zorg en welzijn;HP21: Verpleeg-,verzorgingsh., thuiszorg;2015;16329
95;Totaal uitgaven zorg en welzijn;HP21: Verpleeg-,verzorgingsh., thuiszorg;2016;16572
96;Totaal uitgaven zorg en welzijn;HP29: Instellingen gehandicaptenzorg;2005;4932
97;Totaal uitgaven zorg en welzijn;HP29: Instellingen gehandicaptenzorg;2006;5134
98;Totaal uitgaven zorg en welzijn;HP29: Instellingen gehandicaptenzorg;2007;5509
99;Totaal uitgaven zorg en welzijn;HP29: Instellingen gehandicaptenzorg;2008;5934
100;Totaal uitgaven zorg en welzijn;HP29: Instellingen gehandicaptenzorg;2009;6447
101;Totaal uitgaven zorg en welzijn;HP29: Instellingen gehandicaptenzorg;2010;6721
102;Totaal uitgaven zorg en welzijn;HP29: Instellingen gehandicaptenzorg;2011;6917
103;Totaal uitgaven zorg en welzijn;HP29: Instellingen gehandicaptenzorg;2012;7793
104;Totaal uitgaven zorg en welzijn;HP29: Instellingen gehandicaptenzorg;2013;7908
105;Totaal uitgaven zorg en welzijn;HP29: Instellingen gehandicaptenzorg;2014;8147
106;Totaal uitgaven zorg en welzijn;HP29: Instellingen gehandicaptenzorg;2015;8052
107;Totaal uitgaven zorg en welzijn;HP29: Instellingen gehandicaptenzorg;2016;8454
108;Totaal uitgaven zorg en welzijn;HP3: Aanbieders ambulante zorg;2005;8827
109;Totaal uitgaven zorg en welzijn;HP3: Aanbieders ambulante zorg;2006;9483
110;Totaal uitgaven zorg en welzijn;HP3: Aanbieders ambulante zorg;2007;10048
111;Totaal uitgaven zorg en welzijn;HP3: Aanbieders ambulante zorg;2008;11097
112;Totaal uitgaven zorg en welzijn;HP3: Aanbieders ambulante zorg;2009;11652
113;Totaal uitgaven zorg en welzijn;HP3: Aanbieders ambulante zorg;2010;11516
114;Totaal uitgaven zorg en welzijn;HP3: Aanbieders ambulante zorg;2011;11932
115;Totaal uitgaven zorg en welzijn;HP3: Aanbieders ambulante zorg;2012;12264
116;Totaal uitgaven zorg en welzijn;HP3: Aanbieders ambulante zorg;2013;12181
117;Totaal uitgaven zorg en welzijn;HP3: Aanbieders ambulante zorg;2014;12506
118;Totaal uitgaven zorg en welzijn;HP3: Aanbieders ambulante zorg;2015;10602
119;Totaal uitgaven zorg en welzijn;HP3: Aanbieders ambulante zorg;2016;11045
120;Totaal uitgaven zorg en welzijn;HP31: Medische praktijken;2005;3935
121;Totaal uitgaven zorg en welzijn;HP31: Medische praktijken;2006;4190
122;Totaal uitgaven zorg en welzijn;HP31: Medische praktijken;2007;4423
123;Totaal uitgaven zorg en welzijn;HP31: Medische praktijken;2008;5052
124;Totaal uitgaven zorg en welzijn;HP31: Medische praktijken;2009;5291
125;Totaal uitgaven zorg en welzijn;HP31: Medische praktijken;2010;4904
126;Totaal uitgaven zorg en welzijn;HP31: Medische praktijken;2011;5039
127;Totaal uitgaven zorg en welzijn;HP31: Medische praktijken;2012;5220
128;Totaal uitgaven zorg en welzijn;HP31: Medische praktijken;2013;5325
129;Totaal uitgaven zorg en welzijn;HP31: Medische praktijken;2014;5497
130;Totaal uitgaven zorg en welzijn;HP31: Medische praktijken;2015;3488
131;Totaal uitgaven zorg en welzijn;HP31: Medische praktijken;2016;3616
132;Totaal uitgaven zorg en welzijn;HP32: Tandheelkundige praktijken;2005;2183
133;Totaal uitgaven zorg en welzijn;HP32: Tandheelkundige praktijken;2006;2284
134;Totaal uitgaven zorg en welzijn;HP32: Tandheelkundige praktijken;2007;2479
135;Totaal uitgaven zorg en welzijn;HP32: Tandheelkundige praktijken;2008;2672
136;Totaal uitgaven zorg en welzijn;HP32: Tandheelkundige praktijken;2009;2816
137;Totaal uitgaven zorg en welzijn;HP32: Tandheelkundige praktijken;2010;2923
138;Totaal uitgaven zorg en welzijn;HP32: Tandheelkundige praktijken;2011;3011
139;Totaal uitgaven zorg en welzijn;HP32: Tandheelkundige praktijken;2012;3129
140;Totaal uitgaven zorg en welzijn;HP32: Tandheelkundige praktijken;2013;2996
141;Totaal uitgaven zorg en welzijn;HP32: Tandheelkundige praktijken;2014;3053
142;Totaal uitgaven zorg en welzijn;HP32: Tandheelkundige praktijken;2015;3048
143;Totaal uitgaven zorg en welzijn;HP32: Tandheelkundige praktijken;2016;3191
144;Totaal uitgaven zorg en welzijn;HP33: Overige praktijken gezondheidszorg;2005;2505
145;Totaal uitgaven zorg en welzijn;HP33: Overige praktijken gezondheidszorg;2006;2734
146;Totaal uitgaven zorg en welzijn;HP33: Overige praktijken gezondheidszorg;2007;2930
147;Totaal uitgaven zorg en welzijn;HP33: Overige praktijken gezondheidszorg;2008;3143
148;Totaal uitgaven zorg en welzijn;HP33: Overige praktijken gezondheidszorg;2009;3283
149;Totaal uitgaven zorg en welzijn;HP33: Overige praktijken gezondheidszorg;2010;3386
150;Totaal uitgaven zorg en welzijn;HP33: Overige praktijken gezondheidszorg;2011;3553
151;Totaal uitgaven zorg en welzijn;HP33: Overige praktijken gezondheidszorg;2012;3571
