ID;Sectors;Periods;Total_1;Businesses_2;Government_3;HigherEducation_4;PrivateNonProfitOrganisations_5;TotalAbroad_6;BusinessesAbroad_7;OtherAbroad_8;CurrentCosts_9;RDInvestments_10;ExpenditureRDOutsourcedAbroad_11
0;All sectors;2013;14240;7894;4445;21;359;1520;900;620;13070;1170;2511
1;All sectors;2014;14595;8092;4565;26;352;1560;891;668;13350;1245;2756
2;All sectors;2015;14808;8058;4672;28;342;1708;1022;686;13535;1273;3033
3;All sectors;2016;15235;8506;4604;27;352;1747;1056;692;14082;1153;3435
4;All sectors;2017;16081;9072;4728;31;344;1906;1180;726;14840;1241;3225
5;All sectors;2018;16550;9388;4897;35;380;1849;1080;769;15401;1149;3259
6;All sectors;2019;17760;10229;5221;35;430;1845;1079;766;16565;1195;2814
7;All sectors;2020;18494;10520;5603;39;415;1915;1115;800;17314;1179;2912
8;All sectors;2021;19752;11164;6059;21;467;2040;1272;769;18393;1358;3227
9;All sectors;2022;21618;12611;6268;34;495;2210;1334;876;20206;1412;3708
10;Businesses;2013;9299;7514;634;15;48;1089;861;228;8593;706;2500
11;Businesses;2014;9444;7690;587;17;45;1106;872;233;8740;704;2743
12;Businesses;2015;9515;7643;597;17;48;1210;987;223;8714;801;3012
13;Businesses;2016;10008;8097;598;18;47;1247;1018;230;9197;812;3418
14;Businesses;2017;10667;8618;608;23;55;1363;1151;212;9820;847;3213
15;Businesses;2018;10998;8905;707;22;79;1285;1053;233;10191;807;3248
16;Businesses;2019;11846;9737;725;22;93;1270;1052;218;11038;809;2802
17;Businesses;2020;12314;10030;831;26;102;1324;1087;238;11574;740;2896
18;Businesses;2021;13048;10643;808;17;121;1460;1242;218;12197;851;3204
19;Businesses;2022;14806;12097;982;19;141;1567;1306;261;13943;863;3697
20;Institutions;2013;848;69;657;6;2;113;39;74;728;120;11
21;Institutions;2014;889;73;696;9;3;107;19;88;741;148;13
22;Institutions;2015;900;70;688;11;4;127;34;93;785;115;21
23;Institutions;2016;923;72;704;9;4;134;38;96;846;77;17
24;Institutions;2017;907;78;688;8;3;131;29;102;844;63;12
25;Institutions;2018;971;89;731;13;3;135;27;108;913;58;11
26;Institutions;2019;1014;84;774;13;11;131;27;104;962;52;12
27;Institutions;2020;1038;88;797;13;12;128;28;99;988;50;16
28;Institutions;2021;1080;98;846;5;20;111;29;82;1023;57;23
29;Institutions;2022;1034;102;785;16;11;121;28;93;977;58;10
30;Higher education;2013;4092;311;3154;0;309;318;0;318;3749;343;0
31;Higher education;2014;4262;329;3282;0;304;347;0;347;3869;393;0
32;Higher education;2015;4393;345;3388;0;290;370;0;370;4036;357;0
33;Higher education;2016;4304;336;3302;0;301;366;0;366;4039;265;0
34;Higher education;2017;4506;376;3433;0;286;412;0;412;4175;331;0
35;Higher education;2018;4581;394;3459;0;298;429;0;429;4297;284;0
36;Higher education;2019;4900;408;3722;0;326;444;0;444;4565;335;0
37;Higher education;2020;5142;402;3975;0;301;463;0;463;4752;389;0
38;Higher education;2021;5623;424;4405;0;325;469;0;469;5173;450;0
39;Higher education;2022;5778;413;4502;0;342;522;0;522;5287;492;0
