ID;Geslacht;Leeftijd;Migratieachtergrond;TypeClient;TypeDelict;Perioden;ClientenVanSlachtofferhulpNederland_1;ClientenVanSHNPer100000Inwoners_2
0;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2004;;
1;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2005;;
2;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2006;;
3;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2007;;
4;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2008;;
5;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2009;117560.0;710.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2010;132840.0;799.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2011;162130.0;970.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2012;187140.0;1116.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2013;187040.0;1112.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2014;182670.0;1082.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2015;186200.0;1098.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2016;189140.0;1109.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2017;180460.0;1052.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2018;171650.0;995.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2019;180490.0;1038.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2020;174390.0;999.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Alle delicten;2021;173380.0;987.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Geweldsdelicten;2004;;
19;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Geweldsdelicten;2005;;
20;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Geweldsdelicten;2006;;
21;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Geweldsdelicten;2007;;
22;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Geweldsdelicten;2008;;
23;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Geweldsdelicten;2009;52440.0;317.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Geweldsdelicten;2010;57660.0;347.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Alle cliënttypen;Geweldsdelicten;2011;67280.0;402.0
