ID;Geslacht;Leeftijd;Herkomstgroepering;InkomstenbronVoorInstroomNaUitstroom;Perioden;InstroomInArbeidAlsWerknemer_1;UitstroomUitArbeidAlsWerknemer_2
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;28 september 2001 tot 27 september 2002;616.3;564.4
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;27 september 2002 tot 26 september 2003;541.4;582.2
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;26 september 2003 tot 24 september 2004;522.6;607.2
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;24 september 2004 tot 30 september 2005;586.2;567.7
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;30 september 2005 tot 29 september 2006;672.0;640.6
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;29 september 2006 tot 28 september 2007;712.7;520.3
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;28 september 2007 tot 26 september 2008;663.5;571.7
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;26 september 2008 tot 25 september 2009;595.1;675.8
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;25 september 2009 tot 24 september 2010;639.4;627.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;24 september 2010 tot 30 september 2011;694.1;601.2
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;30 september 2011 tot 28 september 2012;596.6;657.7
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;28 september 2012 tot 27 september 2013;579.7;695.8
