ID;Geslacht;LeeftijdOp31December;BurgerlijkeStaat;Nationaliteit;Perioden;Immigratie_1;EmigratieInclusiefAdministratieveC_2;MigratiesaldoInclusiefAdministratie_3;AdministratieveOpnemingen_4;AdministratieveAfvoeringen_5;SaldoAdministratieveCorrecties_6
0;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;1995;96099.0;82195.0;13904.0;12173.0;31047.0;-18874.0
1;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;1996;108749.0;91945.0;16804.0;14181.0;40801.0;-26620.0
2;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;1997;109860.0;81973.0;27887.0;14866.0;34621.0;-19755.0
3;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;1998;122407.0;79289.0;43118.0;16379.0;35227.0;-18848.0
4;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;1999;119151.0;78779.0;40372.0;17235.0;36991.0;-19756.0
5;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2000;132850.0;78977.0;53873.0;18710.0;36486.0;-17776.0
6;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2001;133404.0;82566.0;50838.0;19161.0;38409.0;-19248.0
7;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2002;121250.0;96918.0;24332.0;21743.0;51933.0;-30190.0
8;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2003;104514.0;104831.0;-317.0;24872.0;60818.0;-35946.0
9;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2004;94019.0;110235.0;-16216.0;27960.0;63146.0;-35186.0
10;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2005;92297.0;119725.0;-27428.0;30491.0;66817.0;-36326.0
11;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2006;101150.0;132470.0;-31320.0;34251.0;75693.0;-41442.0
12;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2007;116819.0;122576.0;-5757.0;38733.0;70022.0;-31289.0
13;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2008;143516.0;117779.0;25737.0;42250.0;69962.0;-27712.0
14;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2009;146378.0;111897.0;34481.0;41653.0;68193.0;-26540.0
15;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2010;154432.0;121351.0;33081.0;39973.0;69874.0;-29901.0
16;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2011;162962.0;133194.0;29768.0;38311.0;65320.0;-27009.0
17;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2012;158374.0;144491.0;13883.0;38684.0;72819.0;-34135.0
18;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2013;164772.0;145669.0;19103.0;37863.0;66352.0;-28489.0
19;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2014;182949.0;147862.0;35087.0;34942.0;60556.0;-25614.0
20;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2015;204615.0;149509.0;55106.0;32503.0;55128.0;-22625.0
21;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2016;230739.0;151545.0;79194.0;29015.0;53240.0;-24225.0
22;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2017;234957.0;154292.0;80665.0;29554.0;56394.0;-26840.0
23;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2018;243737.0;157366.0;86371.0;26761.0;49330.0;-22569.0
24;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2019;269064.0;161029.0;108035.0;24372.0;46245.0;-21873.0
25;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2020;220853.0;152494.0;68359.0;21267.0;40600.0;-19333.0
26;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2021;252528.0;145330.0;107198.0;17296.0;34532.0;-17236.0
27;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2022;403108.0;179310.0;223798.0;13970.0;37060.0;-23090.0
28;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;1995;66971.0;33695.0;33276.0;4490.0;16516.0;-12026.0
29;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;1996;77177.0;42399.0;34778.0;4190.0;24185.0;-19995.0
30;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;1997;76736.0;34419.0;42317.0;4229.0;16708.0;-12479.0
31;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;1998;81701.0;34211.0;47490.0;3807.0;16752.0;-12945.0
32;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;1999;78365.0;32294.0;46071.0;3367.0;14996.0;-11629.0
33;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2000;91383.0;31106.0;60277.0;3906.0;14285.0;-10379.0
34;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2001;94507.0;31852.0;62655.0;3625.0;15080.0;-11455.0
35;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2002;86619.0;39594.0;47025.0;4222.0;22659.0;-18437.0
36;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2003;73566.0;43861.0;29705.0;4750.0;26741.0;-21991.0
37;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2004;65121.0;46074.0;19047.0;4951.0;27476.0;-22525.0
38;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2005;63415.0;47188.0;16227.0;5011.0;28215.0;-23204.0
39;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2006;67657.0;52484.0;15173.0;6244.0;32252.0;-26008.0
40;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2007;80258.0;47927.0;32331.0;7795.0;26685.0;-18890.0
41;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2008;103356.0;49752.0;53604.0;8941.0;27990.0;-19049.0
42;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2009;104410.0;57491.0;46919.0;7694.0;29713.0;-22019.0
43;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2010;110235.0;64044.0;46191.0;7013.0;30849.0;-23836.0
44;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2011;118457.0;70214.0;48243.0;7119.0;29721.0;-22602.0
45;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2012;115678.0;80762.0;34916.0;7018.0;33553.0;-26535.0
46;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2013;122321.0;83050.0;39271.0;6981.0;31539.0;-24558.0
47;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2014;139348.0;83443.0;55905.0;6492.0;27208.0;-20716.0
48;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2015;159483.0;85190.0;74293.0;6126.0;25295.0;-19169.0
49;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2016;182158.0;89921.0;92237.0;5500.0;25396.0;-19896.0
50;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2017;183856.0;96424.0;87432.0;5881.0;28774.0;-22893.0
51;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2018;191005.0;102802.0;88203.0;5809.0;25789.0;-19980.0
52;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2019;215228.0;109908.0;105320.0;5672.0;25240.0;-19568.0
53;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2020;170612.0;113172.0;57440.0;4871.0;24023.0;-19152.0
54;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2021;208056.0;100556.0;107500.0;4731.0;22198.0;-17467.0
55;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal niet-Nederlandse nationaliteiten;2022;359331.0;124803.0;234528.0;3974.0;24652.0;-20678.0
56;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;1995;29128.0;48500.0;-19372.0;7683.0;14531.0;-6848.0
57;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;1996;31572.0;49546.0;-17974.0;9991.0;16616.0;-6625.0
58;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;1997;33124.0;47554.0;-14430.0;10637.0;17913.0;-7276.0
59;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;1998;40706.0;45078.0;-4372.0;12572.0;18475.0;-5903.0
60;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;1999;40786.0;46485.0;-5699.0;13868.0;21995.0;-8127.0
61;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;2000;41467.0;47871.0;-6404.0;14804.0;22201.0;-7397.0
62;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;2001;38897.0;50714.0;-11817.0;15536.0;23329.0;-7793.0
63;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;2002;34631.0;57324.0;-22693.0;17521.0;29274.0;-11753.0
64;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;2003;30948.0;60970.0;-30022.0;20122.0;34077.0;-13955.0
65;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;2004;28898.0;64161.0;-35263.0;23009.0;35670.0;-12661.0
66;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;2005;28882.0;72537.0;-43655.0;25480.0;38602.0;-13122.0
67;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;2006;33493.0;79986.0;-46493.0;28007.0;43441.0;-15434.0
68;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;2007;36561.0;74649.0;-38088.0;30938.0;43337.0;-12399.0
69;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;2008;40160.0;68027.0;-27867.0;33309.0;41972.0;-8663.0
70;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;2009;41968.0;54406.0;-12438.0;33959.0;38480.0;-4521.0
71;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;2010;44197.0;57307.0;-13110.0;32960.0;39025.0;-6065.0
72;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;2011;44505.0;62980.0;-18475.0;31192.0;35599.0;-4407.0
73;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;2012;42696.0;63729.0;-21033.0;31666.0;39266.0;-7600.0
74;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlands;2013;42451.0;62619.0;-20168.0;30882.0;34813.0;-3931.0
