ID;Geslacht;Leeftijd;Migratieachtergrond;HoogstBehaaldOnderwijsniveau;Onderwijsrichting;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2003 1e kwartaal;12982.0
1;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2003 2e kwartaal;12996.0
2;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2003 3e kwartaal;13011.0
3;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2003 4e kwartaal;13026.0
4;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2003;13004.0
5;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2004 1e kwartaal;13041.0
6;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2004 2e kwartaal;13055.0
7;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2004 3e kwartaal;13069.0
8;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2004 4e kwartaal;13083.0
9;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2004;13062.0
10;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2005 1e kwartaal;13097.0
11;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2005 2e kwartaal;13111.0
12;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2005 3e kwartaal;13126.0
13;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2005 4e kwartaal;13140.0
14;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2005;13119.0
15;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2006 1e kwartaal;13154.0
16;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2006 2e kwartaal;13166.0
17;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2006 3e kwartaal;13179.0
18;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2006 4e kwartaal;13192.0
19;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2006;13173.0
20;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2007 1e kwartaal;13207.0
21;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2007 2e kwartaal;13225.0
22;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2007 3e kwartaal;13242.0
23;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2007 4e kwartaal;13260.0
24;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2007;13234.0
25;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2008 1e kwartaal;13280.0
26;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2008 2e kwartaal;13304.0
27;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2008 3e kwartaal;13327.0
28;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2008 4e kwartaal;13350.0
29;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2008;13315.0
30;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2009 1e kwartaal;13370.0
31;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2009 2e kwartaal;13385.0
32;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2009 3e kwartaal;13401.0
33;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2009 4e kwartaal;13417.0
34;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2009;13393.0
35;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2010 1e kwartaal;13433.0
36;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2010 2e kwartaal;13449.0
37;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2010 3e kwartaal;13465.0
38;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2010 4e kwartaal;13481.0
39;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2010;13457.0
40;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2011 1e kwartaal;13497.0
41;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2011 2e kwartaal;13513.0
42;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2011 3e kwartaal;13529.0
43;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2011 4e kwartaal;13545.0
44;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2011;13521.0
45;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2012 1e kwartaal;13573.0
46;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2012 2e kwartaal;13612.0
47;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2012 3e kwartaal;13651.0
48;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2012 4e kwartaal;13690.0
49;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2012;13632.0
50;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2013 1e kwartaal;13721.0
51;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2013 2e kwartaal;13742.0
52;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2013 3e kwartaal;13763.0
53;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2013 4e kwartaal;13785.0
54;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2013;13753.0
55;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2014 1e kwartaal;13800.0
56;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2014 2e kwartaal;13810.0
57;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2014 3e kwartaal;13820.0
58;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2014 4e kwartaal;13830.0
59;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2014;13815.0
60;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2015 1e kwartaal;13845.0
61;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2015 2e kwartaal;13864.0
62;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2015 3e kwartaal;13884.0
63;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2015 4e kwartaal;13903.0
64;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2015;13874.0
65;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2016 1e kwartaal;13932.0
66;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2016 2e kwartaal;13970.0
67;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2016 3e kwartaal;14009.0
68;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2016 4e kwartaal;14047.0
69;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2016;13990.0
70;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2017 1e kwartaal;14081.0
71;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2017 2e kwartaal;14111.0
72;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2017 3e kwartaal;14140.0
73;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2017 4e kwartaal;14170.0
74;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2017;14126.0
75;Totaal mannen en vrouwen;15 jaar of ouder;Totaal ;Totaal;Totaal;2018 1e kwartaal;14197.0
