ID;Persoonskenmerken;Marges;CaribischNederland;Perioden;SpreektEenTaal_1;SpreektMeerDanEenTaal_2;Papiaments_3;Engels_4;Nederlands_5;Spaans_6;Anders_7;Papiaments_8;Engels_9;Nederlands_10;Spaans_11;Anders_12
0;Totaal persoonskenmerken;Percentage;Caribisch Nederland;2013;16.8;83.2;69.9;80.1;67.7;65.1;15.3;47.4;25.9;12.6;12.8;1.4
1;Totaal persoonskenmerken;Percentage;Caribisch Nederland;2017/2018;24.7;75.3;59.8;79.2;56.7;56.1;15.9;37.2;35.2;11.2;13.5;3.0
2;Totaal persoonskenmerken;Percentage;Caribisch Nederland;2021;27.1;72.9;53.0;85.8;56.8;54.2;9.2;32.2;43.1;9.5;13.6;1.7
3;Totaal persoonskenmerken;Percentage;Bonaire;2013;10.1;89.9;86.9;74.2;76.0;75.7;14.8;63.8;4.5;15.4;15.2;1.2
4;Totaal persoonskenmerken;Percentage;Bonaire;2017/2018;14.0;86.0;87.1;69.6;70.4;70.5;16.2;60.2;6.6;16.1;14.6;2.5
5;Totaal persoonskenmerken;Percentage;Bonaire;2021;8.6;91.4;88.4;76.9;76.6;76.0;10.9;62.4;5.6;15.0;15.4;1.7
6;Totaal persoonskenmerken;Percentage;Sint-Eustatius;2013;32.0;68.0;25.2;96.0;49.7;38.7;13.4;;84.7;6.3;7.4;
7;Totaal persoonskenmerken;Percentage;Sint-Eustatius;2017/2018;47.5;52.5;20.8;92.7;36.0;33.8;8.6;1.4;80.3;3.0;13.1;2.2
8;Totaal persoonskenmerken;Percentage;Sint-Eustatius;2021;48.5;51.5;18.7;93.6;38.2;31.5;3.4;1.3;81.2;3.6;12.8;1.2
9;Totaal persoonskenmerken;Percentage;Saba;2013;43.4;56.6;13.4;99.6;32.3;27.1;23.3;;92.9;;3.3;3.1
10;Totaal persoonskenmerken;Percentage;Saba;2017/2018;32.3;67.7;10.7;96.9;34.0;32.6;25.7;;80.1;4.5;9.5;5.8
11;Totaal persoonskenmerken;Percentage;Saba;2021;42.7;57.3;12.3;97.6;33.0;31.8;14.0;;83.3;4.1;9.9;2.5
12;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Caribisch Nederland;2013;2.3;2.3;2.8;2.4;2.8;2.9;2.2;3.0;2.6;2.0;2.0;0.7
13;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;2.1;2.1;2.4;2.0;2.4;2.4;1.8;2.3;2.3;1.5;1.6;0.8
14;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Caribisch Nederland;2021;2.2;2.2;2.5;1.8;2.5;2.5;1.5;2.4;2.5;1.5;1.7;0.6
15;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Bonaire;2013;2.1;2.1;2.4;3.1;3.0;3.0;2.5;3.4;1.5;2.5;2.5;0.7
16;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Bonaire;2017/2018;2.2;2.2;2.1;2.8;2.8;2.8;2.3;3.0;1.5;2.3;2.2;1.0
17;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Bonaire;2021;2.0;2.0;2.3;3.0;3.0;3.0;2.2;3.4;1.6;2.5;2.5;0.9
18;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Sint-Eustatius;2013;7.9;7.9;7.4;3.3;8.5;8.3;5.8;;6.1;4.1;4.4;
19;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;5.0;5.0;4.1;2.6;4.8;4.7;2.8;1.2;4.0;1.7;3.4;1.5
20;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Sint-Eustatius;2021;4.6;4.6;3.6;2.2;4.4;4.2;1.6;1.0;3.6;1.7;3.0;1.0
21;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Saba;2013;8.1;8.1;5.5;1.0;7.6;7.2;6.8;;4.2;;2.9;2.8
22;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Saba;2017/2018;5.8;5.8;3.8;2.1;5.9;5.8;5.4;;4.9;2.5;3.6;2.9
23;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Saba;2021;5.8;5.8;3.9;1.8;5.5;5.5;4.1;;4.4;2.3;3.5;1.8
24;Geslacht: mannen;Percentage;Caribisch Nederland;2013;17.3;82.8;67.7;79.6;65.6;67.8;16.3;45.5;28.3;10.9;14.5;0.9
25;Geslacht: mannen;Percentage;Caribisch Nederland;2017/2018;28.0;71.9;58.3;78.7;52.2;53.1;17.7;36.5;37.5;9.5;12.7;3.8
26;Geslacht: mannen;Percentage;Caribisch Nederland;2021;28.9;71.1;52.9;86.5;54.7;53.2;9.3;33.2;44.4;8.1;12.3;2.0
27;Geslacht: mannen;Percentage;Bonaire;2013;11.1;89.0;84.0;72.8;74.1;78.8;15.3;61.5;5.4;13.5;18.6;1.0
28;Geslacht: mannen;Percentage;Bonaire;2017/2018;16.4;83.6;84.2;68.2;66.0;68.6;18.1;59.2;7.5;13.8;15.7;3.7
