ID;Persoonskenmerken;Perioden;WanbetalersMetZorgtoeslag_1;TOVBevolkingNederland_2;TOVTotaalWanbetalers_3
0;Migratieachtergrond: totaal;2010;146600;2.9;60.0
1;Migratieachtergrond: totaal;2011;164360;3.1;59.8
2;Migratieachtergrond: totaal;2012;181400;3.3;65.1
3;Migratieachtergrond: totaal;2013;191160;3.7;67.7
4;Migratieachtergrond: totaal;2014;201410;4.1;67.5
5;Migratieachtergrond: totaal;2015;184230;4.1;65.3
6;Migratieachtergrond: totaal;2016;162590;3.6;65.1
7;Migratieachtergrond: totaal;2017;145170;3.3;63.2
8;Migratieachtergrond: totaal;2018;130180;2.9;63.2
9;Migratieachtergrond: totaal;2019;117520;2.7;61.8
10;Migratieachtergrond: totaal;2020;109670;2.4;62.8
11;Migratieachtergrond: totaal;2021;101130;2.3;62.5
12;Migratieachtergrond: totaal;2022;98870;2.2;62.2
13;Migratieachtergrond: Nederland;2010;79270;2.0;57.7
14;Migratieachtergrond: Nederland;2011;86140;2.1;57.2
15;Migratieachtergrond: Nederland;2012;93750;2.2;61.9
16;Migratieachtergrond: Nederland;2013;96480;2.4;64.7
17;Migratieachtergrond: Nederland;2014;100670;2.7;64.2
18;Migratieachtergrond: Nederland;2015;90940;2.8;61.6
19;Migratieachtergrond: Nederland;2016;80180;2.4;61.6
20;Migratieachtergrond: Nederland;2017;70580;2.2;59.2
21;Migratieachtergrond: Nederland;2018;62100;1.9;59.1
22;Migratieachtergrond: Nederland;2019;54990;1.8;57.9
23;Migratieachtergrond: Nederland;2020;50250;1.6;58.9
24;Migratieachtergrond: Nederland;2021;45240;1.5;58.7
25;Migratieachtergrond: Nederland;2022;43410;1.4;58.6
26;Migratieachtergrond: met migratieacht...;2010;67340;5.9;63.0
27;Migratieachtergrond: met migratieacht...;2011;78220;6.7;62.9
28;Migratieachtergrond: met migratieacht...;2012;87650;7.0;68.8
29;Migratieachtergrond: met migratieacht...;2013;94690;7.6;71.0
30;Migratieachtergrond: met migratieacht...;2014;100740;8.1;71.2
31;Migratieachtergrond: met migratieacht...;2015;93290;7.8;69.4
32;Migratieachtergrond: met migratieacht...;2016;82410;6.7;68.8
33;Migratieachtergrond: met migratieacht...;2017;74590;6.0;67.4
34;Migratieachtergrond: met migratieacht...;2018;68070;5.3;67.4
35;Migratieachtergrond: met migratieacht...;2019;62530;4.9;65.6
36;Migratieachtergrond: met migratieacht...;2020;59420;4.4;66.5
37;Migratieachtergrond: met migratieacht...;2021;55900;4.1;65.9
38;Migratieachtergrond: met migratieacht...;2022;55460;4.0;65.3
39;Migratieachtergrond: Marokko;2010;8900;6.9;69.5
40;Migratieachtergrond: Marokko;2011;10460;7.9;68.1
41;Migratieachtergrond: Marokko;2012;11820;8.4;75.1
42;Migratieachtergrond: Marokko;2013;13410;9.4;77.5
43;Migratieachtergrond: Marokko;2014;14390;10.1;78.5
44;Migratieachtergrond: Marokko;2015;13700;9.9;77.0
45;Migratieachtergrond: Marokko;2016;12180;8.6;76.1
46;Migratieachtergrond: Marokko;2017;11270;7.9;75.3
47;Migratieachtergrond: Marokko;2018;10510;7.2;76.2
48;Migratieachtergrond: Marokko;2019;9800;6.7;74.7
49;Migratieachtergrond: Marokko;2020;9480;6.2;75.8
50;Migratieachtergrond: Marokko;2021;8970;5.8;75.0
51;Migratieachtergrond: Marokko;2022;8900;5.7;74.3
52;Migratieachtergrond: Turkije;2010;7790;5.5;59.8
53;Migratieachtergrond: Turkije;2011;9040;6.2;59.0
54;Migratieachtergrond: Turkije;2012;10080;6.4;64.3
55;Migratieachtergrond: Turkije;2013;11150;7.1;68.3
56;Migratieachtergrond: Turkije;2014;11760;7.7;69.3
57;Migratieachtergrond: Turkije;2015;10930;7.6;67.4
58;Migratieachtergrond: Turkije;2016;9650;6.6;66.7
59;Migratieachtergrond: Turkije;2017;8700;6.0;64.9
60;Migratieachtergrond: Turkije;2018;7840;5.4;64.5
61;Migratieachtergrond: Turkije;2019;7120;5.0;62.8
62;Migratieachtergrond: Turkije;2020;6520;4.4;62.9
63;Migratieachtergrond: Turkije;2021;6080;4.2;62.4
64;Migratieachtergrond: Turkije;2022;5820;4.0;62.1
65;Migratieachtergrond: Suriname;2010;13230;9.8;64.3
66;Migratieachtergrond: Suriname;2011;15820;11.4;65.2
67;Migratieachtergrond: Suriname;2012;17550;12.0;71.5
68;Migratieachtergrond: Suriname;2013;18640;12.7;72.2
69;Migratieachtergrond: Suriname;2014;19180;13.4;72.5
70;Migratieachtergrond: Suriname;2015;17490;12.8;70.0
71;Migratieachtergrond: Suriname;2016;15350;11.1;69.4
72;Migratieachtergrond: Suriname;2017;13710;10.0;68.4
73;Migratieachtergrond: Suriname;2018;12180;8.8;68.2
74;Migratieachtergrond: Suriname;2019;10740;7.9;66.5
75;Migratieachtergrond: Suriname;2020;9770;7.0;67.7
76;Migratieachtergrond: Suriname;2021;8940;6.5;67.2
77;Migratieachtergrond: Suriname;2022;8520;6.2;67.4
78;Migratieachtergrond: (vm) Ned Ant, Aruba;2010;9050;16.3;70.6
79;Migratieachtergrond: (vm) Ned Ant, Aruba;2011;10530;18.4;70.6
80;Migratieachtergrond: (vm) Ned Ant, Aruba;2012;11820;19.0;77.0
81;Migratieachtergrond: (vm) Ned Ant, Aruba;2013;12500;19.9;78.5
82;Migratieachtergrond: (vm) Ned Ant, Aruba;2014;12980;20.7;78.0
83;Migratieachtergrond: (vm) Ned Ant, Aruba;2015;11860;19.5;75.6
84;Migratieachtergrond: (vm) Ned Ant, Aruba;2016;10770;17.5;75.6
85;Migratieachtergrond: (vm) Ned Ant, Aruba;2017;9580;15.4;73.3
86;Migratieachtergrond: (vm) Ned Ant, Aruba;2018;8580;13.3;73.4
87;Migratieachtergrond: (vm) Ned Ant, Aruba;2019;7760;11.8;71.8
88;Migratieachtergrond: (vm) Ned Ant, Aruba;2020;7290;10.5;73.4
89;Migratieachtergrond: (vm) Ned Ant, Aruba;2021;6830;9.7;73.0
90;Migratieachtergrond: (vm) Ned Ant, Aruba;2022;6600;9.1;71.9
91;Migratieachtergrond: overig niet-westers;2010;12860;5.7;68.1
92;Migratieachtergrond: overig niet-westers;2011;14660;6.4;66.4
93;Migratieachtergrond: overig niet-westers;2012;16340;6.4;72.8
94;Migratieachtergrond: overig niet-westers;2013;17710;6.8;76.3
95;Migratieachtergrond: overig niet-westers;2014;19020;7.1;77.0
96;Migratieachtergrond: overig niet-westers;2015;17780;6.5;76.0
97;Migratieachtergrond: overig niet-westers;2016;15720;5.3;75.2
98;Migratieachtergrond: overig niet-westers;2017;14370;4.6;74.4
99;Migratieachtergrond: overig niet-westers;2018;13420;4.1;74.6
100;Migratieachtergrond: overig niet-westers;2019;12640;3.7;73.3
101;Migratieachtergrond: overig niet-westers;2020;12420;3.4;75.1
102;Migratieachtergrond: overig niet-westers;2021;11790;3.1;74.7
103;Migratieachtergrond: overig niet-westers;2022;12160;3.1;74.5
104;Migratieachtergrond: westers;2010;15510;3.5;54.0
105;Migratieachtergrond: westers;2011;17720;3.8;54.7
106;Migratieachtergrond: westers;2012;20040;4.0;59.7
107;Migratieachtergrond: westers;2013;21280;4.4;61.3
108;Migratieachtergrond: westers;2014;23420;4.9;60.9
109;Migratieachtergrond: westers;2015;21550;4.9;59.2
110;Migratieachtergrond: westers;2016;18740;4.2;58.7
111;Migratieachtergrond: westers;2017;16960;3.8;56.8
112;Migratieachtergrond: westers;2018;15550;3.4;56.4
113;Migratieachtergrond: westers;2019;14470;3.2;54.3
114;Migratieachtergrond: westers;2020;13950;2.9;54.4
115;Migratieachtergrond: westers;2021;13290;2.8;53.8
116;Migratieachtergrond: westers;2022;13460;2.8;52.9
117;Leeftijd: 18 jaar of ouder;2010;146600;2.9;60.0
118;Leeftijd: 18 jaar of ouder;2011;164360;3.1;59.8
119;Leeftijd: 18 jaar of ouder;2012;181400;3.3;65.1
120;Leeftijd: 18 jaar of ouder;2013;191160;3.7;67.7
121;Leeftijd: 18 jaar of ouder;2014;201410;4.1;67.5
122;Leeftijd: 18 jaar of ouder;2015;184230;4.1;65.3
123;Leeftijd: 18 jaar of ouder;2016;162590;3.6;65.1
124;Leeftijd: 18 jaar of ouder;2017;145170;3.3;63.2
125;Leeftijd: 18 jaar of ouder;2018;130180;2.9;63.2
126;Leeftijd: 18 jaar of ouder;2019;117520;2.7;61.8
127;Leeftijd: 18 jaar of ouder;2020;109670;2.4;62.8
128;Leeftijd: 18 jaar of ouder;2021;101130;2.3;62.5
129;Leeftijd: 18 jaar of ouder;2022;98870;2.2;62.2
