ID;Geslacht;Migratieachtergrond;OnderwijspositieInBasisjaar;SectorInBasisjaar;PositieInVolgendStudiejaar;SectorInVolgendStudiejaar;Perioden;StudentenMbo_1
0;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;2008/'09 naar 2009/'10;513925.0
1;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;2009/'10 naar 2010/'11;522274.0
2;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;2010/'11 naar 2011/'12;528162.0
3;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;2011/'12 naar 2012/'13;519962.0
4;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;2012/'13 naar 2013/'14;510857.0
5;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;2013/'14 naar 2014/'15;498108.0
6;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;2014/'15 naar 2015/'16;481405.0
7;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;2015/'16 naar 2016/'17;476275.0
8;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;2016/'17 naar 2017/'18;483362.0
9;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;2017/'18 naar 2018/'19;487114.0
10;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;2018/'19 naar 2019/'20;497111.0
11;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;2019/'20 naar 2020/'21;503013.0
12;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;2020/'21 naar 2021/'22;508765.0
13;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector landbouw;2008/'09 naar 2009/'10;18196.0
14;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector landbouw;2009/'10 naar 2010/'11;18923.0
15;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector landbouw;2010/'11 naar 2011/'12;18567.0
16;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector landbouw;2011/'12 naar 2012/'13;18400.0
17;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector landbouw;2012/'13 naar 2013/'14;17853.0
18;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector landbouw;2013/'14 naar 2014/'15;17848.0
19;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector landbouw;2014/'15 naar 2015/'16;17218.0
20;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector landbouw;2015/'16 naar 2016/'17;17616.0
21;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector landbouw;2016/'17 naar 2017/'18;16596.0
