ID;InkomensgrensCN;CaribischNederland;Perioden;Huishoudens_1;HuishoudensRelatief_2;Personen_3;PersonenRelatief_4;Kinderen_5;KinderenRelatief_6
0;Totaal;Caribisch Nederland;2018;10200;;23700;;5100;
1;Totaal;Caribisch Nederland;2019;10500;;24200;;5150;
2;Totaal;Bonaire;2018;8150;;19200;;4050;
3;Totaal;Bonaire;2019;8450;;19700;;4100;
4;Totaal;Sint Eustatius;2018;1300;;2900;;700;
5;Totaal;Sint Eustatius;2019;1350;;2900;;700;
6;Totaal;Saba;2018;750;;1600;;350;
7;Totaal;Saba;2019;750;;1600;;350;
8;Ingedeeld;Caribisch Nederland;2018;9600;100.0;20500;100.0;4450;100.0
9;Ingedeeld;Caribisch Nederland;2019;9900;100.0;20950;100.0;4500;100.0
10;Ingedeeld;Bonaire;2018;7650;100.0;16450;100.0;3500;100.0
11;Ingedeeld;Bonaire;2019;7900;100.0;16900;100.0;3600;100.0
12;Ingedeeld;Sint Eustatius;2018;1250;100.0;2550;100.0;650;100.0
13;Ingedeeld;Sint Eustatius;2019;1250;100.0;2600;100.0;650;100.0
14;Ingedeeld;Saba;2018;700;100.0;1450;100.0;300;100.0
15;Ingedeeld;Saba;2019;750;100.0;1450;100.0;300;100.0
16;Inkomen tot 75% ijkpunt sociaal minimum;Caribisch Nederland;2018;1750;18.0;3300;16.0;800;19.0
17;Inkomen tot 75% ijkpunt sociaal minimum;Caribisch Nederland;2019;1850;19.0;3450;17.0;850;19.0
18;Inkomen tot 75% ijkpunt sociaal minimum;Bonaire;2018;1400;19.0;2600;16.0;650;18.0
19;Inkomen tot 75% ijkpunt sociaal minimum;Bonaire;2019;1450;18.0;2700;16.0;650;18.0
20;Inkomen tot 75% ijkpunt sociaal minimum;Sint Eustatius;2018;250;20.0;500;19.0;150;23.0
21;Inkomen tot 75% ijkpunt sociaal minimum;Sint Eustatius;2019;300;22.0;550;22.0;200;29.0
22;Inkomen tot 75% ijkpunt sociaal minimum;Saba;2018;100;15.0;200;14.0;50;16.0
23;Inkomen tot 75% ijkpunt sociaal minimum;Saba;2019;100;15.0;200;13.0;50;12.0
24;Inkomen tot 90% ijkpunt sociaal minimum;Caribisch Nederland;2018;2250;23.0;4350;21.0;1100;25.0
25;Inkomen tot 90% ijkpunt sociaal minimum;Caribisch Nederland;2019;2400;24.0;4650;22.0;1150;26.0
26;Inkomen tot 90% ijkpunt sociaal minimum;Bonaire;2018;1750;23.0;3400;21.0;850;24.0
27;Inkomen tot 90% ijkpunt sociaal minimum;Bonaire;2019;1850;24.0;3600;21.0;900;24.0
28;Inkomen tot 90% ijkpunt sociaal minimum;Sint Eustatius;2018;350;28.0;650;26.0;200;32.0
29;Inkomen tot 90% ijkpunt sociaal minimum;Sint Eustatius;2019;350;29.0;750;29.0;250;37.0
30;Inkomen tot 90% ijkpunt sociaal minimum;Saba;2018;150;21.0;300;19.0;50;21.0
