ID;Arbeidspositie;Gezondheid;Geslacht;Persoonskenmerken;Perioden;NietWerkzameBevolking_1
0;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2021;3891.0
1;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2022;3680.0
2;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2023;3589.0
3;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2024;3590.0
4;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2021;600.0
5;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2022;526.0
6;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2023;510.0
7;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2024;522.0
8;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2021;588.0
9;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2022;560.0
10;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2023;562.0
11;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2024;576.0
12;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2021;289.0
13;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2022;286.0
14;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2023;294.0
15;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2024;292.0
16;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2021;299.0
17;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2022;273.0
18;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2023;268.0
19;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2024;284.0
20;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 75 jaar;2021;2703.0
21;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 75 jaar;2022;2594.0
22;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 75 jaar;2023;2516.0
23;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 75 jaar;2024;2492.0
24;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2021;353.0
25;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2022;326.0
26;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2023;320.0
27;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2024;316.0
28;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2021;687.0
29;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2022;646.0
30;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2023;616.0
31;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2024;614.0
32;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2021;1663.0
33;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2022;1622.0
34;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2023;1581.0
35;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2024;1562.0
36;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;1 Basisonderwijs, vmbo, mbo1;2021;1590.0
37;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;1 Basisonderwijs, vmbo, mbo1;2022;1495.0
38;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;1 Basisonderwijs, vmbo, mbo1;2023;1483.0
39;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;1 Basisonderwijs, vmbo, mbo1;2024;1457.0
40;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;2 Havo, vwo, mbo2-4;2021;1347.0
41;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;2 Havo, vwo, mbo2-4;2022;1260.0
42;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;2 Havo, vwo, mbo2-4;2023;1215.0
43;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;2 Havo, vwo, mbo2-4;2024;1225.0
44;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;3 Hbo, wo;2021;893.0
45;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;3 Hbo, wo;2022;862.0
46;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;3 Hbo, wo;2023;841.0
47;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;3 Hbo, wo;2024;860.0
48;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Onderwijsniveau: onbekend;2021;61.0
49;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Onderwijsniveau: onbekend;2022;63.0
50;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Onderwijsniveau: onbekend;2023;50.0
51;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Onderwijsniveau: onbekend;2024;48.0
52;Niet-werkzame bevolking;Totaal;Mannen;Totaal personen;2021;1693.0
53;Niet-werkzame bevolking;Totaal;Mannen;Totaal personen;2022;1569.0
54;Niet-werkzame bevolking;Totaal;Mannen;Totaal personen;2023;1517.0
