ID;RegioS;SociaalEconomischeCategorie;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Totaal sociaal-economische categorie;10805.3;17.8
1;Nederland;Totaal actief;6904.7;20.0
2;Nederland;Werknemer;6072.2;20.0
3;Nederland;Zelfstandige;821.8;20.6
4;Nederland;Totaal niet-actief;3898.1;13.7
5;Nederland;Werkloosheids- en bijstandsuitk. ontv.;390.6;11.2
6;Nederland;Pensioenontvanger;2408.2;15.6
7;Noord-Nederland (LD);Totaal sociaal-economische categorie;1122.7;16.5
8;Noord-Nederland (LD);Totaal actief;685.9;18.7
9;Noord-Nederland (LD);Werknemer;590.3;18.6
10;Noord-Nederland (LD);Zelfstandige;94.3;19.5
11;Noord-Nederland (LD);Totaal niet-actief;436.5;13.1
12;Noord-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;41.7;11.2
13;Noord-Nederland (LD);Pensioenontvanger;272.4;14.6
14;Oost-Nederland (LD);Totaal sociaal-economische categorie;2237.4;17.1
15;Oost-Nederland (LD);Totaal actief;1454.4;19.0
16;Oost-Nederland (LD);Werknemer;1277.1;19.0
17;Oost-Nederland (LD);Zelfstandige;174.9;19.5
18;Oost-Nederland (LD);Totaal niet-actief;782.5;13.5
19;Oost-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;62.4;11.3
20;Oost-Nederland (LD);Pensioenontvanger;491.5;15.2
21;West-Nederland (LD);Totaal sociaal-economische categorie;5055.3;18.6
22;West-Nederland (LD);Totaal actief;3246.6;21.1
23;West-Nederland (LD);Werknemer;2866.2;20.9
24;West-Nederland (LD);Zelfstandige;376.0;22.0
25;West-Nederland (LD);Totaal niet-actief;1807.6;14.1
26;West-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;209.7;11.2
27;West-Nederland (LD);Pensioenontvanger;1104.5;16.2
28;Zuid-Nederland (LD);Totaal sociaal-economische categorie;2389.9;17.3
29;Zuid-Nederland (LD);Totaal actief;1517.8;19.4
30;Zuid-Nederland (LD);Werknemer;1338.6;19.5
31;Zuid-Nederland (LD);Zelfstandige;176.6;19.4
32;Zuid-Nederland (LD);Totaal niet-actief;871.6;13.5
33;Zuid-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;76.8;11.2
34;Zuid-Nederland (LD);Pensioenontvanger;539.9;15.2
35;Groningen (PV);Totaal sociaal-economische categorie;381.8;16.4
36;Groningen (PV);Totaal actief;226.5;18.9
37;Groningen (PV);Werknemer;197.9;18.8
38;Groningen (PV);Zelfstandige;28.2;19.8
39;Groningen (PV);Totaal niet-actief;155.2;12.7
40;Groningen (PV);Werkloosheids- en bijstandsuitk. ontv.;17.7;11.0
41;Groningen (PV);Pensioenontvanger;89.8;14.4
42;Friesland (PV);Totaal sociaal-economische categorie;418.6;16.5
43;Friesland (PV);Totaal actief;261.0;18.5
44;Friesland (PV);Werknemer;220.5;18.2
45;Friesland (PV);Zelfstandige;40.0;20.2
46;Friesland (PV);Totaal niet-actief;157.5;13.2
47;Friesland (PV);Werkloosheids- en bijstandsuitk. ontv.;14.4;11.2
48;Friesland (PV);Pensioenontvanger;100.6;14.6
49;Drenthe (PV);Totaal sociaal-economische categorie;322.3;16.7
50;Drenthe (PV);Totaal actief;198.4;18.6
51;Drenthe (PV);Werknemer;171.8;18.7
52;Drenthe (PV);Zelfstandige;26.1;18.1
53;Drenthe (PV);Totaal niet-actief;123.8;13.6
54;Drenthe (PV);Werkloosheids- en bijstandsuitk. ontv.;9.5;11.5
55;Drenthe (PV);Pensioenontvanger;82.0;15.0
56;Overijssel (PV);Totaal sociaal-economische categorie;722.7;16.5
57;Overijssel (PV);Totaal actief;460.1;18.4
58;Overijssel (PV);Werknemer;404.0;18.4
59;Overijssel (PV);Zelfstandige;55.3;18.7
60;Overijssel (PV);Totaal niet-actief;262.4;13.2
61;Overijssel (PV);Werkloosheids- en bijstandsuitk. ontv.;22.7;11.0
62;Overijssel (PV);Pensioenontvanger;163.6;14.7
63;Flevoland (PV);Totaal sociaal-economische categorie;219.3;17.6
64;Flevoland (PV);Totaal actief;156.5;19.4
65;Flevoland (PV);Werknemer;138.4;19.4
66;Flevoland (PV);Zelfstandige;17.8;19.6
67;Flevoland (PV);Totaal niet-actief;62.8;12.9
68;Flevoland (PV);Werkloosheids- en bijstandsuitk. ontv.;7.3;11.8
69;Flevoland (PV);Pensioenontvanger;33.2;14.7
70;Gelderland (PV);Totaal sociaal-economische categorie;1295.4;17.3
71;Gelderland (PV);Totaal actief;837.8;19.3
72;Gelderland (PV);Werknemer;734.6;19.2
73;Gelderland (PV);Zelfstandige;101.8;19.9
74;Gelderland (PV);Totaal niet-actief;457.3;13.8
75;Gelderland (PV);Werkloosheids- en bijstandsuitk. ontv.;32.3;11.4
76;Gelderland (PV);Pensioenontvanger;294.6;15.5
77;Utrecht (PV);Totaal sociaal-economische categorie;774.1;19.1
78;Utrecht (PV);Totaal actief;515.9;21.4
79;Utrecht (PV);Werknemer;458.7;21.3
80;Utrecht (PV);Zelfstandige;56.5;22.5
81;Utrecht (PV);Totaal niet-actief;258.0;14.5
82;Utrecht (PV);Werkloosheids- en bijstandsuitk. ontv.;21.9;11.2
83;Utrecht (PV);Pensioenontvanger;155.0;17.1
84;Noord-Holland (PV);Totaal sociaal-economische categorie;1747.8;18.8
85;Noord-Holland (PV);Totaal actief;1117.7;21.4
