ID;Sex;CharacteristicsHouseholdsPersons;ComponentsOfWealth;Periods;NumberOfDeceasedPersons_1;TotalInheritedWealth_2;MeanInheritedWealth_3;MedianInheritedWealth_4
0;Total male and female;Total persons;Wealth;2007;129.3;13303.5;102.9;17.2
1;Total male and female;Total persons;Wealth;2008;133.5;14591.7;109.3;19.4
2;Total male and female;Total persons;Wealth;2009;133.3;14271.8;107.1;20.5
3;Total male and female;Total persons;Wealth;2010;135.2;16429.9;121.5;24.4
4;Total male and female;Total persons;Wealth;2011;135.0;15838.9;117.3;25.1
5;Total male and female;Total persons;Wealth;2012;140.0;15706.2;112.2;24.7
6;Total male and female;Total persons;Wealth;2013;140.5;15222.8;108.4;23.7
7;Total male and female;Total persons;Wealth;2014;138.4;14715.5;106.3;22.6
8;Total male and female;Total persons;Wealth;2015;146.4;15788.0;107.8;23.5
9;Total male and female;Total persons;Wealth;2016;148.2;17416.8;117.5;22.8
10;Total male and female;Total persons;Wealth;2017;149.5;17550.3;117.4;23.7
11;Total male and female;Total persons;Wealth;2018;152.6;18679.7;122.4;24.7
12;Total male and female;Total persons;Wealth;2019;151.1;19564.7;129.5;27.2
13;Total male and female;Total persons;Wealth;2020;167.9;23802.2;141.8;29.3
14;Total male and female;Total persons;Wealth;2021;170.2;25018.2;147.0;33.1
15;Total male and female;Total persons;Wealth;2022;169.3;27999.4;165.4;39.3
16;Total male and female;Total persons;1 Assets;2007;129.3;16117.0;124.6;19.7
17;Total male and female;Total persons;1 Assets;2008;133.5;17104.1;128.1;21.7
18;Total male and female;Total persons;1 Assets;2009;133.3;17027.2;127.8;23.0
19;Total male and female;Total persons;1 Assets;2010;135.2;19616.6;145.0;29.4
20;Total male and female;Total persons;1 Assets;2011;135.0;18538.2;137.3;28.6
21;Total male and female;Total persons;1 Assets;2012;140.0;18590.0;132.8;29.4
22;Total male and female;Total persons;1 Assets;2013;140.5;18150.2;129.2;30.1
23;Total male and female;Total persons;1 Assets;2014;138.4;17885.9;129.2;29.0
24;Total male and female;Total persons;1 Assets;2015;146.4;19038.2;130.0;29.8
25;Total male and female;Total persons;1 Assets;2016;148.2;21006.9;141.7;28.2
26;Total male and female;Total persons;1 Assets;2017;149.5;21246.5;142.1;30.0
27;Total male and female;Total persons;1 Assets;2018;152.6;22439.5;147.1;30.3
28;Total male and female;Total persons;1 Assets;2019;151.1;23479.4;155.4;32.7
29;Total male and female;Total persons;1 Assets;2020;167.9;28657.8;170.7;33.9
30;Total male and female;Total persons;1 Assets;2021;170.2;29936.2;175.9;38.1
31;Total male and female;Total persons;1 Assets;2022;169.3;33446.8;197.5;44.2
