ID;Geslacht;Persoonskenmerken;Perioden;Verkeersdeelname_1;GebruikVanHetOpenbaarVervoer_2
0;Totaal mannen en vrouwen;Totaal personen;2010;79.8;6.8
1;Totaal mannen en vrouwen;Totaal personen;2011;79.9;7.1
2;Totaal mannen en vrouwen;Totaal personen;2012;79.6;6.7
3;Totaal mannen en vrouwen;Totaal personen;2013;79.8;7.0
4;Totaal mannen en vrouwen;Totaal personen;2014;80.2;6.7
5;Totaal mannen en vrouwen;Totaal personen;2015;79.2;6.9
6;Totaal mannen en vrouwen;Totaal personen;2016;79.0;6.8
7;Totaal mannen en vrouwen;Totaal personen;2017;78.4;7.0
8;Totaal mannen en vrouwen;Actueel onderwijsniveau: laag;2010;73.1;5.7
9;Totaal mannen en vrouwen;Actueel onderwijsniveau: laag;2011;72.4;5.8
10;Totaal mannen en vrouwen;Actueel onderwijsniveau: laag;2012;72.9;5.6
11;Totaal mannen en vrouwen;Actueel onderwijsniveau: laag;2013;73.4;6.1
12;Totaal mannen en vrouwen;Actueel onderwijsniveau: laag;2014;73.4;6.0
13;Totaal mannen en vrouwen;Actueel onderwijsniveau: laag;2015;72.2;5.8
14;Totaal mannen en vrouwen;Actueel onderwijsniveau: laag;2016;71.0;5.6
15;Totaal mannen en vrouwen;Actueel onderwijsniveau: laag;2017;70.1;5.2
16;Totaal mannen en vrouwen;Actueel onderwijsniveau: middelbaar;2010;81.5;8.2
17;Totaal mannen en vrouwen;Actueel onderwijsniveau: middelbaar;2011;81.7;8.9
18;Totaal mannen en vrouwen;Actueel onderwijsniveau: middelbaar;2012;80.9;8.1
19;Totaal mannen en vrouwen;Actueel onderwijsniveau: middelbaar;2013;80.8;8.8
20;Totaal mannen en vrouwen;Actueel onderwijsniveau: middelbaar;2014;81.4;8.2
21;Totaal mannen en vrouwen;Actueel onderwijsniveau: middelbaar;2015;80.6;8.7
22;Totaal mannen en vrouwen;Actueel onderwijsniveau: middelbaar;2016;79.9;7.8
23;Totaal mannen en vrouwen;Actueel onderwijsniveau: middelbaar;2017;79.6;8.3
24;Totaal mannen en vrouwen;Actueel onderwijsniveau: hoog;2010;84.5;9.0
25;Totaal mannen en vrouwen;Actueel onderwijsniveau: hoog;2011;84.0;9.7
26;Totaal mannen en vrouwen;Actueel onderwijsniveau: hoog;2012;83.7;9.1
27;Totaal mannen en vrouwen;Actueel onderwijsniveau: hoog;2013;83.3;9.1
28;Totaal mannen en vrouwen;Actueel onderwijsniveau: hoog;2014;83.6;8.4
29;Totaal mannen en vrouwen;Actueel onderwijsniveau: hoog;2015;82.8;8.7
30;Totaal mannen en vrouwen;Actueel onderwijsniveau: hoog;2016;83.3;9.4
31;Totaal mannen en vrouwen;Actueel onderwijsniveau: hoog;2017;82.7;9.7
32;Totaal mannen en vrouwen;Migratieachtergrond: Nederland;2010;80.6;5.5
33;Totaal mannen en vrouwen;Migratieachtergrond: Nederland;2011;80.4;5.8
34;Totaal mannen en vrouwen;Migratieachtergrond: Nederland;2012;80.5;5.6
35;Totaal mannen en vrouwen;Migratieachtergrond: Nederland;2013;80.3;5.8
36;Totaal mannen en vrouwen;Migratieachtergrond: Nederland;2014;81.0;5.5
37;Totaal mannen en vrouwen;Migratieachtergrond: Nederland;2015;79.9;5.7
38;Totaal mannen en vrouwen;Migratieachtergrond: Nederland;2016;79.9;5.6
39;Totaal mannen en vrouwen;Migratieachtergrond: Nederland;2017;79.4;5.9
40;Totaal mannen en vrouwen;Migratieachtergrond: westers;2010;77.6;8.3
41;Totaal mannen en vrouwen;Migratieachtergrond: westers;2011;77.1;8.5
42;Totaal mannen en vrouwen;Migratieachtergrond: westers;2012;76.3;7.2
43;Totaal mannen en vrouwen;Migratieachtergrond: westers;2013;77.7;8.0
44;Totaal mannen en vrouwen;Migratieachtergrond: westers;2014;77.5;8.8
45;Totaal mannen en vrouwen;Migratieachtergrond: westers;2015;77.0;7.5
46;Totaal mannen en vrouwen;Migratieachtergrond: westers;2016;75.8;7.9
47;Totaal mannen en vrouwen;Migratieachtergrond: westers;2017;75.8;7.8
48;Totaal mannen en vrouwen;Migratieachtergrond: niet-westers;2010;75.7;14.5
49;Totaal mannen en vrouwen;Migratieachtergrond: niet-westers;2011;79.0;15.6
50;Totaal mannen en vrouwen;Migratieachtergrond: niet-westers;2012;75.5;13.5
51;Totaal mannen en vrouwen;Migratieachtergrond: niet-westers;2013;78.0;14.6
52;Totaal mannen en vrouwen;Migratieachtergrond: niet-westers;2014;77.5;13.3
53;Totaal mannen en vrouwen;Migratieachtergrond: niet-westers;2015;76.5;14.1
54;Totaal mannen en vrouwen;Migratieachtergrond: niet-westers;2016;76.0;13.8
55;Totaal mannen en vrouwen;Migratieachtergrond: niet-westers;2017;74.3;13.0
56;Totaal mannen en vrouwen;Hoogte inkomen: tot 10 000 euro;2010;79.2;14.4
57;Totaal mannen en vrouwen;Hoogte inkomen: tot 10 000 euro;2011;80.4;15.7
58;Totaal mannen en vrouwen;Hoogte inkomen: tot 10 000 euro;2012;79.2;14.5
59;Totaal mannen en vrouwen;Hoogte inkomen: tot 10 000 euro;2013;79.9;16.3
60;Totaal mannen en vrouwen;Hoogte inkomen: tot 10 000 euro;2014;79.9;13.7
61;Totaal mannen en vrouwen;Hoogte inkomen: tot 10 000 euro;2015;80.5;15.4
62;Totaal mannen en vrouwen;Hoogte inkomen: tot 10 000 euro;2016;79.7;15.1
63;Totaal mannen en vrouwen;Hoogte inkomen: tot 10 000 euro;2017;82.7;19.8
64;Totaal mannen en vrouwen;Hoogte inkomen: 10 000 tot 20 000 euro;2010;76.0;6.7
65;Totaal mannen en vrouwen;Hoogte inkomen: 10 000 tot 20 000 euro;2011;76.5;6.8
66;Totaal mannen en vrouwen;Hoogte inkomen: 10 000 tot 20 000 euro;2012;76.2;6.7
67;Totaal mannen en vrouwen;Hoogte inkomen: 10 000 tot 20 000 euro;2013;76.8;6.8
68;Totaal mannen en vrouwen;Hoogte inkomen: 10 000 tot 20 000 euro;2014;76.2;6.3
69;Totaal mannen en vrouwen;Hoogte inkomen: 10 000 tot 20 000 euro;2015;74.7;7.0
70;Totaal mannen en vrouwen;Hoogte inkomen: 10 000 tot 20 000 euro;2016;73.7;7.4
71;Totaal mannen en vrouwen;Hoogte inkomen: 10 000 tot 20 000 euro;2017;71.8;7.4
72;Totaal mannen en vrouwen;Hoogte inkomen: 20 000 tot 30 000 euro;2010;82.1;6.2
73;Totaal mannen en vrouwen;Hoogte inkomen: 20 000 tot 30 000 euro;2011;81.6;6.4
74;Totaal mannen en vrouwen;Hoogte inkomen: 20 000 tot 30 000 euro;2012;81.2;6.1
75;Totaal mannen en vrouwen;Hoogte inkomen: 20 000 tot 30 000 euro;2013;81.0;6.1
76;Totaal mannen en vrouwen;Hoogte inkomen: 20 000 tot 30 000 euro;2014;82.1;6.1
77;Totaal mannen en vrouwen;Hoogte inkomen: 20 000 tot 30 000 euro;2015;81.1;5.9
78;Totaal mannen en vrouwen;Hoogte inkomen: 20 000 tot 30 000 euro;2016;79.9;5.7
79;Totaal mannen en vrouwen;Hoogte inkomen: 20 000 tot 30 000 euro;2017;79.3;6.0
80;Totaal mannen en vrouwen;Hoogte inkomen: 30 000 tot 40 000 euro;2010;82.7;6.6
81;Totaal mannen en vrouwen;Hoogte inkomen: 30 000 tot 40 000 euro;2011;82.7;7.4
82;Totaal mannen en vrouwen;Hoogte inkomen: 30 000 tot 40 000 euro;2012;83.1;6.1
83;Totaal mannen en vrouwen;Hoogte inkomen: 30 000 tot 40 000 euro;2013;82.8;7.1
84;Totaal mannen en vrouwen;Hoogte inkomen: 30 000 tot 40 000 euro;2014;84.0;6.6
85;Totaal mannen en vrouwen;Hoogte inkomen: 30 000 tot 40 000 euro;2015;82.8;6.8
86;Totaal mannen en vrouwen;Hoogte inkomen: 30 000 tot 40 000 euro;2016;82.5;6.1
87;Totaal mannen en vrouwen;Hoogte inkomen: 30 000 tot 40 000 euro;2017;81.3;6.2
88;Totaal mannen en vrouwen;Hoogte inkomen: 40 000 tot 50 000 euro;2010;81.0;6.0
89;Totaal mannen en vrouwen;Hoogte inkomen: 40 000 tot 50 000 euro;2011;83.8;7.0
90;Totaal mannen en vrouwen;Hoogte inkomen: 40 000 tot 50 000 euro;2012;81.9;6.5
91;Totaal mannen en vrouwen;Hoogte inkomen: 40 000 tot 50 000 euro;2013;82.1;7.7
92;Totaal mannen en vrouwen;Hoogte inkomen: 40 000 tot 50 000 euro;2014;82.7;6.3
93;Totaal mannen en vrouwen;Hoogte inkomen: 40 000 tot 50 000 euro;2015;80.8;6.5
94;Totaal mannen en vrouwen;Hoogte inkomen: 40 000 tot 50 000 euro;2016;83.0;7.6
95;Totaal mannen en vrouwen;Hoogte inkomen: 40 000 tot 50 000 euro;2017;82.4;7.2
96;Totaal mannen en vrouwen;Hoogte inkomen: 50 000 euro of meer;2010;81.6;5.1
97;Totaal mannen en vrouwen;Hoogte inkomen: 50 000 euro of meer;2011;81.2;5.2
98;Totaal mannen en vrouwen;Hoogte inkomen: 50 000 euro of meer;2012;79.8;4.8
99;Totaal mannen en vrouwen;Hoogte inkomen: 50 000 euro of meer;2013;81.5;4.9
100;Totaal mannen en vrouwen;Hoogte inkomen: 50 000 euro of meer;2014;82.3;5.6
101;Totaal mannen en vrouwen;Hoogte inkomen: 50 000 euro of meer;2015;82.1;5.7
102;Totaal mannen en vrouwen;Hoogte inkomen: 50 000 euro of meer;2016;80.8;6.6
103;Totaal mannen en vrouwen;Hoogte inkomen: 50 000 euro of meer;2017;81.0;7.3
104;Totaal mannen en vrouwen;Leeftijd: 12 jaar of ouder;2010;79.2;7.5
105;Totaal mannen en vrouwen;Leeftijd: 12 jaar of ouder;2011;79.1;8.0
106;Totaal mannen en vrouwen;Leeftijd: 12 jaar of ouder;2012;78.8;7.5
107;Totaal mannen en vrouwen;Leeftijd: 12 jaar of ouder;2013;79.0;7.8
108;Totaal mannen en vrouwen;Leeftijd: 12 jaar of ouder;2014;79.4;7.4
109;Totaal mannen en vrouwen;Leeftijd: 12 jaar of ouder;2015;78.5;7.7
110;Totaal mannen en vrouwen;Leeftijd: 12 jaar of ouder;2016;78.1;7.5
111;Totaal mannen en vrouwen;Leeftijd: 12 jaar of ouder;2017;77.7;7.7
112;Totaal mannen en vrouwen;Leeftijd: 0 tot 12 jaar;2010;83.7;2.2
113;Totaal mannen en vrouwen;Leeftijd: 0 tot 12 jaar;2011;84.9;1.7
114;Totaal mannen en vrouwen;Leeftijd: 0 tot 12 jaar;2012;84.5;1.7
115;Totaal mannen en vrouwen;Leeftijd: 0 tot 12 jaar;2013;84.6;1.6
116;Totaal mannen en vrouwen;Leeftijd: 0 tot 12 jaar;2014;85.6;2.1
117;Totaal mannen en vrouwen;Leeftijd: 0 tot 12 jaar;2015;84.3;1.7
118;Totaal mannen en vrouwen;Leeftijd: 0 tot 12 jaar;2016;85.2;1.8
119;Totaal mannen en vrouwen;Leeftijd: 0 tot 12 jaar;2017;83.5;1.8
120;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;2010;82.1;10.0
121;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;2011;82.8;9.8
122;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;2012;82.1;8.9
123;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;2013;82.0;9.8
124;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;2014;83.3;8.9
125;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;2015;81.3;9.6
126;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;2016;81.4;8.8
127;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;2017;80.5;9.8
128;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;2010;84.9;23.2
129;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;2011;83.9;23.3
130;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;2012;83.0;23.5
131;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;2013;83.5;25.3
132;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;2014;83.6;23.3
133;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;2015;82.3;24.0
134;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;2016;82.4;23.4
135;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;2017;83.1;22.5
136;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2010;85.0;9.2
137;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2011;86.0;10.2
138;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2012;85.3;9.7
139;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2013;84.4;10.6
140;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2014;84.6;9.6
141;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2015;83.9;9.9
142;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2016;83.8;10.0
143;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2017;83.5;11.6
144;Totaal mannen en vrouwen;Leeftijd: 35 tot 50 jaar;2010;83.1;5.0
145;Totaal mannen en vrouwen;Leeftijd: 35 tot 50 jaar;2011;82.9;5.7
146;Totaal mannen en vrouwen;Leeftijd: 35 tot 50 jaar;2012;82.4;5.1
147;Totaal mannen en vrouwen;Leeftijd: 35 tot 50 jaar;2013;83.3;4.9
148;Totaal mannen en vrouwen;Leeftijd: 35 tot 50 jaar;2014;82.9;5.2
149;Totaal mannen en vrouwen;Leeftijd: 35 tot 50 jaar;2015;83.1;5.7
150;Totaal mannen en vrouwen;Leeftijd: 35 tot 50 jaar;2016;82.0;5.6
151;Totaal mannen en vrouwen;Leeftijd: 35 tot 50 jaar;2017;81.4;5.9
152;Totaal mannen en vrouwen;Leeftijd: 50 tot 65 jaar;2010;78.7;5.2
153;Totaal mannen en vrouwen;Leeftijd: 50 tot 65 jaar;2011;78.9;5.5
154;Totaal mannen en vrouwen;Leeftijd: 50 tot 65 jaar;2012;78.8;4.7
155;Totaal mannen en vrouwen;Leeftijd: 50 tot 65 jaar;2013;79.7;4.7
156;Totaal mannen en vrouwen;Leeftijd: 50 tot 65 jaar;2014;79.9;4.8
