ID;BedrijfstakkenBranchesSBI2008;Perioden;Indexcijfers_1;OntwikkelingTOVEenJaarEerder_2;Indexcijfers_3;OntwikkelingTOVEenPeriodeEerder_4
0;78 Uitzendbureaus en arbeidsbemiddeling;2005 1e kwartaal;47.2;;51.6;
1;78 Uitzendbureaus en arbeidsbemiddeling;2005 2e kwartaal;54.8;;54.5;5.7
2;78 Uitzendbureaus en arbeidsbemiddeling;2005 3e kwartaal;57.3;;56.6;3.9
3;78 Uitzendbureaus en arbeidsbemiddeling;2005 4e kwartaal;61.9;;58.7;3.6
4;78 Uitzendbureaus en arbeidsbemiddeling;2005;55.3;;55.3;
5;78 Uitzendbureaus en arbeidsbemiddeling;2006 1e kwartaal;59.3;25.5;63.7;8.6
6;78 Uitzendbureaus en arbeidsbemiddeling;2006 2e kwartaal;67.4;23.0;67.1;5.3
7;78 Uitzendbureaus en arbeidsbemiddeling;2006 3e kwartaal;72.0;25.6;71.2;6.1
8;78 Uitzendbureaus en arbeidsbemiddeling;2006 4e kwartaal;78.0;26.0;74.6;4.8
9;78 Uitzendbureaus en arbeidsbemiddeling;2006;69.2;25.0;69.2;25.0
10;78 Uitzendbureaus en arbeidsbemiddeling;2007 1e kwartaal;75.2;26.8;79.7;6.8
11;78 Uitzendbureaus en arbeidsbemiddeling;2007 2e kwartaal;83.1;23.4;82.9;4.1
12;78 Uitzendbureaus en arbeidsbemiddeling;2007 3e kwartaal;86.8;20.6;86.0;3.7
13;78 Uitzendbureaus en arbeidsbemiddeling;2007 4e kwartaal;93.0;19.1;89.5;4.1
14;78 Uitzendbureaus en arbeidsbemiddeling;2007;84.5;22.2;84.5;22.2
15;78 Uitzendbureaus en arbeidsbemiddeling;2008 1e kwartaal;86.5;15.1;91.3;1.9
16;78 Uitzendbureaus en arbeidsbemiddeling;2008 2e kwartaal;94.7;13.9;94.6;3.6
17;78 Uitzendbureaus en arbeidsbemiddeling;2008 3e kwartaal;94.2;8.4;93.2;-1.4
18;78 Uitzendbureaus en arbeidsbemiddeling;2008 4e kwartaal;96.4;3.6;92.6;-0.7
19;78 Uitzendbureaus en arbeidsbemiddeling;2008;92.9;9.9;92.9;9.9
20;78 Uitzendbureaus en arbeidsbemiddeling;2009 1e kwartaal;83.8;-3.1;88.9;-4.0
21;78 Uitzendbureaus en arbeidsbemiddeling;2009 2e kwartaal;82.3;-13.0;82.2;-7.5
22;78 Uitzendbureaus en arbeidsbemiddeling;2009 3e kwartaal;82.1;-12.8;81.1;-1.3
23;78 Uitzendbureaus en arbeidsbemiddeling;2009 4e kwartaal;81.9;-15.0;78.1;-3.7
24;78 Uitzendbureaus en arbeidsbemiddeling;2009;82.5;-11.2;82.6;-11.2
25;78 Uitzendbureaus en arbeidsbemiddeling;2010 1e kwartaal;71.2;-15.1;76.4;-2.1
26;78 Uitzendbureaus en arbeidsbemiddeling;2010 2e kwartaal;77.8;-5.5;77.5;1.4
27;78 Uitzendbureaus en arbeidsbemiddeling;2010 3e kwartaal;81.6;-0.7;80.4;3.7
28;78 Uitzendbureaus en arbeidsbemiddeling;2010 4e kwartaal;85.3;4.2;81.4;1.3
29;78 Uitzendbureaus en arbeidsbemiddeling;2010;79.0;-4.3;78.9;-4.4
30;78 Uitzendbureaus en arbeidsbemiddeling;2011 1e kwartaal;77.9;9.5;83.3;2.3
31;78 Uitzendbureaus en arbeidsbemiddeling;2011 2e kwartaal;86.0;10.6;85.7;2.9
32;78 Uitzendbureaus en arbeidsbemiddeling;2011 3e kwartaal;85.9;5.4;84.6;-1.3
33;78 Uitzendbureaus en arbeidsbemiddeling;2011 4e kwartaal;88.3;3.6;84.6;-0.1
34;78 Uitzendbureaus en arbeidsbemiddeling;2011;84.6;7.1;84.6;7.1
35;78 Uitzendbureaus en arbeidsbemiddeling;2012 1e kwartaal;78.4;0.6;84.0;-0.7
36;78 Uitzendbureaus en arbeidsbemiddeling;2012 2e kwartaal;83.5;-2.9;83.1;-1.1
37;78 Uitzendbureaus en arbeidsbemiddeling;2012 3e kwartaal;83.4;-3.0;82.0;-1.3
38;78 Uitzendbureaus en arbeidsbemiddeling;2012 4e kwartaal;85.3;-3.4;81.6;-0.5
39;78 Uitzendbureaus en arbeidsbemiddeling;2012;82.6;-2.3;82.6;-2.3
