ID;Geslacht;Leeftijd;GestandaardiseerdInkomen;GeneesmiddelengroepATC;Perioden;PersonenMetVerstrekteGeneesmiddelen_1;PersonenMetGeneesmiddelenRelatief_2;GedefinieerdeDagdosesDDD_3;GedefinieerdeDagdosesDDDRelatief_4
0;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);Totaal;2012;11587020.0;67.85;;
1;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);Totaal;2013;11439885.0;66.78;;
2;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);Totaal;2014;11420305.0;66.4;;
3;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);Totaal;2015;11454920.0;66.26;;
4;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);Totaal;2016;11517975.0;66.24;;
5;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);Totaal;2017;11482350.0;65.65;;
6;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);Totaal;2018;11591535.0;65.87;;
7;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);Totaal;2019;11591365.0;65.4;;
8;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);Totaal;2020;11177900.0;62.8;9042636.0;508053.0
9;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);Totaal;2021;11341405.0;63.33;9177238.0;512472.0
10;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);Totaal;2022;11617275.0;63.99;9277338.0;510975.0
11;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);Totaal;2023;11715720.0;64.01;8786468.0;480027.0
12;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A Maagdarmkanaal en metabolisme;2012;3567995.0;20.89;;
13;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A Maagdarmkanaal en metabolisme;2013;3695510.0;21.57;;
14;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A Maagdarmkanaal en metabolisme;2014;3888135.0;22.61;;
15;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A Maagdarmkanaal en metabolisme;2015;4056530.0;23.47;;
16;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A Maagdarmkanaal en metabolisme;2016;4205595.0;24.19;;
17;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A Maagdarmkanaal en metabolisme;2017;4300740.0;24.59;;
18;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A Maagdarmkanaal en metabolisme;2018;4407310.0;25.04;;
19;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A Maagdarmkanaal en metabolisme;2019;4381755.0;24.72;;
20;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A Maagdarmkanaal en metabolisme;2020;4314580.0;24.24;2089376.0;117390.0
21;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A Maagdarmkanaal en metabolisme;2021;4466230.0;24.94;2147242.0;119905.0
22;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A Maagdarmkanaal en metabolisme;2022;4516000.0;24.87;2193286.0;120801.0
23;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A Maagdarmkanaal en metabolisme;2023;3955890.0;21.61;1582135.0;86436.0
24;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A01 Mondpreparaten;2012;38160.0;0.22;;
25;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A01 Mondpreparaten;2013;37720.0;0.22;;
26;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A01 Mondpreparaten;2014;38925.0;0.23;;
27;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A01 Mondpreparaten;2015;38365.0;0.22;;
28;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A01 Mondpreparaten;2016;38155.0;0.22;;
29;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A01 Mondpreparaten;2017;36165.0;0.21;;
30;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A01 Mondpreparaten;2018;35780.0;0.2;;
31;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A01 Mondpreparaten;2019;43930.0;0.25;;
32;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A01 Mondpreparaten;2020;45190.0;0.25;288.0;16.0
33;Totaal mannen en vrouwen;10000;Totaal alle inkomens (personen);A01 Mondpreparaten;2021;57885.0;0.32;240.0;13.0
