ID;Migratieachtergrond;Perioden;TotaalLevendGeborenKinderen_1;GemiddeldKindertalPerVrouw_2
0;Totaal;2017;168589;1.61
1;Totaal;2018;170277;1.61
2;Totaal;2019;172185;1.61
3;Totaal;2020;174058;1.61
4;Totaal;2021;177369;1.63
5;Totaal;2022;180361;1.65
6;Totaal;2023;183732;1.67
7;Totaal;2024;186504;1.69
8;Totaal;2025;189026;1.71
9;Totaal;2026;191269;1.72
10;Totaal;2027;193006;1.73
11;Totaal;2028;194466;1.74
12;Totaal;2029;195459;1.75
13;Totaal;2030;196038;1.75
14;Totaal;2031;196096;1.75
15;Totaal;2032;195590;1.75
16;Totaal;2033;195034;1.75
17;Totaal;2034;194564;1.75
18;Totaal;2035;193730;1.75
19;Totaal;2036;192585;1.75
20;Totaal;2037;191257;1.75
21;Totaal;2038;189883;1.75
22;Totaal;2039;188518;1.75
23;Totaal;2040;187154;1.75
24;Totaal;2041;185843;1.75
25;Totaal;2042;184659;1.75
26;Totaal;2043;183643;1.75
27;Totaal;2044;182805;1.75
28;Totaal;2045;182139;1.75
29;Totaal;2046;181662;1.75
30;Totaal;2047;181410;1.75
31;Totaal;2048;181442;1.75
32;Totaal;2049;181788;1.75
33;Totaal;2050;182452;1.75
34;Totaal;2051;183391;1.75
35;Totaal;2052;184556;1.75
36;Totaal;2053;185910;1.75
37;Totaal;2054;187413;1.75
38;Totaal;2055;188990;1.75
39;Totaal;2056;190577;1.75
40;Totaal;2057;192097;1.75
41;Totaal;2058;193501;1.75
42;Totaal;2059;194739;1.75
43;1e generatie migratieachtergrond;2017;33623;1.73
44;1e generatie migratieachtergrond;2018;34220;1.71
45;1e generatie migratieachtergrond;2019;34535;1.7
46;1e generatie migratieachtergrond;2020;34722;1.69
47;1e generatie migratieachtergrond;2021;34833;1.68
48;1e generatie migratieachtergrond;2022;34915;1.67
49;1e generatie migratieachtergrond;2023;34995;1.67
50;1e generatie migratieachtergrond;2024;35067;1.66
51;1e generatie migratieachtergrond;2025;35147;1.65
52;1e generatie migratieachtergrond;2026;35248;1.65
53;1e generatie migratieachtergrond;2027;35352;1.65
54;1e generatie migratieachtergrond;2028;35455;1.65
55;1e generatie migratieachtergrond;2029;35559;1.65
56;1e generatie migratieachtergrond;2030;35675;1.64
57;1e generatie migratieachtergrond;2031;35803;1.64
58;1e generatie migratieachtergrond;2032;35942;1.64
59;1e generatie migratieachtergrond;2033;36095;1.64
60;1e generatie migratieachtergrond;2034;36258;1.64
61;1e generatie migratieachtergrond;2035;36425;1.64
62;1e generatie migratieachtergrond;2036;36603;1.64
63;1e generatie migratieachtergrond;2037;36795;1.64
64;1e generatie migratieachtergrond;2038;36993;1.64
65;1e generatie migratieachtergrond;2039;37195;1.64
66;1e generatie migratieachtergrond;2040;37398;1.64
67;1e generatie migratieachtergrond;2041;37608;1.64
68;1e generatie migratieachtergrond;2042;37816;1.64
69;1e generatie migratieachtergrond;2043;38021;1.64
70;1e generatie migratieachtergrond;2044;38225;1.64
71;1e generatie migratieachtergrond;2045;38425;1.64
72;1e generatie migratieachtergrond;2046;38627;1.64
73;1e generatie migratieachtergrond;2047;38816;1.64
74;1e generatie migratieachtergrond;2048;39007;1.64
75;1e generatie migratieachtergrond;2049;39189;1.64
76;1e generatie migratieachtergrond;2050;39364;1.64
77;1e generatie migratieachtergrond;2051;39531;1.64
78;1e generatie migratieachtergrond;2052;39691;1.64
79;1e generatie migratieachtergrond;2053;39847;1.64
80;1e generatie migratieachtergrond;2054;40000;1.64
81;1e generatie migratieachtergrond;2055;40144;1.64
82;1e generatie migratieachtergrond;2056;40282;1.64
