ID;Bestemming;Perioden;WaardeInWerkelijkePrijzen_1;WaardePrijsniveau2010_2;VolumemutatieTOVVoorafgaandJaar_3;Prijsindexcijfers_4
0;A-U Alle economische activiteiten;1969;14705.0;61000.0;;24.1
1;A-U Alle economische activiteiten;1970;17596.0;67119.0;10.0;26.2
2;A-U Alle economische activiteiten;1971;20087.0;68855.0;2.6;29.2
3;A-U Alle economische activiteiten;1972;20959.0;66016.0;-4.1;31.7
4;A-U Alle economische activiteiten;1973;22879.0;66564.0;0.8;34.4
5;A-U Alle economische activiteiten;1974;24153.0;63015.0;-5.3;38.3
6;A-U Alle economische activiteiten;1975;26279.0;61786.0;-2.0;42.5
7;A-U Alle economische activiteiten;1976;28922.0;62214.0;0.7;46.5
8;A-U Alle economische activiteiten;1977;32706.0;66082.0;6.2;49.5
9;A-U Alle economische activiteiten;1978;35535.0;67534.0;2.2;52.6
10;A-U Alle economische activiteiten;1979;37051.0;66158.0;-2.0;56.0
11;A-U Alle economische activiteiten;1980;40648.0;67723.0;2.4;60.0
12;A-U Alle economische activiteiten;1981;39537.0;61843.0;-8.7;63.9
13;A-U Alle economische activiteiten;1982;40029.0;60554.0;-2.1;66.1
14;A-U Alle economische activiteiten;1983;41493.0;62112.0;2.6;66.8
15;A-U Alle economische activiteiten;1984;44772.0;66418.0;6.9;67.4
16;A-U Alle economische activiteiten;1985;47774.0;70920.0;6.8;67.4
17;A-U Alle economische activiteiten;1986;50538.0;75440.0;6.4;67.0
18;A-U Alle economische activiteiten;1987;52066.0;77049.0;2.1;67.6
19;A-U Alle economische activiteiten;1988;55556.0;81083.0;5.2;68.5
20;A-U Alle economische activiteiten;1989;59649.0;86101.0;6.2;69.3
21;A-U Alle economische activiteiten;1990;62538.0;88956.0;3.3;70.3
22;A-U Alle economische activiteiten;1991;64174.0;89690.0;0.8;71.6
23;A-U Alle economische activiteiten;1992;66162.0;90852.0;1.3;72.8
24;A-U Alle economische activiteiten;1993;66176.0;89716.0;-1.2;73.8
25;A-U Alle economische activiteiten;1994;67862.0;91314.0;1.8;74.3
26;A-U Alle economische activiteiten;1995;70867.0;94464.0;3.4;75.0
27;A-U Alle economische activiteiten;1996;76127.0;100439.0;6.3;75.8
28;A-U Alle economische activiteiten;1997;82310.0;107338.0;6.9;76.7
29;A-U Alle economische activiteiten;1998;88678.0;114652.0;6.8;77.3
30;A-U Alle economische activiteiten;1999;98490.0;125421.0;9.4;78.5
31;A-U Alle economische activiteiten;2000;104061.0;127909.0;2.0;81.4
32;A-U Alle economische activiteiten;2001;108980.0;129372.0;1.1;84.2
33;A-U Alle economische activiteiten;2002;107678.0;123808.0;-4.3;87.0
34;A-U Alle economische activiteiten;2003;108233.0;122320.0;-1.2;88.5
35;A-U Alle economische activiteiten;2004;109939.0;122477.0;0.1;89.8
36;A-U Alle economische activiteiten;2005;115851.0;127221.0;3.9;91.1
37;A-U Alle economische activiteiten;2006;126515.0;135895.0;6.8;93.1
38;A-U Alle economische activiteiten;2007;137113.0;144428.0;6.3;94.9
39;A-U Alle economische activiteiten;2008;145658.0;150120.0;3.9;97.0
40;A-U Alle economische activiteiten;2009;134753.0;136613.0;-9.0;98.6
41;A-U Alle economische activiteiten;2010;128114.0;128114.0;-6.2;100.0
42;A-U Alle economische activiteiten;2011;133730.0;134888.0;5.3;99.1
43;A-U Alle economische activiteiten;2012;124775.0;126117.0;-6.5;98.9
44;A-U Alle economische activiteiten;2013;120088.0;120986.0;-4.1;99.3
45;A-U Alle economische activiteiten;2014;122735.0;123870.0;2.4;99.1
46;A-U Alle economische activiteiten;2015;135984.0;137350.0;10.9;99.0
47;A-U Alle economische activiteiten;2016;142862.0;143651.0;4.6;99.5
48;A Landbouw, bosbouw en visserij;1969;832.0;3614.0;;23.0
49;A Landbouw, bosbouw en visserij;1970;827.0;3353.0;-7.2;24.7
50;A Landbouw, bosbouw en visserij;1971;722.0;2477.0;-26.1;29.1
51;A Landbouw, bosbouw en visserij;1972;925.0;2951.0;19.1;31.3
52;A Landbouw, bosbouw en visserij;1973;1327.0;4004.0;35.7;33.1
53;A Landbouw, bosbouw en visserij;1974;1254.0;3473.0;-13.3;36.1
54;A Landbouw, bosbouw en visserij;1975;1327.0;3298.0;-5.0;40.2
55;A Landbouw, bosbouw en visserij;1976;1448.0;3346.0;1.4;43.3
56;A Landbouw, bosbouw en visserij;1977;1528.0;3313.0;-1.0;46.1
57;A Landbouw, bosbouw en visserij;1978;2013.0;4107.0;24.0;49.0
58;A Landbouw, bosbouw en visserij;1979;2169.0;4180.0;1.8;51.9
59;A Landbouw, bosbouw en visserij;1980;1739.0;3153.0;-24.6;55.2
60;A Landbouw, bosbouw en visserij;1981;1755.0;2901.0;-8.0;60.5
61;A Landbouw, bosbouw en visserij;1982;1851.0;2883.0;-0.6;64.2
62;A Landbouw, bosbouw en visserij;1983;2163.0;3338.0;15.8;64.8
63;A Landbouw, bosbouw en visserij;1984;1864.0;2873.0;-13.9;64.9
64;A Landbouw, bosbouw en visserij;1985;2127.0;3234.0;12.6;65.8
65;A Landbouw, bosbouw en visserij;1986;2363.0;3629.0;12.2;65.1
66;A Landbouw, bosbouw en visserij;1987;2027.0;3061.0;-15.7;66.2
67;A Landbouw, bosbouw en visserij;1988;2345.0;3464.0;13.2;67.7
68;A Landbouw, bosbouw en visserij;1989;2517.0;3606.0;4.1;69.8
69;A Landbouw, bosbouw en visserij;1990;2587.0;3708.0;2.8;69.8
70;A Landbouw, bosbouw en visserij;1991;2642.0;3753.0;1.2;70.4
71;A Landbouw, bosbouw en visserij;1992;2487.0;3448.0;-8.1;72.1
72;A Landbouw, bosbouw en visserij;1993;2336.0;3215.0;-6.8;72.7
73;A Landbouw, bosbouw en visserij;1994;2402.0;3294.0;2.4;72.9
74;A Landbouw, bosbouw en visserij;1995;2381.0;3252.0;-1.2;73.2
75;A Landbouw, bosbouw en visserij;1996;2414.0;3379.0;3.9;71.4
76;A Landbouw, bosbouw en visserij;1997;3057.0;4172.0;23.4;73.3
77;A Landbouw, bosbouw en visserij;1998;2641.0;3543.0;-15.1;74.5
78;A Landbouw, bosbouw en visserij;1999;3311.0;4396.0;24.1;75.3
79;A Landbouw, bosbouw en visserij;2000;3325.0;4255.0;-3.2;78.1
80;A Landbouw, bosbouw en visserij;2001;3473.0;4291.0;0.8;80.9
81;A Landbouw, bosbouw en visserij;2002;3583.0;4235.0;-1.3;84.6
82;A Landbouw, bosbouw en visserij;2003;3636.0;4234.0;0.0;85.9
83;A Landbouw, bosbouw en visserij;2004;3265.0;3757.0;-11.3;86.9
84;A Landbouw, bosbouw en visserij;2005;3401.0;3848.0;2.4;88.4
85;A Landbouw, bosbouw en visserij;2006;3565.0;3948.0;2.6;90.3
86;A Landbouw, bosbouw en visserij;2007;4333.0;4686.0;18.7;92.5
87;A Landbouw, bosbouw en visserij;2008;4627.0;4884.0;4.2;94.7
88;A Landbouw, bosbouw en visserij;2009;4341.0;4453.0;-8.8;97.5
89;A Landbouw, bosbouw en visserij;2010;4527.0;4527.0;1.7;100.0
90;A Landbouw, bosbouw en visserij;2011;5663.0;5689.0;25.7;99.5
91;A Landbouw, bosbouw en visserij;2012;5208.0;5250.0;-7.7;99.2
92;A Landbouw, bosbouw en visserij;2013;4764.0;4785.0;-8.9;99.6
93;A Landbouw, bosbouw en visserij;2014;5106.0;5099.0;6.5;100.1
94;A Landbouw, bosbouw en visserij;2015;4894.0;4856.0;-4.8;100.8
95;A Landbouw, bosbouw en visserij;2016;4831.0;4797.0;-1.2;100.7
96;01 Landbouw;1969;;;;
97;01 Landbouw;1970;;;;
98;01 Landbouw;1971;;;;
99;01 Landbouw;1972;;;;
100;01 Landbouw;1973;;;;
101;01 Landbouw;1974;;;;
102;01 Landbouw;1975;;;;
103;01 Landbouw;1976;;;;
104;01 Landbouw;1977;;;;
105;01 Landbouw;1978;;;;
106;01 Landbouw;1979;;;;
107;01 Landbouw;1980;;;;
108;01 Landbouw;1981;;;;
109;01 Landbouw;1982;;;;
