ID;Geslacht;Niveau;Leerweg;Sectorkamer;Leeftijd;BedrijfstakkenBranchesSBI2008;Perioden;InstromersMbo_1
0;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;A-U Alle economische activiteiten;2018/'19;35600
1;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;A-U Alle economische activiteiten;2019/'20;36890
2;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;A-U Alle economische activiteiten;2020/'21;35010
3;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;A-U Alle economische activiteiten;2021/'22;34940
4;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;A-U Alle economische activiteiten;2022/'23;35410
5;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;A-U Alle economische activiteiten;2023/'24;36520
6;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;A Landbouw, bosbouw en visserij;2018/'19;250
7;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;A Landbouw, bosbouw en visserij;2019/'20;270
8;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;A Landbouw, bosbouw en visserij;2020/'21;250
9;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;A Landbouw, bosbouw en visserij;2021/'22;290
10;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;A Landbouw, bosbouw en visserij;2022/'23;290
11;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;A Landbouw, bosbouw en visserij;2023/'24;330
12;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;B-E Nijverheid (geen bouw) en energie;2018/'19;2720
13;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;B-E Nijverheid (geen bouw) en energie;2019/'20;2850
14;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;B-E Nijverheid (geen bouw) en energie;2020/'21;2210
15;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;B-E Nijverheid (geen bouw) en energie;2021/'22;2360
16;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;B-E Nijverheid (geen bouw) en energie;2022/'23;2500
17;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;10000;B-E Nijverheid (geen bouw) en energie;2023/'24;2550
