ID;Geslacht;Leeftijd;Herkomstgroepering;Huishouden;Perioden;TotaleBevolking_1;AlleenArbeidTotaal_2;AlleenWerknemer_3;AlleenZelfstandige_4;WerknemerEnZelfstandige_5;AlleenUitkeringTotaal_6;AlleenAOUitkering_7;AlleenWWUitkering_8;AlleenWWEnAOUitkering_9;AlleenBijstandsuitkering_10;AlleenBijstandsEnAOUitkeringen_11;OverigeUitkeringsontvangers_12;AlleenArbeidEnUitkeringTotaal_13;WerknemerMetAlleenUitkeringTotaal_14;WerknemerMetAlleenEenAOUitkering_15;WerknemerMetAlleenEenWWUitkering_16;WerknemerMetAlleenBijstandsuitkering_17;OverigeWerknemersMetAlleenUitkering_18;ZelfstandigeMetAlleenEenUitkering_19;WerknemerEnZelfstMetAlleenUitk_20;AlleenPensioen_21;AlleenArbeidEnPensioenTotaal_22;WerknemerMetAlleenPensioen_23;ZelfstandigeMetAlleenPensioen_24;WerknemerEnZelfstMetAlleenPensioen_25;AlleenUitkeringEnPensioenTotaal_26;PensioenMetAlleenAOUitkering_27;PensioenMetAlleenWWUitkering_28;PensioenMetAlleenBijstandsuitkering_29;OverigPensioenMetAlleenUitkering_30;ArbeidUitkeringEnPensioen_31;GeenArbeidUitkeringPensioenTotaal_32;NietSchoolgaandeKinderen_33;ScholierStudent_34;OverigePersonen_35
0;Totaal mannen en vrouwen;0;0;Totaal huishoudens;1999, vrijdag 24 september;15842.7;6763.8;6072.0;533.8;158.0;1151.4;465.7;68.3;10.1;361.5;11.6;234.1;506.3;443.8;188.2;36.1;45.8;173.7;52.6;9.9;2231.6;112.0;65.9;43.7;2.4;140.8;54.2;19.5;19.3;47.7;13.0;4923.8;783.1;2643.5;1497.3
1;Totaal mannen en vrouwen;0;0;Totaal huishoudens;2000, vrijdag 29 september;15962.6;6935.4;6221.7;546.7;167.0;1102.9;466.3;56.9;9.0;335.7;11.7;223.3;490.6;428.8;195.0;26.8;41.4;165.5;51.8;10.1;2255.5;122.3;73.6;45.7;3.0;148.3;57.2;19.2;22.0;49.9;14.5;4893.2;802.9;2626.8;1463.5
2;Totaal mannen en vrouwen;0;0;Totaal huishoudens;2001, vrijdag 28 september;16086.0;7068.5;6346.6;555.6;166.4;1077.8;465.6;52.3;9.0;319.3;11.7;219.9;490.1;428.8;204.3;21.3;36.1;167.0;50.6;10.7;2286.1;135.2;87.6;44.2;3.5;149.9;61.0;18.1;23.8;47.0;17.2;4861.2;813.7;2623.3;1424.2
3;Totaal mannen en vrouwen;0;0;Totaal huishoudens;2002, vrijdag 27 september;16182.4;7107.6;6391.0;555.0;161.6;1085.6;461.7;66.5;9.9;315.2;11.8;220.6;483.6;425.3;205.6;26.2;35.5;158.1;48.8;9.5;2316.1;148.4;100.1;44.4;3.8;152.3;65.6;15.4;25.8;45.5;19.3;4869.5;817.7;2654.8;1396.9
4;Totaal mannen en vrouwen;0;0;Totaal huishoudens;2003, vrijdag 26 september;16250.9;7051.9;6343.5;550.1;158.2;1145.7;456.5;109.0;12.8;332.1;12.2;223.1;474.1;413.6;190.6;33.8;32.5;156.7;51.1;9.4;2333.6;169.7;118.3;47.1;4.3;166.2;68.4;16.3;28.0;53.5;22.4;4887.3;815.6;2713.0;1358.7
5;Totaal mannen en vrouwen;0;0;Totaal huishoudens;2004, vrijdag 24 september;16297.4;6970.8;6284.2;543.7;142.9;1175.4;448.9;133.5;15.1;340.5;12.0;225.3;459.9;401.3;175.1;40.6;31.3;154.3;50.5;8.1;2382.4;172.0;121.6;46.5;3.9;177.7;73.1;16.9;29.9;57.8;23.0;4936.1;802.2;2766.9;1367.0
6;Totaal mannen en vrouwen;0;0;Totaal huishoudens;2005, vrijdag 30 september;16330.6;6976.4;6279.6;545.4;151.3;1153.1;411.7;129.3;13.1;338.9;11.3;248.8;453.0;393.3;148.0;43.7;32.7;168.9;50.9;8.8;2418.1;196.4;141.3;50.4;4.7;182.2;74.2;16.6;32.3;59.2;26.1;4925.3;788.6;2796.2;1340.5
7;Totaal mannen en vrouwen;0;0;Totaal huishoudens;2006, vrijdag 29 september;16353.9;7066.4;6328.2;565.4;172.9;1087.0;402.1;104.2;10.9;320.1;8.8;241.0;473.2;412.6;133.6;37.6;33.6;207.8;50.6;10.0;;;;;;;;;;;;4864.2;768.9;2794.2;1301.0
8;Totaal mannen en vrouwen;0;0;Totaal huishoudens;2007, vrijdag 28 september;16401.0;7330.8;6556.5;597.3;177.1;970.9;397.2;77.4;7.5;285.8;7.7;;436.6;381.6;138.4;28.7;30.1;184.4;45.9;9.1;2513.9;;;61.5;;;79.5;14.9;36.5;;;4720.1;748.7;2753.1;1218.3
9;Totaal mannen en vrouwen;0;0;Totaal huishoudens;2008, vrijdag 26 september;16472.2;7457.9;6663.1;613.9;181.0;950.9;409.5;64.3;5.3;272.3;7.5;;405.0;351.3;131.3;24.5;27.5;168.0;45.4;8.3;2547.7;252.0;180.1;66.2;5.6;;81.4;12.2;40.3;;27.9;4658.6;737.5;2730.9;1190.2
