ID;Geslacht;Leeftijd;NationaliteitInJaarVanImmigratie;AfgeleidMigratiedoel;Kenmerken;JaarVanImmigratie;Perioden;BevolkingOp31DecemberEUEFTA_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;1999;61765.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2000;118565.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2001;168730.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2002;207525.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2003;236640.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2004;274750.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2005;304160.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2006;336750.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2007;389295.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2008;446665.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2009;497380.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2010;548465.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2011;600225.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2012;642530.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2013;686140.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2014;736905.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2015;787230.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2016;845655.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2017;914660.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2018;988920.0
