ID;Geslacht;Leeftijd;Migratieachtergrond;Onderwijssoort;Perioden;Leerlingen_1;VoortijdigSchoolverlaters_2;NietVoortijdigSchoolverlaters_3;VoortijdigSchoolverlatersPercentage_4
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal onderwijs;2012/'13;1321190;31290;1289890;2.0
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal onderwijs;2013/'14;1331050;29320;1301730;2.0
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal onderwijs;2014/'15;1341570;28120;1313450;2.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal onderwijs;2015/'16;1350280;27360;1322920;2.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal onderwijs;2016/'17;1357170;28360;1328810;2.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal onderwijs;2017/'18;1351640;30260;1321380;2.0
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal onderwijs;2018/'19;1338710;31470;1307240;2.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal onderwijs;2019/20;1321840;26360;1295480;2.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal onderwijs;2020/'21;1303660;28420;1275230;2.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Vo (excl. praktijkonderwijs);2012/'13;917970;5290;912680;1.0
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Vo (excl. praktijkonderwijs);2013/'14;929760;5110;924640;1.0
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Vo (excl. praktijkonderwijs);2014/'15;940190;5080;935110;1.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Vo (excl. praktijkonderwijs);2015/'16;948160;5330;942830;1.0
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Vo (excl. praktijkonderwijs);2016/'17;948200;5590;942610;1.0
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Vo (excl. praktijkonderwijs);2017/'18;938510;5470;933040;1.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Vo (excl. praktijkonderwijs);2018/'19;921200;5110;916090;1.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Vo (excl. praktijkonderwijs);2019/20;903950;3900;900050;0.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Vo (excl. praktijkonderwijs);2020/'21;886520;4420;882100;0.0
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Mbo (incl. extranei);2012/'13;389820;24360;365460;6.0
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Mbo (incl. extranei);2013/'14;388970;22530;366440;6.0
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Mbo (incl. extranei);2014/'15;388590;21310;367290;5.0
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Mbo (incl. extranei);2015/'16;388940;20270;368670;5.0
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Mbo (incl. extranei);2016/'17;395090;20890;374190;5.0
