ID;Countries;Periods;TotalAsylumRequests_1;FirstAsylumRequests_2
0;European Union;2008;;
1;European Union;2009;232.3;164.9
2;European Union;2010;235.3;184.3
3;European Union;2011;282.1;237.3
4;European Union;2012;306.5;250.4
5;European Union;2013;400.5;338.2
6;European Union;2014;594.2;530.6
7;European Union;2015;1282.7;1216.9
8;European Union;2016;1221.2;1166.8
9;European Union;2017;677.5;620.3
10;European Union;2018;625.6;564.1
11;European Union;2019;698.8;631.3
12;European Union;2020;472.4;417.1
13;European Union;2021;632.4;537.4
14;European Union;2022;960.7;873.7
15;European Union;2023;1129.8;1049.0
16;European Union: EU-28 (2013-2020);2008;225.1;
17;European Union: EU-28 (2013-2020);2009;263.9;195.6
18;European Union: EU-28 (2013-2020);2010;259.6;206.9
19;European Union: EU-28 (2013-2020);2011;309.0;263.1
20;European Union: EU-28 (2013-2020);2012;335.3;278.3
21;European Union: EU-28 (2013-2020);2013;431.1;367.8
22;European Union: EU-28 (2013-2020);2014;627.0;562.7
23;European Union: EU-28 (2013-2020);2015;1322.8;1256.6
24;European Union: EU-28 (2013-2020);2016;1260.9;1206.1
25;European Union: EU-28 (2013-2020);2017;712.2;654.6
26;European Union: EU-28 (2013-2020);2018;664.4;602.5
27;European Union: EU-28 (2013-2020);2019;744.8;675.5
28;European Union: EU-28 (2013-2020);2020;;
29;European Union: EU-28 (2013-2020);2021;;
30;European Union: EU-28 (2013-2020);2022;;
31;European Union: EU-28 (2013-2020);2023;;
32;Belgium;2008;15.2;11.1
33;Belgium;2009;21.6;16.6
34;Belgium;2010;26.1;21.6
35;Belgium;2011;31.9;25.4
36;Belgium;2012;28.1;18.3
37;Belgium;2013;21.0;12.0
38;Belgium;2014;22.7;14.0
39;Belgium;2015;44.7;39.0
40;Belgium;2016;18.3;14.2
41;Belgium;2017;18.3;14.0
42;Belgium;2018;22.5;18.1
43;Belgium;2019;27.5;23.1
44;Belgium;2020;16.7;12.9
45;Belgium;2021;25.0;19.5
46;Belgium;2022;36.7;32.1
47;Belgium;2023;35.2;29.3
48;Bulgaria;2008;0.7;0.6
49;Bulgaria;2009;0.9;
50;Bulgaria;2010;1.0;
51;Bulgaria;2011;0.9;0.7
52;Bulgaria;2012;1.4;1.2
53;Bulgaria;2013;7.1;7.0
54;Bulgaria;2014;11.1;10.8
55;Bulgaria;2015;20.4;20.2
56;Bulgaria;2016;19.4;19.0
57;Bulgaria;2017;3.7;3.5
58;Bulgaria;2018;2.5;2.5
59;Bulgaria;2019;2.1;2.1
60;Bulgaria;2020;3.5;3.5
61;Bulgaria;2021;11.0;10.9
62;Bulgaria;2022;20.4;20.3
63;Bulgaria;2023;22.5;22.4
64;Cyprus;2008;3.9;3.9
65;Cyprus;2009;3.2;3.2
66;Cyprus;2010;2.9;2.8
67;Cyprus;2011;1.8;1.7
68;Cyprus;2012;1.6;1.6
69;Cyprus;2013;1.3;1.1
70;Cyprus;2014;1.7;1.5
71;Cyprus;2015;2.3;2.1
72;Cyprus;2016;2.9;2.8
73;Cyprus;2017;4.6;4.5
74;Cyprus;2018;7.8;7.6
75;Cyprus;2019;13.7;12.7
76;Cyprus;2020;7.5;7.1
77;Cyprus;2021;13.7;13.3
78;Cyprus;2022;22.2;21.6
79;Cyprus;2023;11.9;11.7
80;Denmark;2008;2.4;2.4
81;Denmark;2009;3.7;3.7
82;Denmark;2010;5.1;5.1
83;Denmark;2011;3.9;3.9
84;Denmark;2012;6.0;6.0
85;Denmark;2013;7.2;7.2
86;Denmark;2014;14.7;14.5
87;Denmark;2015;20.9;20.8
88;Denmark;2016;6.2;6.1
89;Denmark;2017;3.2;3.1
90;Denmark;2018;3.6;3.5
91;Denmark;2019;2.7;2.6
92;Denmark;2020;1.5;1.4
93;Denmark;2021;2.1;2.0
