ID;Persoonskenmerken;CDA_1;PvdA_2;VVD_3;GroenLinks_4;SP_5;ChristenUnie_6;PVV_7;OverigePoilitiekePartijen_8;NietGestemd_9
0;Totaal persoonskenmerken;21;17;11;4;14;3;4;4;20
1;Mannen 18 jaar of ouder;21;17;12;3;13;2;5;4;21
2;Vrouwen 18 jaar of ouder;22;18;10;4;15;5;3;4;18
3;18 tot 25 jaar;17;15;11;5;12;3;6;3;29
4;25 tot 35 jaar;14;11;10;4;16;3;4;4;32
5;35 tot 45 jaar;20;17;15;4;14;3;3;3;21
6;45 tot 55 jaar;19;19;11;6;20;3;3;4;13
7;55 tot 65 jaar;23;22;12;2;13;4;5;4;14
8;65 tot 75 jaar;32;17;11;2;9;5;5;6;10
9;75 jaar of ouder;32;20;7;2;9;4;3;3;18
10;Ongehuwd;15;14;11;5;15;2;5;4;27
11;Gehuwd;25;18;12;3;13;4;4;4;16
12;Gescheiden;14;18;8;4;19;2;5;3;27
13;Verweduwd;25;21;8;2;17;5;3;2;15
14;Migratieachtergrond: Nederland;23;16;11;4;14;4;4;4;17
15;Migratieachtergrond: niet-westers;8;28;4;3;13;1;1;1;40
16;Migratieachtergrond: westers;14;17;16;3;13;1;3;4;28
17;Lager onderwijs;18;22;3;1;12;2;5;2;33
18;Lbo;24;18;7;1;12;4;7;3;23
19;Mavo, vwo-3;19;18;16;1;16;4;6;4;14
20;Havo, vwo, mbo;21;15;11;4;16;3;3;4;21
21;Hbo, universiteit;24;18;16;9;13;4;2;6;9
22;Noord Nederland (LD);22;26;8;5;17;3;2;1;16
23;Oost Nederland (LD);22;16;9;4;13;5;5;3;23
24;West Nederland (LD);20;17;14;4;13;4;3;6;18
25;Zuid Nederland (LD);23;15;9;3;16;1;6;3;23
26;Zeer sterk stedelijk;10;23;13;5;16;3;5;4;21
27;Sterk stedelijk;22;15;11;4;15;3;4;5;20
28;Matig stedelijk;24;17;11;4;15;2;4;3;20
29;Weinig stedelijk;24;15;11;2;12;6;5;5;19
30;Niet stedelijk;25;19;12;3;13;3;3;3;19
31;Geen kerkelijke gezindte;12;20;14;6;18;1;5;4;20
32;Rooms-katholiek;35;12;10;2;13;1;3;2;21
33;Nederlands hervormd;35;17;9;2;9;6;3;7;11
34;Gereformeerde kerken;45;2;5;0;5;20;0;11;10
35;Protestantse Kerk in Nederland;41;6;7;3;4;20;2;3;14
36;Overige kerkelijke gezindte;7;27;5;0;8;12;1;6;33
37;Kerkbezoek een keer per week of vaker;38;8;3;1;3;24;0;10;12
38;Kerkbezoek twee tot drie keer per maand;40;15;6;1;8;8;4;2;16
39;Kerkbezoek een keer per maand;42;8;13;2;10;4;2;1;17
40;Kerkbezoek minder dan een keer per maand;33;14;10;2;15;1;2;4;19
41;Kerkbezoek zelden of nooit;24;17;10;2;13;1;3;3;25
