ID;Inkomensgrens;Geslacht;KenmerkenPersonen;Perioden;Personen_1;PersonenRelatief_2;Personen_3;PersonenRelatief_4
0;Totaal;Totaal mannen en vrouwen;Totaal personen;2011;10728.9;100.0;9387.7;100.0
1;Totaal;Totaal mannen en vrouwen;Totaal personen;2012;10694.0;100.0;9330.0;100.0
2;Totaal;Totaal mannen en vrouwen;Totaal personen;2013;10684.4;100.0;9297.7;100.0
3;Totaal;Totaal mannen en vrouwen;Totaal personen;2014;10678.9;100.0;9266.6;100.0
4;Totaal;Totaal mannen en vrouwen;Totaal personen;2015;10699.9;100.0;9279.6;100.0
5;Totaal;Totaal mannen en vrouwen;Totaal personen;2016;10769.5;100.0;9345.8;100.0
6;Totaal;Totaal mannen en vrouwen;Totaal personen;2017;10867.1;100.0;9441.5;100.0
7;Totaal;Totaal mannen en vrouwen;Totaal personen;2018;10961.3;100.0;9541.4;100.0
8;Totaal;Totaal mannen en vrouwen;Totaal personen;2019;11076.1;100.0;9659.6;100.0
9;Totaal;Totaal mannen en vrouwen;Totaal personen;2020;11126.7;100.0;9720.1;100.0
10;Totaal;Totaal mannen en vrouwen;Totaal personen;2021;11153.9;100.0;9765.0;100.0
11;Totaal;Totaal mannen en vrouwen;Totaal personen;2022;11248.4;100.0;9879.9;100.0
12;Totaal;Totaal mannen en vrouwen;Totaal personen;2023;11413.7;100.0;10071.3;100.0
13;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 20 jaar;2011;989.9;100.0;96.2;100.0
14;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 20 jaar;2012;980.7;100.0;88.3;100.0
15;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 20 jaar;2013;974.9;100.0;79.1;100.0
16;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 20 jaar;2014;978.4;100.0;72.7;100.0
17;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 20 jaar;2015;983.3;100.0;71.7;100.0
