ID;Geslacht;KenmerkenPersonen;CaribischNederland;Perioden;Personen_1;PersoonlijkBrutoInkomenGemiddeld_2;PersoonlijkBrutoInkomenMediaan_3;PersoonlijkInkomenGemiddeld_4;PersoonlijkInkomenMediaan_5
0;Totaal mannen en vrouwen;Totaal personen;Caribisch Nederland;2011;12500.0;24.8;17.0;23.1;16.5
1;Totaal mannen en vrouwen;Totaal personen;Caribisch Nederland;2012;13000.0;25.7;17.8;24.0;17.2
2;Totaal mannen en vrouwen;Totaal personen;Caribisch Nederland;2013;13850.0;26.3;18.5;24.5;18.0
3;Totaal mannen en vrouwen;Totaal personen;Caribisch Nederland;2014;14300.0;27.1;19.0;25.2;18.5
4;Totaal mannen en vrouwen;Totaal personen;Caribisch Nederland;2015;14900.0;27.5;19.2;25.5;18.6
5;Totaal mannen en vrouwen;Totaal personen;Caribisch Nederland;2016;15650.0;28.6;19.8;25.7;19.1
6;Totaal mannen en vrouwen;Totaal personen;Caribisch Nederland;2017;16350.0;29.5;20.5;26.5;19.8
7;Totaal mannen en vrouwen;Totaal personen;Caribisch Nederland;2018;16900.0;29.8;21.2;26.9;20.4
8;Totaal mannen en vrouwen;Totaal personen;Caribisch Nederland;2019;17550.0;29.9;20.7;26.9;20.1
9;Totaal mannen en vrouwen;Totaal personen;Caribisch Nederland;2020;18050.0;30.1;20.6;27.1;20.1
10;Totaal mannen en vrouwen;Totaal personen;Caribisch Nederland;2021;18650.0;30.3;20.6;27.4;19.9
11;Totaal mannen en vrouwen;Totaal personen;Caribisch Nederland;2022;19400.0;31.7;22.3;28.5;21.4
12;Totaal mannen en vrouwen;Totaal personen;Bonaire;2011;10150.0;23.5;16.5;22.0;16.1
13;Totaal mannen en vrouwen;Totaal personen;Bonaire;2012;10600.0;24.2;16.9;22.7;16.5
14;Totaal mannen en vrouwen;Totaal personen;Bonaire;2013;11250.0;24.9;17.7;23.3;17.3
15;Totaal mannen en vrouwen;Totaal personen;Bonaire;2014;11650.0;25.6;18.1;24.0;17.6
16;Totaal mannen en vrouwen;Totaal personen;Bonaire;2015;12150.0;25.8;18.5;24.0;17.9
17;Totaal mannen en vrouwen;Totaal personen;Bonaire;2016;12800.0;27.3;19.1;24.4;18.4
18;Totaal mannen en vrouwen;Totaal personen;Bonaire;2017;13350.0;28.1;19.6;25.0;18.9
19;Totaal mannen en vrouwen;Totaal personen;Bonaire;2018;13800.0;28.4;20.2;25.4;19.5
20;Totaal mannen en vrouwen;Totaal personen;Bonaire;2019;14400.0;28.5;20.0;25.5;19.4
21;Totaal mannen en vrouwen;Totaal personen;Bonaire;2020;14900.0;28.7;19.8;25.8;19.2
22;Totaal mannen en vrouwen;Totaal personen;Bonaire;2021;15400.0;29.2;19.8;26.2;19.1
23;Totaal mannen en vrouwen;Totaal personen;Bonaire;2022;16000.0;30.6;21.5;27.3;20.6
24;Totaal mannen en vrouwen;Totaal personen;Sint Eustatius;2011;1450.0;31.8;22.2;29.4;20.9
25;Totaal mannen en vrouwen;Totaal personen;Sint Eustatius;2012;1550.0;33.7;23.5;31.1;22.4
26;Totaal mannen en vrouwen;Totaal personen;Sint Eustatius;2013;1650.0;34.4;24.2;31.7;23.1
27;Totaal mannen en vrouwen;Totaal personen;Sint Eustatius;2014;1650.0;34.9;25.5;32.2;24.4
28;Totaal mannen en vrouwen;Totaal personen;Sint Eustatius;2015;1700.0;37.3;26.4;34.6;25.1
29;Totaal mannen en vrouwen;Totaal personen;Sint Eustatius;2016;1800.0;36.5;25.0;33.7;23.7
30;Totaal mannen en vrouwen;Totaal personen;Sint Eustatius;2017;1900.0;38.5;26.5;35.6;25.4
31;Totaal mannen en vrouwen;Totaal personen;Sint Eustatius;2018;1950.0;38.0;25.4;34.9;24.6
32;Totaal mannen en vrouwen;Totaal personen;Sint Eustatius;2019;2000.0;38.0;25.2;35.0;24.2
33;Totaal mannen en vrouwen;Totaal personen;Sint Eustatius;2020;2000.0;37.3;24.7;33.9;23.9
34;Totaal mannen en vrouwen;Totaal personen;Sint Eustatius;2021;2050.0;36.2;24.5;33.4;23.8
35;Totaal mannen en vrouwen;Totaal personen;Sint Eustatius;2022;2100.0;37.4;26.0;34.5;25.3
36;Totaal mannen en vrouwen;Totaal personen;Saba;2011;900.0;27.1;20.0;25.1;19.0
37;Totaal mannen en vrouwen;Totaal personen;Saba;2012;900.0;29.3;21.7;27.2;20.7
38;Totaal mannen en vrouwen;Totaal personen;Saba;2013;950.0;29.0;21.3;26.9;20.4
39;Totaal mannen en vrouwen;Totaal personen;Saba;2014;1000.0;30.5;22.8;28.2;21.7
40;Totaal mannen en vrouwen;Totaal personen;Saba;2015;1050.0;30.4;21.6;27.9;20.7
41;Totaal mannen en vrouwen;Totaal personen;Saba;2016;1100.0;30.8;22.2;28.1;21.1
42;Totaal mannen en vrouwen;Totaal personen;Saba;2017;1100.0;31.7;22.6;28.9;21.4
43;Totaal mannen en vrouwen;Totaal personen;Saba;2018;1150.0;33.0;24.5;30.2;23.6
44;Totaal mannen en vrouwen;Totaal personen;Saba;2019;1150.0;33.7;24.5;30.8;23.6
45;Totaal mannen en vrouwen;Totaal personen;Saba;2020;1150.0;34.8;25.6;31.9;24.8
46;Totaal mannen en vrouwen;Totaal personen;Saba;2021;1150.0;34.9;25.8;32.3;25.3
47;Totaal mannen en vrouwen;Totaal personen;Saba;2022;1250.0;36.0;27.5;33.3;26.1
48;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Caribisch Nederland;2011;7250.0;31.3;23.1;29.1;22.0
49;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Caribisch Nederland;2012;7600.0;32.1;23.5;29.9;22.5
50;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Caribisch Nederland;2013;8150.0;32.8;24.2;30.5;23.3
51;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Caribisch Nederland;2014;8500.0;33.5;24.6;31.0;23.7
52;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Caribisch Nederland;2015;8750.0;34.2;25.1;31.6;24.1
53;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Caribisch Nederland;2016;9150.0;36.1;25.7;32.2;24.8
54;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Caribisch Nederland;2017;9650.0;37.2;26.5;33.1;25.3
55;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Caribisch Nederland;2018;10050.0;37.2;26.5;33.2;25.4
56;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Caribisch Nederland;2019;10500.0;37.1;25.9;33.0;24.9
57;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Caribisch Nederland;2020;10850.0;37.2;25.8;33.2;25.0
58;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Caribisch Nederland;2021;11200.0;37.5;26.4;33.6;25.4
59;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Caribisch Nederland;2022;11850.0;38.7;27.8;34.5;26.5
60;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Bonaire;2011;5750.0;30.1;22.2;28.0;21.4
61;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Bonaire;2012;6050.0;30.7;22.5;28.7;21.6
62;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Bonaire;2013;6450.0;31.4;23.5;29.2;22.6
63;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Bonaire;2014;6800.0;32.0;23.7;29.8;22.9
64;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;Bonaire;2015;6950.0;32.5;24.3;30.0;23.5
