ID;BedrijfstakBranchesSBI2008;Perioden;Waarde_1;Prijs_2;Volume_3;Waarde_4;Prijs_5;Volume_6
0;Detailhandel geen apotheek, tankstations;2000 januari;81.9;98.7;82.9;;;
1;Detailhandel geen apotheek, tankstations;2000 februari;81.9;99.4;82.4;;;
2;Detailhandel geen apotheek, tankstations;2000 maart;94.2;100.8;93.5;;;
3;Detailhandel geen apotheek, tankstations;2000 1e kwartaal;86.0;99.6;86.3;;;
4;Detailhandel geen apotheek, tankstations;2000 april;94.4;101.0;93.4;;;
5;Detailhandel geen apotheek, tankstations;2000 mei;99.7;101.0;98.7;;;
6;Detailhandel geen apotheek, tankstations;2000 juni;97.8;100.3;97.6;;;
7;Detailhandel geen apotheek, tankstations;2000 2e kwartaal;97.3;100.8;96.6;;;
8;Detailhandel geen apotheek, tankstations;2000 juli;94.4;98.1;96.3;;;
9;Detailhandel geen apotheek, tankstations;2000 augustus;92.8;99.0;93.7;;;
10;Detailhandel geen apotheek, tankstations;2000 september;98.2;101.3;96.9;;;
11;Detailhandel geen apotheek, tankstations;2000 3e kwartaal;95.1;99.5;95.6;;;
12;Detailhandel geen apotheek, tankstations;2000 oktober;96.0;101.8;94.3;;;
13;Detailhandel geen apotheek, tankstations;2000 november;100.5;102.1;98.4;;;
14;Detailhandel geen apotheek, tankstations;2000 december;116.1;101.2;114.7;;;
15;Detailhandel geen apotheek, tankstations;2000 4e kwartaal;104.2;101.7;102.4;;;
16;Detailhandel geen apotheek, tankstations;2000;95.6;100.4;95.3;;;
17;Detailhandel geen apotheek, tankstations;2001 januari;88.8;100.3;88.5;8.5;1.6;6.8
18;Detailhandel geen apotheek, tankstations;2001 februari;85.0;102.0;83.3;3.8;2.6;1.2
19;Detailhandel geen apotheek, tankstations;2001 maart;102.4;104.2;98.3;8.7;3.4;5.2
20;Detailhandel geen apotheek, tankstations;2001 1e kwartaal;92.1;102.2;90.1;7.1;2.5;4.4
21;Detailhandel geen apotheek, tankstations;2001 april;97.5;104.9;93.0;3.3;3.8;-0.4
22;Detailhandel geen apotheek, tankstations;2001 mei;108.5;105.0;103.4;8.8;3.9;4.7
23;Detailhandel geen apotheek, tankstations;2001 juni;105.6;104.1;101.4;7.9;3.8;4.0
24;Detailhandel geen apotheek, tankstations;2001 2e kwartaal;103.9;104.6;99.3;6.7;3.8;2.8
25;Detailhandel geen apotheek, tankstations;2001 juli;97.8;102.1;95.8;3.7;4.2;-0.5
26;Detailhandel geen apotheek, tankstations;2001 augustus;99.9;102.8;97.2;7.7;3.8;3.7
27;Detailhandel geen apotheek, tankstations;2001 september;102.2;105.5;96.9;4.1;4.2;-0.1
28;Detailhandel geen apotheek, tankstations;2001 3e kwartaal;100.0;103.5;96.6;5.1;4.0;1.0
29;Detailhandel geen apotheek, tankstations;2001 oktober;104.7;105.7;99.1;9.1;3.8;5.1
30;Detailhandel geen apotheek, tankstations;2001 november;107.9;105.5;102.3;7.4;3.3;4.0
31;Detailhandel geen apotheek, tankstations;2001 december;119.7;104.8;114.2;3.1;3.6;-0.5
32;Detailhandel geen apotheek, tankstations;2001 4e kwartaal;110.8;105.3;105.2;6.3;3.6;2.7
33;Detailhandel geen apotheek, tankstations;2001;101.7;103.9;97.9;6.3;3.5;2.7
34;Detailhandel geen apotheek, tankstations;2002 januari;93.3;104.4;89.3;5.0;4.1;0.9
35;Detailhandel geen apotheek, tankstations;2002 februari;88.3;105.4;83.8;4.0;3.4;0.6
36;Detailhandel geen apotheek, tankstations;2002 maart;105.1;107.1;98.2;2.7;2.8;-0.1
37;Detailhandel geen apotheek, tankstations;2002 1e kwartaal;95.6;105.6;90.5;3.8;3.4;0.4
38;Detailhandel geen apotheek, tankstations;2002 april;103.9;107.2;96.9;6.6;2.3;4.2
39;Detailhandel geen apotheek, tankstations;2002 mei;111.3;107.1;103.9;2.5;2.0;0.5
40;Detailhandel geen apotheek, tankstations;2002 juni;106.3;106.2;100.2;0.7;2.0;-1.3
41;Detailhandel geen apotheek, tankstations;2002 2e kwartaal;107.2;106.8;100.3;3.2;2.1;1.1
42;Detailhandel geen apotheek, tankstations;2002 juli;104.0;104.0;100.0;6.3;1.8;4.4
43;Detailhandel geen apotheek, tankstations;2002 augustus;104.9;104.5;100.4;5.0;1.7;3.2
44;Detailhandel geen apotheek, tankstations;2002 september;102.4;106.7;96.0;0.2;1.1;-0.9
45;Detailhandel geen apotheek, tankstations;2002 3e kwartaal;103.8;105.1;98.8;3.8;1.5;2.2
46;Detailhandel geen apotheek, tankstations;2002 oktober;110.2;106.3;103.6;5.2;0.6;4.6
47;Detailhandel geen apotheek, tankstations;2002 november;108.7;105.8;102.7;0.7;0.3;0.4
48;Detailhandel geen apotheek, tankstations;2002 december;120.1;104.9;114.5;0.3;0.0;0.3
49;Detailhandel geen apotheek, tankstations;2002 4e kwartaal;113.0;105.7;106.9;2.0;0.3;1.7
50;Detailhandel geen apotheek, tankstations;2002;104.9;105.8;99.1;3.1;1.8;1.3
51;Detailhandel geen apotheek, tankstations;2003 januari;96.9;103.4;93.7;3.9;-0.9;4.9
52;Detailhandel geen apotheek, tankstations;2003 februari;90.7;104.2;87.1;2.7;-1.1;3.9
53;Detailhandel geen apotheek, tankstations;2003 maart;101.9;106.5;95.7;-3.1;-0.5;-2.5
54;Detailhandel geen apotheek, tankstations;2003 1e kwartaal;96.5;104.7;92.2;1.0;-0.9;1.9
55;Detailhandel geen apotheek, tankstations;2003 april;104.6;106.4;98.3;0.7;-0.8;1.4
56;Detailhandel geen apotheek, tankstations;2003 mei;110.6;106.4;104.0;-0.6;-0.6;0.0
57;Detailhandel geen apotheek, tankstations;2003 juni;100.8;104.8;96.2;-5.2;-1.2;-4.0
58;Detailhandel geen apotheek, tankstations;2003 2e kwartaal;105.3;105.9;99.5;-1.7;-0.9;-0.8
59;Detailhandel geen apotheek, tankstations;2003 juli;102.0;103.0;99.0;-1.9;-0.9;-1.0
60;Detailhandel geen apotheek, tankstations;2003 augustus;98.4;103.5;95.1;-6.2;-1.0;-5.3
61;Detailhandel geen apotheek, tankstations;2003 september;100.0;106.1;94.2;-2.3;-0.5;-1.8
62;Detailhandel geen apotheek, tankstations;2003 3e kwartaal;100.1;104.2;96.1;-3.5;-0.8;-2.7
63;Detailhandel geen apotheek, tankstations;2003 oktober;108.8;105.4;103.3;-1.2;-0.9;-0.3
64;Detailhandel geen apotheek, tankstations;2003 november;100.7;104.6;96.2;-7.4;-1.2;-6.3
65;Detailhandel geen apotheek, tankstations;2003 december;116.7;103.1;113.2;-2.8;-1.7;-1.2
66;Detailhandel geen apotheek, tankstations;2003 4e kwartaal;108.7;104.4;104.2;-3.8;-1.2;-2.6
67;Detailhandel geen apotheek, tankstations;2003;102.7;104.8;98.0;-2.1;-1.0;-1.1
68;Detailhandel geen apotheek, tankstations;2004 januari;95.3;101.1;94.3;-1.7;-2.2;0.6
69;Detailhandel geen apotheek, tankstations;2004 februari;86.6;102.1;84.9;-4.6;-2.1;-2.6
70;Detailhandel geen apotheek, tankstations;2004 maart;98.9;103.6;95.4;-2.9;-2.7;-0.2
71;Detailhandel geen apotheek, tankstations;2004 1e kwartaal;93.6;102.3;91.5;-3.0;-2.3;-0.7
72;Detailhandel geen apotheek, tankstations;2004 april;103.9;103.7;100.2;-0.6;-2.5;1.9
73;Detailhandel geen apotheek, tankstations;2004 mei;103.5;103.5;100.0;-6.4;-2.7;-3.8
74;Detailhandel geen apotheek, tankstations;2004 juni;102.6;102.1;100.6;1.8;-2.7;4.6
75;Detailhandel geen apotheek, tankstations;2004 2e kwartaal;103.4;103.1;100.3;-1.9;-2.6;0.8
76;Detailhandel geen apotheek, tankstations;2004 juli;103.6;100.1;103.6;1.6;-2.9;4.6
77;Detailhandel geen apotheek, tankstations;2004 augustus;93.4;100.5;92.9;-5.1;-2.9;-2.3
78;Detailhandel geen apotheek, tankstations;2004 september;98.9;102.7;96.4;-1.1;-3.2;2.2
79;Detailhandel geen apotheek, tankstations;2004 3e kwartaal;98.6;101.1;97.6;-1.5;-3.0;1.5
80;Detailhandel geen apotheek, tankstations;2004 oktober;102.3;102.5;99.8;-6.0;-2.7;-3.4
81;Detailhandel geen apotheek, tankstations;2004 november;97.9;102.0;96.0;-2.8;-2.5;-0.3
82;Detailhandel geen apotheek, tankstations;2004 december;117.5;100.1;117.4;0.7;-2.9;3.7
83;Detailhandel geen apotheek, tankstations;2004 4e kwartaal;105.9;101.5;104.3;-2.6;-2.7;0.1
84;Detailhandel geen apotheek, tankstations;2004;100.4;102.0;98.4;-2.2;-2.7;0.4
85;Detailhandel geen apotheek, tankstations;2005 januari;87.7;98.4;89.2;-8.0;-2.7;-5.4
86;Detailhandel geen apotheek, tankstations;2005 februari;84.0;99.8;84.2;-3.0;-2.2;-0.8
87;Detailhandel geen apotheek, tankstations;2005 maart;100.2;101.7;98.5;1.3;-1.8;3.2
88;Detailhandel geen apotheek, tankstations;2005 1e kwartaal;90.6;100.0;90.7;-3.2;-2.3;-0.9
89;Detailhandel geen apotheek, tankstations;2005 april;100.3;101.3;99.0;-3.5;-2.4;-1.2
90;Detailhandel geen apotheek, tankstations;2005 mei;98.4;101.3;97.1;-4.9;-2.1;-2.9
91;Detailhandel geen apotheek, tankstations;2005 juni;103.8;99.9;103.9;1.1;-2.1;3.4
92;Detailhandel geen apotheek, tankstations;2005 2e kwartaal;100.8;100.8;100.0;-2.4;-2.2;-0.3
93;Detailhandel geen apotheek, tankstations;2005 juli;100.3;97.9;102.5;-3.2;-2.2;-1.0
94;Detailhandel geen apotheek, tankstations;2005 augustus;96.4;98.5;97.9;3.3;-2.0;5.4
95;Detailhandel geen apotheek, tankstations;2005 september;101.4;100.5;100.9;2.5;-2.2;4.7
96;Detailhandel geen apotheek, tankstations;2005 3e kwartaal;99.4;98.9;100.4;0.7;-2.1;2.9
97;Detailhandel geen apotheek, tankstations;2005 oktober;102.8;100.7;102.1;0.5;-1.7;2.3
98;Detailhandel geen apotheek, tankstations;2005 november;102.6;100.7;101.9;4.8;-1.3;6.2
99;Detailhandel geen apotheek, tankstations;2005 december;122.1;99.4;122.8;3.9;-0.7;4.6
100;Detailhandel geen apotheek, tankstations;2005 4e kwartaal;109.2;100.3;108.8;3.1;-1.2;4.4
101;Detailhandel geen apotheek, tankstations;2005;100.0;100.0;100.0;-0.4;-2.0;1.6
102;Detailhandel geen apotheek, tankstations;2006 januari;92.3;98.0;94.1;5.2;-0.3;5.5
103;Detailhandel geen apotheek, tankstations;2006 februari;87.7;99.4;88.2;4.3;-0.4;4.7
104;Detailhandel geen apotheek, tankstations;2006 maart;105.0;101.3;103.6;4.8;-0.4;5.2
105;Detailhandel geen apotheek, tankstations;2006 1e kwartaal;95.0;99.6;95.4;4.8;-0.4;5.2
106;Detailhandel geen apotheek, tankstations;2006 april;104.7;101.8;102.9;4.4;0.5;3.9
107;Detailhandel geen apotheek, tankstations;2006 mei;110.3;101.8;108.3;12.1;0.5;11.5
108;Detailhandel geen apotheek, tankstations;2006 juni;110.4;100.6;109.8;6.4;0.8;5.6
109;Detailhandel geen apotheek, tankstations;2006 2e kwartaal;108.5;101.4;107.0;7.6;0.6;7.0
110;Detailhandel geen apotheek, tankstations;2006 juli;102.1;98.2;104.1;1.8;0.3;1.5
111;Detailhandel geen apotheek, tankstations;2006 augustus;105.6;99.8;105.8;9.6;1.3;8.1
112;Detailhandel geen apotheek, tankstations;2006 september;106.1;101.9;104.2;4.7;1.4;3.3
113;Detailhandel geen apotheek, tankstations;2006 3e kwartaal;104.6;99.9;104.7;5.3;1.0;4.2
114;Detailhandel geen apotheek, tankstations;2006 oktober;105.1;101.7;103.4;2.2;0.9;1.3
115;Detailhandel geen apotheek, tankstations;2006 november;108.3;101.5;106.7;5.6;0.8;4.7
116;Detailhandel geen apotheek, tankstations;2006 december;124.3;100.4;123.8;1.8;1.0;0.8
117;Detailhandel geen apotheek, tankstations;2006 4e kwartaal;112.5;101.2;111.2;3.1;0.9;2.2
118;Detailhandel geen apotheek, tankstations;2006;105.2;100.5;104.6;5.2;0.5;4.6
119;Detailhandel geen apotheek, tankstations;2007 januari;96.1;98.7;97.4;4.1;0.6;3.5
120;Detailhandel geen apotheek, tankstations;2007 februari;91.7;99.7;92.0;4.6;0.3;4.3
121;Detailhandel geen apotheek, tankstations;2007 maart;112.6;102.3;110.1;7.3;1.0;6.2
122;Detailhandel geen apotheek, tankstations;2007 1e kwartaal;100.1;100.2;99.9;5.4;0.6;4.8
123;Detailhandel geen apotheek, tankstations;2007 april;108.7;103.0;105.5;3.8;1.2;2.6
124;Detailhandel geen apotheek, tankstations;2007 mei;113.1;102.7;110.1;2.5;0.8;1.7
125;Detailhandel geen apotheek, tankstations;2007 juni;116.2;101.2;114.8;5.2;0.6;4.6
126;Detailhandel geen apotheek, tankstations;2007 2e kwartaal;112.6;102.3;110.1;3.8;0.9;2.9
127;Detailhandel geen apotheek, tankstations;2007 juli;106.3;99.6;106.7;4.1;1.5;2.6
128;Detailhandel geen apotheek, tankstations;2007 augustus;108.3;100.1;108.2;2.6;0.3;2.3
129;Detailhandel geen apotheek, tankstations;2007 september;107.7;101.9;105.7;1.5;0.0;1.5
130;Detailhandel geen apotheek, tankstations;2007 3e kwartaal;107.4;100.5;106.9;2.7;0.6;2.1
131;Detailhandel geen apotheek, tankstations;2007 oktober;111.7;102.4;109.2;6.3;0.7;5.6
132;Detailhandel geen apotheek, tankstations;2007 november;112.7;102.4;110.1;4.1;0.9;3.2
133;Detailhandel geen apotheek, tankstations;2007 december;128.1;101.3;126.5;3.1;0.9;2.2
134;Detailhandel geen apotheek, tankstations;2007 4e kwartaal;117.5;102.0;115.2;4.4;0.8;3.6
135;Detailhandel geen apotheek, tankstations;2007;109.4;101.3;108.1;4.1;0.7;3.3
136;Detailhandel geen apotheek, tankstations;2008 januari;100.8;100.0;100.8;4.9;1.3;3.5
137;Detailhandel geen apotheek, tankstations;2008 februari;100.9;101.6;99.3;10.1;1.9;8.0
138;Detailhandel geen apotheek, tankstations;2008 maart;109.1;104.5;104.5;-3.1;2.1;-5.1
139;Detailhandel geen apotheek, tankstations;2008 1e kwartaal;103.6;102.0;101.6;3.5;1.8;1.7
140;Detailhandel geen apotheek, tankstations;2008 april;112.6;104.6;107.6;3.6;1.6;2.0
141;Detailhandel geen apotheek, tankstations;2008 mei;122.0;104.8;116.4;7.9;2.1;5.7
142;Detailhandel geen apotheek, tankstations;2008 juni;111.8;103.5;108.1;-3.8;2.2;-5.8
143;Detailhandel geen apotheek, tankstations;2008 2e kwartaal;115.5;104.3;110.7;2.5;1.9;0.6
144;Detailhandel geen apotheek, tankstations;2008 juli;112.0;101.5;110.4;5.4;1.9;3.4
145;Detailhandel geen apotheek, tankstations;2008 augustus;109.8;102.4;107.3;1.4;2.3;-0.9
146;Detailhandel geen apotheek, tankstations;2008 september;109.5;104.3;105.0;1.7;2.4;-0.7
147;Detailhandel geen apotheek, tankstations;2008 3e kwartaal;110.4;102.7;107.5;2.8;2.2;0.6
148;Detailhandel geen apotheek, tankstations;2008 oktober;117.4;104.9;112.0;5.1;2.4;2.6
149;Detailhandel geen apotheek, tankstations;2008 november;110.9;105.1;105.5;-1.7;2.6;-4.1
150;Detailhandel geen apotheek, tankstations;2008 december;130.7;103.7;126.1;2.1;2.4;-0.3
151;Detailhandel geen apotheek, tankstations;2008 4e kwartaal;119.7;104.5;114.5;1.8;2.5;-0.6
152;Detailhandel geen apotheek, tankstations;2008;112.3;103.4;108.6;2.6;2.1;0.5
153;Detailhandel geen apotheek, tankstations;2009 januari;102.6;101.9;100.7;1.8;2.0;-0.1
154;Detailhandel geen apotheek, tankstations;2009 februari;93.5;103.4;90.4;-7.4;1.8;-9.0
155;Detailhandel geen apotheek, tankstations;2009 maart;104.3;106.6;97.8;-4.4;2.0;-6.3
156;Detailhandel geen apotheek, tankstations;2009 1e kwartaal;100.1;104.0;96.3;-3.3;1.9;-5.2
157;Detailhandel geen apotheek, tankstations;2009 april;111.5;106.7;104.5;-1.0;2.0;-2.9
158;Detailhandel geen apotheek, tankstations;2009 mei;112.9;106.6;105.8;-7.5;1.7;-9.1
159;Detailhandel geen apotheek, tankstations;2009 juni;108.8;104.9;103.7;-2.7;1.4;-4.0
160;Detailhandel geen apotheek, tankstations;2009 2e kwartaal;111.1;106.1;104.7;-3.8;1.7;-5.4
161;Detailhandel geen apotheek, tankstations;2009 juli;109.8;102.4;107.2;-2.0;0.9;-2.9
162;Detailhandel geen apotheek, tankstations;2009 augustus;102.2;103.1;99.1;-7.0;0.7;-7.6
163;Detailhandel geen apotheek, tankstations;2009 september;105.4;105.2;100.2;-3.8;0.8;-4.5
164;Detailhandel geen apotheek, tankstations;2009 3e kwartaal;105.8;103.6;102.1;-4.2;0.8;-5.0
165;Detailhandel geen apotheek, tankstations;2009 oktober;113.1;105.6;107.2;-3.7;0.6;-4.3
166;Detailhandel geen apotheek, tankstations;2009 november;103.6;105.3;98.4;-6.6;0.2;-6.8
167;Detailhandel geen apotheek, tankstations;2009 december;127.1;103.7;122.5;-2.8;0.0;-2.8
168;Detailhandel geen apotheek, tankstations;2009 4e kwartaal;114.6;104.9;109.3;-4.2;0.3;-4.5
169;Detailhandel geen apotheek, tankstations;2009;107.9;104.6;103.1;-3.9;1.2;-5.1
170;Detailhandel geen apotheek, tankstations;2010 januari;97.4;102.1;95.4;-5.1;0.1;-5.2
171;Detailhandel geen apotheek, tankstations;2010 februari;90.2;103.5;87.2;-3.5;0.0;-3.6
172;Detailhandel geen apotheek, tankstations;2010 maart;107.0;106.6;100.3;2.6;0.0;2.5
