ID;Geslacht;Leeftijd;Nationaliteit;AfgeleidMigratiedoel;SociaaleconomischeCategorie;Verblijfsduur;JaarVanImmigratie;ImmigrantenUitEUEFTALanden_1
0;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;1999 ;65180.0
1;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2000 ;67445.0
2;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2001;65205.0
3;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2002 ;59670.0
4;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2003;53575.0
5;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2004 ;58400.0
6;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2005 ;60070.0
7;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2006;68805.0
8;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2007 ;84770.0
9;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2008;100855.0
10;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2009;100940.0
11;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2010 ;105355.0
12;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2011;114270.0
13;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2012 ;114045.0
14;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2013 ;116115.0
15;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2014 ;125765.0
16;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2015 ;127815.0
17;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2016;137670.0
18;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2017;151200.0
19;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2018;163245.0
20;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2019;178860.0
21;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2020;159830.0
22;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2021;162625.0
23;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2022;173110.0
24;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;1999 ;65180.0
25;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2000 ;67445.0
26;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2001;65205.0
