ID;Persoonskenmerken;Geslacht;Perioden;TotaalTijdsbestedingInUrenMinuten_1;PersoonlijkeVerzorging_2;VerzorgingVanAnderen_3;Onderweg_4;BetaaldWerk_5;Onderwijs_6;HuishoudelijkeVerplichtingen_7;Vrijwilligerswerk_8;VrijeTijd_9;OverigeEnOnbekendeTijdsbesteding_10;PersoonlijkeVerzorging_11;VerzorgingVanAnderen_12;Onderweg_13;BetaaldWerk_14;Onderwijs_15;HuishoudelijkeVerplichtingen_16;Vrijwilligerswerk_17;VrijeTijd_18;OverigeEnOnbekendeTijdsbesteding_19
0;Eenpersoonshuishouden;Mannen en vrouwen;1997; 24:00;11:05;0:10 ; 0:42 ; 2:05 ; 0:25 ; 1:55 ; 0:12 ; 6:58 ; 0:31 ;100.0;8.0;54.0;27.0;11.0;74.0;7.0;98.0;27.0
1;Eenpersoonshuishouden;Mannen en vrouwen;1999; 24:00;10:14;0:11 ; 0:47 ; 2:15 ; 0:24 ; 2:26 ; 0:10 ; 7:02 ; 0:31 ;100.0;8.0;53.0;28.0;9.0;82.0;5.0;98.0;28.0
2;Eenpersoonshuishouden;Mannen en vrouwen;2001; 24:00;10:18;0:10 ; 0:45 ; 2:24 ; 0:23 ; 2:22 ; 0:12 ; 6:57 ; 0:28 ;100.0;6.0;54.0;30.0;9.0;82.0;7.0;99.0;24.0
3;Eenpersoonshuishouden;Mannen en vrouwen;2003; 24:00;10:14;0:07 ; 0:50 ; 2:05 ; 0:19 ; 2:33 ; 0:11 ; 7:20 ; 0:21 ;100.0;6.0;58.0;27.0;8.0;85.0;7.0;99.0;20.0
4;Eenpersoonshuishouden;Mannen;1997; 24:00;10:53;0:08 ; 0:44 ; 2:36 ; 0:29 ; 1:37 ; 0:12 ; 6:52 ; 0:29 ;100.0;7.0;55.0;34.0;12.0;65.0;8.0;97.0;24.0
5;Eenpersoonshuishouden;Mannen;1999; 24:00;9:32 ;0:08 ; 1:01 ; 3:22 ; 0:23 ; 1:57 ; 0:09 ; 6:54 ; 0:34 ;100.0;5.0;61.0;39.0;11.0;73.0;6.0;98.0;26.0
6;Eenpersoonshuishouden;Mannen;2001; 24:00;9:51 ;0:06 ; 0:51 ; 3:28 ; 0:27 ; 1:50 ; 0:16 ; 6:49 ; 0:22 ;100.0;5.0;60.0;41.0;10.0;78.0;8.0;98.0;21.0
7;Eenpersoonshuishouden;Mannen;2003; 24:00;9:45 ;0:04 ; 0:55 ; 3:04 ; 0:20 ; 2:11 ; 0:15 ; 7:08 ; 0:18 ;100.0;5.0;62.0;37.0;8.0;81.0;8.0;99.0;16.0
8;Eenpersoonshuishouden;Vrouwen;1997; 24:00;11:16;0:12 ; 0:39 ; 1:33 ; 0:20 ; 2:12 ; 0:12 ; 7:03 ; 0:33 ;100.0;10.0;53.0;21.0;9.0;82.0;6.0;98.0;31.0
9;Eenpersoonshuishouden;Vrouwen;1999; 24:00;10:45;0:13 ; 0:37 ; 1:25 ; 0:24 ; 2:47 ; 0:11 ; 7:09 ; 0:29 ;100.0;9.0;47.0;19.0;8.0;88.0;5.0;98.0;29.0
