ID;Providers;Financing;Periods;HealthCareExpenditure_1
0;Total health care providers;Total financing of residents;2021;100183.0
1;Total health care providers;Total financing of residents;2022;100607.0
2;Total health care providers;Total financing of residents;2023;106359.0
3;Total health care providers;HF1: Government, comp. contr. schemes;2021;84279.0
4;Total health care providers;HF1: Government, comp. contr. schemes;2022;83775.0
5;Total health care providers;HF1: Government, comp. contr. schemes;2023;88424.0
6;Total health care providers;HF11: Government schemes;2021;14116.0
7;Total health care providers;HF11: Government schemes;2022;11184.0
8;Total health care providers;HF11: Government schemes;2023;9636.0
9;Total health care providers;HF12: Compulsory contributory schemes;2021;70163.0
10;Total health care providers;HF12: Compulsory contributory schemes;2022;72591.0
11;Total health care providers;HF12: Compulsory contributory schemes;2023;78788.0
12;Total health care providers;HF121a: Long-term care insurance;2021;21916.0
13;Total health care providers;HF121a: Long-term care insurance;2022;23052.0
14;Total health care providers;HF121a: Long-term care insurance;2023;25489.0
15;Total health care providers;HF121b: Health Insurance Fund;2021;
16;Total health care providers;HF121b: Health Insurance Fund;2022;
17;Total health care providers;HF121b: Health Insurance Fund;2023;
18;Total health care providers;HF122: Compulsory private insurance;2021;48247.0
19;Total health care providers;HF122: Compulsory private insurance;2022;49538.0
20;Total health care providers;HF122: Compulsory private insurance;2023;53300.0
21;Total health care providers;Voluntary schemes (incl. OOP);2021;15904.0
22;Total health care providers;Voluntary schemes (incl. OOP);2022;16832.0
23;Total health care providers;Voluntary schemes (incl. OOP);2023;17935.0
24;Total health care providers;HF2: Voluntary schemes;2021;5243.0
25;Total health care providers;HF2: Voluntary schemes;2022;5230.0
26;Total health care providers;HF2: Voluntary schemes;2023;5594.0
27;Total health care providers;HF21: Voluntary health insurance schemes;2021;4127.0
28;Total health care providers;HF21: Voluntary health insurance schemes;2022;4135.0
29;Total health care providers;HF21: Voluntary health insurance schemes;2023;4422.0
30;Total health care providers;HF22: Financing schemes NPISH;2021;44.0
31;Total health care providers;HF22: Financing schemes NPISH;2022;46.0
32;Total health care providers;HF22: Financing schemes NPISH;2023;51.0
33;Total health care providers;HF23: Enterprise financing schemes;2021;1072.0
34;Total health care providers;HF23: Enterprise financing schemes;2022;1049.0
35;Total health care providers;HF23: Enterprise financing schemes;2023;1121.0
36;Total health care providers;HF3: Household out-of-pocket payments;2021;10662.0
37;Total health care providers;HF3: Household out-of-pocket payments;2022;11602.0
38;Total health care providers;HF3: Household out-of-pocket payments;2023;12341.0
39;Total health care providers;HF31: Out-of-pocket excl cost sharing;2021;5574.0
40;Total health care providers;HF31: Out-of-pocket excl cost sharing;2022;6305.0
41;Total health care providers;HF31: Out-of-pocket excl cost sharing;2023;6835.0
42;Total health care providers;HF32: Cost sharing;2021;5088.0
43;Total health care providers;HF32: Cost sharing;2022;5297.0
44;Total health care providers;HF32: Cost sharing;2023;5506.0
45;HP1: Hospitals;Total financing of residents;2021;32424.0
46;HP1: Hospitals;Total financing of residents;2022;33212.0
47;HP1: Hospitals;Total financing of residents;2023;35430.0
48;HP1: Hospitals;HF1: Government, comp. contr. schemes;2021;30351.0
49;HP1: Hospitals;HF1: Government, comp. contr. schemes;2022;31062.0
50;HP1: Hospitals;HF1: Government, comp. contr. schemes;2023;33226.0
51;HP1: Hospitals;HF11: Government schemes;2021;2582.0
52;HP1: Hospitals;HF11: Government schemes;2022;2610.0
53;HP1: Hospitals;HF11: Government schemes;2023;2526.0
54;HP1: Hospitals;HF12: Compulsory contributory schemes;2021;27769.0
55;HP1: Hospitals;HF12: Compulsory contributory schemes;2022;28453.0
