ID;Geslacht;LeeftijdBeginPeriode;Herkomstgroepering;InkomstenbronVoorInstroomNaUitstroom;Perioden;InstromersInAOUitkering_1;InstromersInWWUitkering_2;InstromersInBijstandsuitkering_3;UitstromersUitAOUitkering_4;UitstromersUitWWUitkering_5;UitstromersUitBijstandsuitkering_6
0;Totaal mannen en vrouwen;0;0;0;24 september 1999 tot 29 september 2000;93.5;53.5;65.9;72.7;82.7;96.1
1;Totaal mannen en vrouwen;0;0;0;29 september 2000 tot 28 september 2001;97.3;53.4;61.6;77.7;68.5;80.8
2;Totaal mannen en vrouwen;0;0;0;28 september 2001 tot 27 september 2002;94.0;82.3;65.3;77.6;62.3;70.2
3;Totaal mannen en vrouwen;0;0;0;27 september 2002 tot 26 september 2003;76.0;128.8;78.1;81.5;65.9;60.0
4;Totaal mannen en vrouwen;0;0;0;26 september 2003 tot 24 september 2004;68.0;132.7;73.1;81.3;92.3;65.1
5;Totaal mannen en vrouwen;0;0;0;24 september 2004 tot 30 september 2005;39.7;121.6;75.8;83.6;123.9;72.4
6;Totaal mannen en vrouwen;0;0;0;30 september 2005 tot 29 september 2006;38.2;98.0;63.1;0.0;134.8;86.8
7;Totaal mannen en vrouwen;0;0;0;29 september 2006 tot 28 september 2007;51.7;69.7;52.6;66.5;119.8;85.5
8;Totaal mannen en vrouwen;0;0;0;28 september 2007 tot 26 september 2008;48.7;65.5;58.7;57.9;95.6;72.7
9;Totaal mannen en vrouwen;0;0;1;24 september 1999 tot 29 september 2000;69.1;41.6;21.4;24.8;49.2;56.5
10;Totaal mannen en vrouwen;0;0;1;29 september 2000 tot 28 september 2001;74.0;40.1;20.3;27.1;38.2;43.7
11;Totaal mannen en vrouwen;0;0;1;28 september 2001 tot 27 september 2002;68.5;63.7;22.2;28.4;31.5;34.5
12;Totaal mannen en vrouwen;0;0;1;27 september 2002 tot 26 september 2003;52.1;101.2;27.3;27.8;36.3;25.3
13;Totaal mannen en vrouwen;0;0;1;26 september 2003 tot 24 september 2004;43.4;102.4;24.3;25.0;55.1;25.9
14;Totaal mannen en vrouwen;0;0;1;24 september 2004 tot 30 september 2005;21.2;93.3;21.8;24.2;73.9;29.5
15;Totaal mannen en vrouwen;0;0;1;30 september 2005 tot 29 september 2006;16.6;70.0;15.8;0.0;85.4;41.0
16;Totaal mannen en vrouwen;0;0;1;29 september 2006 tot 28 september 2007;20.5;50.7;14.0;17.5;77.1;44.0
17;Totaal mannen en vrouwen;0;0;1;28 september 2007 tot 26 september 2008;21.9;52.8;15.9;12.9;55.9;35.9
18;Totaal mannen en vrouwen;0;0;2;24 september 1999 tot 29 september 2000;64.3;41.2;19.3;21.7;45.6;53.1
19;Totaal mannen en vrouwen;0;0;2;29 september 2000 tot 28 september 2001;69.7;39.6;18.4;23.7;35.3;41.0
20;Totaal mannen en vrouwen;0;0;2;28 september 2001 tot 27 september 2002;64.1;63.0;19.9;25.2;29.1;32.2
