ID;Persoonskenmerken;Perioden;EconomieEnFinancien_1;SocialeZekerheid_2;Politiek_3;Criminaliteit_4;Defensie_5;Gezondheidszorg_6;Onderwijs_7;InkomenEnPrijzen_8;Werkgelegenheid_9;VerkeerEnVervoer_10;Wonen_11;Milieu_12;Bevolking_13;Minderheden_14;WaardenEnNormen_15;Vrijetijdsbesteding_16
0;Totaal;2006;   12   ;   15   ;   15   ;   22   ;    2   ;   23   ;   11   ;   21   ;    9   ;   11   ;    4   ;    8   ;    6   ;   36   ;   19   ;    3   
1;Totaal;2010;   38   ;   12   ;   19   ;   22   ;    1   ;   20   ;   10   ;   11   ;   10   ;    5   ;    7   ;    5   ;    2   ;   22   ;   15   ;    2   
2;Totaal;2012;   47   ;   14   ;   13   ;   13   ;    0   ;   19   ;   11   ;   22   ;   20   ;    2   ;    9   ;    4   ;    2   ;   14   ;   12   ;    0   
3;Geslacht: mannen;2006;   12   ;   14   ;   18   ;   18   ;    3   ;   17   ;    9   ;   21   ;   10   ;   14   ;    3   ;    8   ;    7   ;   37   ;   18   ;    2   
4;Geslacht: mannen;2010;   41   ;   13   ;   21   ;   22   ;    1   ;   15   ;    8   ;   11   ;   11   ;    7   ;    7   ;    6   ;    2   ;   23   ;   15   ;    2   
5;Geslacht: mannen;2012;   48   ;   15   ;   14   ;   11   ;    0   ;   15   ;    7   ;   22   ;   23   ;    2   ;   10   ;    4   ;    2   ;   15   ;   14   ;    0   
6;Geslacht: vrouwen;2006;   12   ;   16   ;   12   ;   26   ;    2   ;   30   ;   13   ;   20   ;    7   ;    8   ;    5   ;    8   ;    4   ;   36   ;   21   ;    3   
7;Geslacht: vrouwen;2010;   35   ;   12   ;   16   ;   22   ;    1   ;   24   ;   13   ;   11   ;    9   ;    4   ;    7   ;    5   ;    2   ;   21   ;   16   ;    2   
8;Geslacht: vrouwen;2012;   47   ;   14   ;   11   ;   15   ;    1   ;   24   ;   15   ;   23   ;   18   ;    1   ;    8   ;    4   ;    2   ;   13   ;   10   ;    0   
9;Leeftijd: 18 tot 25 jaar;2006;    8   ;    8   ;   13   ;   19   ;    4   ;   12   ;   13   ;   17   ;   10   ;   14   ;    5   ;    5   ;    5   ;   32   ;   10   ;    2   
10;Leeftijd: 18 tot 25 jaar;2010;   36   ;    9   ;   13   ;   25   ;    0   ;   14   ;   15   ;    6   ;   10   ;    5   ;    3   ;    4   ;    1   ;   24   ;    7   ;    1   
11;Leeftijd: 18 tot 25 jaar;2012;   54   ;   10   ;    7   ;    9   ;    1   ;    8   ;   25   ;   17   ;   21   ;    2   ;    6   ;    5   ;    1   ;   13   ;    5   ;    0   
12;Leeftijd: 25 tot 35 jaar;2006;   16   ;   16   ;   13   ;   19   ;    2   ;   21   ;   11   ;   22   ;   10   ;   13   ;    2   ;    6   ;    4   ;   33   ;   14   ;    3   
13;Leeftijd: 25 tot 35 jaar;2010;   39   ;   10   ;   19   ;   15   ;    1   ;   18   ;   11   ;   13   ;   13   ;    5   ;   11   ;    5   ;    3   ;   22   ;   14   ;    2   
14;Leeftijd: 25 tot 35 jaar;2012;   56   ;   11   ;   13   ;   10   ;    0   ;   10   ;   10   ;   18   ;   18   ;    1   ;    9   ;    4   ;    3   ;   13   ;   12   ;    0   
15;Leeftijd: 35 tot 45 jaar;2006;   13   ;   16   ;   17   ;   24   ;    3   ;   26   ;   13   ;   24   ;    8   ;    9   ;    3   ;    9   ;    5   ;   37   ;   20   ;    3   
16;Leeftijd: 35 tot 45 jaar;2010;   44   ;   13   ;   18   ;   19   ;    1   ;   24   ;   11   ;   15   ;    9   ;    6   ;   10   ;    6   ;    1   ;   20   ;   17   ;    3   
17;Leeftijd: 35 tot 45 jaar;2012;   52   ;   11   ;   12   ;   13   ;    0   ;   20   ;   10   ;   26   ;   21   ;    2   ;   13   ;    4   ;    3   ;   13   ;   14   ;    0   
18;Leeftijd: 45 tot 55 jaar;2006;   14   ;   16   ;   17   ;   18   ;    3   ;   28   ;   14   ;   22   ;   11   ;   11   ;    3   ;   11   ;    8   ;   38   ;   22   ;    1   
19;Leeftijd: 45 tot 55 jaar;2010;   39   ;   14   ;   20   ;   23   ;    1   ;   21   ;   11   ;   13   ;   14   ;    6   ;    7   ;    9   ;    2   ;   23   ;   18   ;    1   
20;Leeftijd: 45 tot 55 jaar;2012;   43   ;   12   ;   14   ;   14   ;    0   ;   25   ;   15   ;   20   ;   21   ;    2   ;   11   ;    4   ;    2   ;   15   ;   16   ;    0   
21;Leeftijd: 55 tot 65 jaar;2006;   11   ;   19   ;   16   ;   24   ;    1   ;   26   ;    9   ;   17   ;    8   ;   10   ;    6   ;    7   ;    6   ;   43   ;   24   ;    5   
22;Leeftijd: 55 tot 65 jaar;2010;   41   ;   14   ;   16   ;   26   ;    0   ;   22   ;    9   ;   11   ;    9   ;    5   ;    6   ;    4   ;    2   ;   23   ;   17   ;    3   
23;Leeftijd: 55 tot 65 jaar;2012;   51   ;   23   ;   16   ;   10   ;    0   ;   25   ;    8   ;   24   ;   23   ;    2   ;    8   ;    5   ;    2   ;   13   ;   11   ;    0   
24;Leeftijd: 65 tot 75 jaar;2006;    7   ;   13   ;   11   ;   26   ;    1   ;   22   ;    7   ;   18   ;    4   ;   10   ;    3   ;    9   ;    7   ;   33   ;   23   ;    4   
25;Leeftijd: 65 tot 75 jaar;2010;   33   ;   12   ;   28   ;   28   ;    2   ;   17   ;    9   ;    7   ;    9   ;    7   ;    5   ;    2   ;    3   ;   22   ;   20   ;    2   
26;Leeftijd: 65 tot 75 jaar;2012;   37   ;   20   ;   12   ;   15   ;    1   ;   25   ;   10   ;   27   ;   19   ;    1   ;    7   ;    5   ;    2   ;   17   ;    9   ;    1   
27;Leeftijd: 75 jaar of ouder;2006;   11   ;   17   ;    9   ;   29   ;    0   ;   20   ;    7   ;   21   ;    5   ;    9   ;    8   ;    5   ;    3   ;   32   ;   21   ;    4   
28;Leeftijd: 75 jaar of ouder;2010;   27   ;   13   ;   16   ;   20   ;    0   ;   19   ;    7   ;    9   ;    3   ;    4   ;    6   ;    2   ;    6   ;   22   ;   10   ;    2   
29;Leeftijd: 75 jaar of ouder;2012;   34   ;   14   ;   10   ;   19   ;    2   ;   16   ;    3   ;   24   ;   17   ;    2   ;    6   ;    2   ;    4   ;   16   ;   11   ;    1   
30;Burgerlijke staat: ongehuwd;2006;   11   ;   11   ;   16   ;   21   ;    4   ;   21   ;   12   ;   21   ;    8   ;   12   ;    3   ;    8   ;    4   ;   34   ;   15   ;    2   
31;Burgerlijke staat: ongehuwd;2010;   39   ;   10   ;   17   ;   22   ;    1   ;   16   ;   12   ;   11   ;   11   ;    6   ;    6   ;    5   ;    2   ;   24   ;   12   ;    2   
32;Burgerlijke staat: ongehuwd;2012;   53   ;   10   ;   11   ;   10   ;    1   ;   13   ;   13   ;   20   ;   21   ;    2   ;   11   ;    7   ;    2   ;   12   ;   12   ;    0   
33;Burgerlijke staat: gehuwd/partnerschap;2006;   13   ;   17   ;   15   ;   23   ;    2   ;   25   ;   12   ;   20   ;    9   ;   11   ;    4   ;    8   ;    6   ;   37   ;   21   ;    3   
34;Burgerlijke staat: gehuwd/partnerschap;2010;   40   ;   13   ;   19   ;   23   ;    1   ;   22   ;   10   ;   11   ;   10   ;    6   ;    8   ;    6   ;    2   ;   21   ;   17   ;    3   
35;Burgerlijke staat: gehuwd/partnerschap;2012;   46   ;   17   ;   13   ;   12   ;    0   ;   24   ;   11   ;   23   ;   21   ;    2   ;    9   ;    3   ;    2   ;   15   ;   12   ;    0   
36;Burgerlijke staat: gescheiden;2006;   14   ;   22   ;   19   ;   21   ;    0   ;   23   ;    6   ;   26   ;    7   ;    9   ;    2   ;   10   ;    6   ;   46   ;   25   ;    3   
37;Burgerlijke staat: gescheiden;2010;   34   ;   12   ;   21   ;   20   ;    0   ;   21   ;   11   ;   14   ;    8   ;    5   ;    5   ;    5   ;    1   ;   29   ;   18   ;    1   
38;Burgerlijke staat: gescheiden;2012;   40   ;   13   ;   17   ;   14   ;    0   ;   17   ;   12   ;   28   ;   15   ;    1   ;    9   ;    4   ;    4   ;   15   ;    9   ;    0   
39;Burgerlijke staat: verweduwd;2006;    9   ;   15   ;    7   ;   22   ;    1   ;   21   ;    7   ;   20   ;    5   ;    4   ;    6   ;    6   ;    4   ;   32   ;   19   ;    5   
40;Burgerlijke staat: verweduwd;2010;   26   ;   17   ;   25   ;   18   ;    1   ;   20   ;    8   ;    8   ;    5   ;    2   ;    8   ;    1   ;    2   ;   19   ;   17   ;    1   
41;Burgerlijke staat: verweduwd;2012;   43   ;   16   ;   12   ;   26   ;    0   ;   17   ;    7   ;   18   ;   16   ;    1   ;    6   ;    1   ;    2   ;   20   ;   10   ;    1   
42;Migratieachtergrond: Nederland;2006;   12   ;   15   ;   15   ;   22   ;    3   ;   23   ;   11   ;   20   ;    8   ;   11   ;    4   ;    9   ;    6   ;   36   ;   20   ;    2   
43;Migratieachtergrond: Nederland;2010;   37   ;   13   ;   20   ;   23   ;    1   ;   20   ;   11   ;   10   ;    9   ;    6   ;    7   ;    6   ;    2   ;   22   ;   15   ;    2   
44;Migratieachtergrond: Nederland;2012;   48   ;   14   ;   13   ;   12   ;    0   ;   20   ;   11   ;   21   ;   21   ;    2   ;    9   ;    4   ;    2   ;   14   ;   11   ;    0   
