ID;Geslacht;Leeftijd;Migratieachtergrond;SamenstellingHuishouden;Perioden;PersonenMetUitgesprokenSchuldsanering_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1999;6220.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2000;13930.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2001;20465.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2002;25560.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2003;28150.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2004;33135.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2005;37150.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2006;40880.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2007;43180.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2008;38260.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2009;33315.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2010;31155.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2011;34890.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2012;38695.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2013;39760.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2014;38560.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2015;36250.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2016;33350.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2017;29450.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2018;24120.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2019;18850.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2020;13805.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2021;10310.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2022;7345.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;1999;1195.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2000;2925.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2001;4455.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2002;5655.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2003;6375.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2004;7720.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2005;8945.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2006;10425.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2007;11355.0
33;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2008;10245.0
34;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2009;9155.0
35;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2010;8550.0
36;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2011;9855.0
37;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2012;11220.0
38;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2013;11690.0
39;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2014;11345.0
40;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2015;10580.0
41;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2016;9895.0
42;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2017;8900.0
43;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2018;7370.0
44;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2019;5890.0
45;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2020;4385.0
46;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2021;3430.0
47;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2022;2595.0
48;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;1999;795.0
49;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2000;2050.0
50;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2001;3350.0
51;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2002;4610.0
52;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2003;5325.0
53;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2004;6390.0
54;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2005;6920.0
55;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2006;7455.0
56;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2007;7865.0
57;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2008;7005.0
58;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2009;6320.0
59;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2010;5890.0
60;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2011;6590.0
61;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2012;7140.0
62;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2013;7365.0
63;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2014;7110.0
64;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2015;6700.0
65;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;2016;6260.0
