ID;Geslacht;Leeftijd;LevenLangOntwikkelen;Bedrijfskenmerken;Perioden;WerkzameBeroepsbevolking15Tot75Jaar_1
0;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal personen;2013;8433.0
1;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal personen;2014;8382.0
2;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal personen;2015;8458.0
3;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal personen;2016;8570.0
4;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal personen;2017;8744.0
5;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal personen;2018;8939.0
6;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal personen;2019;9117.0
7;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal personen;2020;9116.0
8;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal personen;2021;9255.0
9;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal personen;2022;9548.0
10;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal personen;2023;9737.0
11;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;B-F Nijverheid en energie;2013;1301.0
12;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;B-F Nijverheid en energie;2014;1279.0
13;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;B-F Nijverheid en energie;2015;1318.0
14;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;B-F Nijverheid en energie;2016;1327.0
15;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;B-F Nijverheid en energie;2017;1330.0
16;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;B-F Nijverheid en energie;2018;1339.0
17;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;B-F Nijverheid en energie;2019;1347.0
18;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;B-F Nijverheid en energie;2020;1344.0
19;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;B-F Nijverheid en energie;2021;1265.0
20;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;B-F Nijverheid en energie;2022;1310.0
21;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;B-F Nijverheid en energie;2023;1345.0
22;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-I Handel, vervoer en horeca;2013;2059.0
23;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-I Handel, vervoer en horeca;2014;2068.0
24;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-I Handel, vervoer en horeca;2015;2115.0
25;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-I Handel, vervoer en horeca;2016;2147.0
26;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-I Handel, vervoer en horeca;2017;2177.0
27;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-I Handel, vervoer en horeca;2018;2239.0
28;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-I Handel, vervoer en horeca;2019;2235.0
29;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-I Handel, vervoer en horeca;2020;2127.0
30;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-I Handel, vervoer en horeca;2021;2284.0
31;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-I Handel, vervoer en horeca;2022;2320.0
32;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-I Handel, vervoer en horeca;2023;2375.0
33;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-N Commerciële dienstverlening;2013;3712.0
34;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-N Commerciële dienstverlening;2014;3720.0
35;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-N Commerciële dienstverlening;2015;3779.0
36;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-N Commerciële dienstverlening;2016;3855.0
37;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-N Commerciële dienstverlening;2017;3865.0
38;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-N Commerciële dienstverlening;2018;4020.0
39;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-N Commerciële dienstverlening;2019;4060.0
40;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-N Commerciële dienstverlening;2020;3943.0
41;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-N Commerciële dienstverlening;2021;4282.0
42;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-N Commerciële dienstverlening;2022;4409.0
43;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;G-N Commerciële dienstverlening;2023;4491.0
44;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;M-N Zakelijke dienstverlening;2013;1038.0
45;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;M-N Zakelijke dienstverlening;2014;1042.0
46;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;M-N Zakelijke dienstverlening;2015;1061.0
47;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;M-N Zakelijke dienstverlening;2016;1086.0
48;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;M-N Zakelijke dienstverlening;2017;1087.0
49;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;M-N Zakelijke dienstverlening;2018;1154.0
50;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;M-N Zakelijke dienstverlening;2019;1192.0
51;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;M-N Zakelijke dienstverlening;2020;1167.0
52;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;M-N Zakelijke dienstverlening;2021;1232.0
53;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;M-N Zakelijke dienstverlening;2022;1289.0
54;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;M-N Zakelijke dienstverlening;2023;1297.0
55;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;O-Q Overheid en zorg;2013;2417.0
56;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;O-Q Overheid en zorg;2014;2340.0
57;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;O-Q Overheid en zorg;2015;2374.0
58;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;O-Q Overheid en zorg;2016;2357.0
59;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;O-Q Overheid en zorg;2017;2354.0
60;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;O-Q Overheid en zorg;2018;2441.0
61;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;O-Q Overheid en zorg;2019;2534.0
62;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;O-Q Overheid en zorg;2020;2597.0
63;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;O-Q Overheid en zorg;2021;2895.0
64;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;O-Q Overheid en zorg;2022;3015.0
65;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;O-Q Overheid en zorg;2023;3085.0
66;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;O-U Niet-commerciële dienstverlening;2013;2796.0
67;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;O-U Niet-commerciële dienstverlening;2014;2712.0
