ID;Geslacht;Leeftijd;MigratieachtergrondEnGeneratie;GeneesmiddelengroepATC;Perioden;PersonenMetVerstrekteGeneesmiddelen_1;PersonenMetGeneesmiddelenRelatief_2
0;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;Totaal;2006;11241725;67.54
1;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;Totaal;2007;11320680;67.86
2;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;Totaal;2008;11704500;69.83
3;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;Totaal;2009;11803505;70.09
4;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;Totaal;2010;11859005;70.05
5;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;Totaal;2011;11696090;68.74
6;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;Totaal;2012;11587020;67.85
7;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;Totaal;2013;11439885;66.78
8;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;Totaal;2014;11420305;66.4
9;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;Totaal;2015;11454920;66.26
10;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;Totaal;2016;11517975;66.24
11;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;Totaal;2017;11482350;65.65
12;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;Totaal;2018;11591535;65.87
13;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;Totaal;2019;11591365;65.4
14;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;Totaal;2020;11177900;62.8
15;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A Maagdarmkanaal en metabolisme;2006;3127780;18.79
16;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A Maagdarmkanaal en metabolisme;2007;3369155;20.2
17;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A Maagdarmkanaal en metabolisme;2008;3588285;21.41
18;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A Maagdarmkanaal en metabolisme;2009;3812715;22.64
19;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A Maagdarmkanaal en metabolisme;2010;4053230;23.94
20;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A Maagdarmkanaal en metabolisme;2011;4239530;24.92
21;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A Maagdarmkanaal en metabolisme;2012;3567995;20.89
22;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A Maagdarmkanaal en metabolisme;2013;3695510;21.57
23;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A Maagdarmkanaal en metabolisme;2014;3888135;22.61
24;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A Maagdarmkanaal en metabolisme;2015;4056530;23.47
25;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A Maagdarmkanaal en metabolisme;2016;4205595;24.19
26;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A Maagdarmkanaal en metabolisme;2017;4300740;24.59
27;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A Maagdarmkanaal en metabolisme;2018;4407310;25.04
28;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A Maagdarmkanaal en metabolisme;2019;4381755;24.72
29;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A Maagdarmkanaal en metabolisme;2020;4314580;24.24
30;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01 Mondpreparaten;2006;135560;0.81
31;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01 Mondpreparaten;2007;145735;0.87
32;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01 Mondpreparaten;2008;147900;0.88
33;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01 Mondpreparaten;2009;149050;0.89
34;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01 Mondpreparaten;2010;154710;0.91
35;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01 Mondpreparaten;2011;96590;0.57
36;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01 Mondpreparaten;2012;38160;0.22
37;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01 Mondpreparaten;2013;37720;0.22
38;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01 Mondpreparaten;2014;38925;0.23
39;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01 Mondpreparaten;2015;38365;0.22
40;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01 Mondpreparaten;2016;38155;0.22
41;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01 Mondpreparaten;2017;36165;0.21
42;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01 Mondpreparaten;2018;35780;0.2
43;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01 Mondpreparaten;2019;43930;0.25
44;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01 Mondpreparaten;2020;45190;0.25
45;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01A Mondpreparaten;2006;135560;0.81
46;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01A Mondpreparaten;2007;145735;0.87
47;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01A Mondpreparaten;2008;147900;0.88
48;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01A Mondpreparaten;2009;149050;0.89
49;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01A Mondpreparaten;2010;154710;0.91
50;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01A Mondpreparaten;2011;96590;0.57
51;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01A Mondpreparaten;2012;38160;0.22
52;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01A Mondpreparaten;2013;37720;0.22
53;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01A Mondpreparaten;2014;38925;0.23
54;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01A Mondpreparaten;2015;38365;0.22
55;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01A Mondpreparaten;2016;38155;0.22
56;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01A Mondpreparaten;2017;36165;0.21
57;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01A Mondpreparaten;2018;35780;0.2
58;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01A Mondpreparaten;2019;43930;0.25
59;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A01A Mondpreparaten;2020;45190;0.25
60;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02 Middelen bij zuurgerelateerde afw.;2006;1717060;10.32
61;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02 Middelen bij zuurgerelateerde afw.;2007;1932975;11.59
62;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02 Middelen bij zuurgerelateerde afw.;2008;2153940;12.85
63;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02 Middelen bij zuurgerelateerde afw.;2009;2355645;13.99
64;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02 Middelen bij zuurgerelateerde afw.;2010;2558270;15.11
65;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02 Middelen bij zuurgerelateerde afw.;2011;2746955;16.14
66;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02 Middelen bij zuurgerelateerde afw.;2012;1822580;10.67
67;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02 Middelen bij zuurgerelateerde afw.;2013;1917420;11.19
68;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02 Middelen bij zuurgerelateerde afw.;2014;2025395;11.78
69;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02 Middelen bij zuurgerelateerde afw.;2015;2103755;12.17
70;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02 Middelen bij zuurgerelateerde afw.;2016;2176235;12.52
71;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02 Middelen bij zuurgerelateerde afw.;2017;2204900;12.61
72;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02 Middelen bij zuurgerelateerde afw.;2018;2230140;12.67
73;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02 Middelen bij zuurgerelateerde afw.;2019;2265425;12.78
74;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02 Middelen bij zuurgerelateerde afw.;2020;2271760;12.76
75;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02A Antacida;2006;3380;0.02
76;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02A Antacida;2007;1785;0.01
77;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02A Antacida;2008;970;0.01
78;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02A Antacida;2009;570;0.0
79;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02A Antacida;2010;495;0.0
80;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02A Antacida;2011;395;0.0
81;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02A Antacida;2012;305;0.0
82;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02A Antacida;2013;480;0.0
83;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02A Antacida;2014;290;0.0
84;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02A Antacida;2015;210;0.0
85;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02A Antacida;2016;185;0.0
86;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02A Antacida;2017;125;0.0
87;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02A Antacida;2018;85;0.0
88;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02A Antacida;2019;95;0.0
89;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02A Antacida;2020;85;0.0
90;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02B Midd ulcus pept/gastro-oesof.reflux;2006;1715100;10.31
91;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02B Midd ulcus pept/gastro-oesof.reflux;2007;1931970;11.58
92;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02B Midd ulcus pept/gastro-oesof.reflux;2008;2153395;12.85
93;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02B Midd ulcus pept/gastro-oesof.reflux;2009;2355320;13.99
94;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02B Midd ulcus pept/gastro-oesof.reflux;2010;2557990;15.11
95;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02B Midd ulcus pept/gastro-oesof.reflux;2011;2746750;16.14
96;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02B Midd ulcus pept/gastro-oesof.reflux;2012;1822400;10.67
97;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02B Midd ulcus pept/gastro-oesof.reflux;2013;1917165;11.19
98;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02B Midd ulcus pept/gastro-oesof.reflux;2014;2025265;11.78
99;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02B Midd ulcus pept/gastro-oesof.reflux;2015;2103665;12.17
100;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02B Midd ulcus pept/gastro-oesof.reflux;2016;2176150;12.51
101;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02B Midd ulcus pept/gastro-oesof.reflux;2017;2204845;12.61
102;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02B Midd ulcus pept/gastro-oesof.reflux;2018;2230105;12.67
103;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02B Midd ulcus pept/gastro-oesof.reflux;2019;2265380;12.78
104;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02B Midd ulcus pept/gastro-oesof.reflux;2020;2271720;12.76
105;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02X Ov midd bij zuurgerelateerde afwijk;2006;0;0.0
106;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02X Ov midd bij zuurgerelateerde afwijk;2007;0;0.0
107;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02X Ov midd bij zuurgerelateerde afwijk;2008;0;0.0
108;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02X Ov midd bij zuurgerelateerde afwijk;2009;0;0.0
109;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02X Ov midd bij zuurgerelateerde afwijk;2010;0;0.0
110;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02X Ov midd bij zuurgerelateerde afwijk;2011;0;0.0
111;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond en generatie;A02X Ov midd bij zuurgerelateerde afwijk;2012;0;0.0
