ID;TypeHuishouden;Leeftijd;Herkomst;Generatie;OoitOfNooitGescheiden;Perioden;AantalHuishoudens_1;OpgebouwdeJaarlijkseAanspraken_2;ContanteWaarde_3;TeBereikenJaarlijkseAanspraken_4;Vervangingspercentage_5;Partnertoeslag_6;OpgebouwdeJaarlijkseAanspraken_7;ContanteWaarde_8;TeBereikenJaarlijkseAanspraken_9;Vervangingspercentage_10;VierdePijler_11;OpgebouwdeJaarlijkseAanspraken_12;ContanteWaarde_13;TeBereikenJaarlijkseAanspraken_14;Vervangingspercentage_15
0;Totaal alleenstaanden en paren;0;Totaal autochtonen en allochtonen;0;Totaal ooit of nooit gescheiden;2005;5723550;7300.0;46900.0;13400.0;34.0;16.0;6600.0;44200.0;15500.0;39.0;48.0;13900.0;91100.0;28900.0;73.0
1;Totaal alleenstaanden en paren;0;Totaal autochtonen en allochtonen;0;Ooit gescheiden;2005;808500;7500.0;54500.0;11400.0;38.0;10.0;5300.0;38900.0;10200.0;34.0;35.0;12800.0;93400.0;21600.0;72.0
2;Totaal alleenstaanden en paren;0;Totaal autochtonen en allochtonen;0;Paar met gemengde scheidingsachtergrond;2005;370050;8300.0;52300.0;14400.0;29.0;29.0;8800.0;58800.0;18800.0;38.0;52.0;17100.0;111100.0;33200.0;67.0
3;Totaal alleenstaanden en paren;0;Totaal autochtonen en allochtonen;0;Nooit gescheiden;2005;4545050;7100.0;45200.0;13700.0;34.0;15.0;6700.0;44000.0;16200.0;40.0;50.0;13800.0;89200.0;29900.0;74.0
4;Totaal alleenstaanden en paren;0;Totaal autochtonen en allochtonen;1;Totaal ooit of nooit gescheiden;2005;4771300;7800.0;50700.0;13800.0;33.0;16.0;7200.0;48400.0;17000.0;41.0;53.0;15000.0;99100.0;30800.0;74.0
5;Totaal alleenstaanden en paren;0;Totaal autochtonen en allochtonen;1;Ooit gescheiden;2005;647300;8100.0;59100.0;11900.0;38.0;11.0;5900.0;43100.0;11300.0;36.0;39.0;14000.0;102200.0;23200.0;74.0
6;Totaal alleenstaanden en paren;0;Totaal autochtonen en allochtonen;1;Paar met gemengde scheidingsachtergrond;2005;274300;9100.0;57800.0;15000.0;28.0;30.0;9900.0;65900.0;21100.0;40.0;58.0;19000.0;123700.0;36100.0;68.0
7;Totaal alleenstaanden en paren;0;Totaal autochtonen en allochtonen;1;Nooit gescheiden;2005;3849700;7600.0;48700.0;14100.0;33.0;16.0;7300.0;48100.0;17600.0;41.0;55.0;14900.0;96800.0;31700.0;74.0
8;Totaal alleenstaanden en paren;0;Totaal autochtonen en allochtonen;2;Totaal ooit of nooit gescheiden;2005;288500;6800.0;42500.0;13800.0;28.0;24.0;7500.0;50500.0;16500.0;34.0;48.0;14300.0;93000.0;30300.0;62.0
9;Totaal alleenstaanden en paren;0;Totaal autochtonen en allochtonen;2;Ooit gescheiden;2005;23400;8200.0;60300.0;12700.0;27.0;47.0;9300.0;70900.0;15700.0;33.0;46.0;17500.0;131200.0;28400.0;60.0
