ID;WijkenEnBuurten1999;RegioAanduiding_1;StedelijkheidGemeenteWijkOfBuurt_2;Gemeentenaam_3;Gemeentecode_4;Wijkcode_5;Buurtcode_6;OmgevingsadressenDichtheid_7;MeestVoorkomendeNumeriekePostcode_8;Inwoners_9;Mannen_10;Vrouwen_11;Personen014Jr_12;Personen1524Jr_13;Personen2544Jr_14;Personen4564Jr_15;Personen65JrEnOuder_16;NietInGezinsverbandLevendePersonen_17;Gezinnen_18;GezinnenMetKinderen_19;GemiddeldeGezinsgrootte_20;Bevolkingsdichtheid_21;Allochtonen_22;WOZWaarde_23;Woningen_24;GemiddeldInkomenPerInwoner_25;GemiddeldInkomenPerInkomensontvanger_26;LageInkomens_27;HogeInkomens_28;NietActieven_29;Vestigingen_30;Industrie_31;CommercieleDienstverlening_32;OverigeDienstverlening_33;OppervlakteTotaal_34;OppervlakteLand_35;OverigeOppervlakte_36
101;140104;B;2;Groningen                          ;14;01;04;2121.0;9743;4930;2360;2560;18.0;14.0;28.0;21.0;20.0;33.0;1170;61.0;2.9;4474.0;19.0;47.0;2370;7714.0;11617.0;59.0;6.0;44.0;4;11.0;70.0;20.0;110;110;0
102;140105;B;2;Groningen                          ;14;01;05;2176.0;9743;5710;2960;2760;13.0;26.0;25.0;21.0;15.0;41.0;1230;50.0;2.7;9270.0;8.0;48.0;2650;7669.0;12116.0;53.0;10.0;33.0;4;18.0;64.0;18.0;62;62;0
103;140106;B;3;Groningen                          ;14;01;06;1486.0;9743;120;70;50;15.0;12.0;35.0;27.0;10.0;35.0;30;;;267.0;;;40;;;;;;4;33.0;58.0;9.0;50;46;4
104;1402;W;1;Groningen                          ;14;02;  ;3783.0;  . ;23180;11020;12160;12.0;20.0;30.0;20.0;19.0;48.0;4400;55.0;2.7;1759.0;9.0;49.0;11330;9076.0;12978.0;52.0;11.0;29.0;7;12.0;68.0;20.0;1352;1318;34
105;140200;B;1;Groningen                          ;14;02;00;4808.0;9717;6030;2940;3100;11.0;24.0;41.0;17.0;6.0;61.0;830;65.0;2.8;9093.0;4.0;55.0;3050;9756.0;14657.0;40.0;18.0;17.0;5;15.0;66.0;19.0;68;66;2
106;140201;B;1;Groningen                          ;14;02;01;4851.0;9741;1550;770;770;7.0;31.0;43.0;15.0;4.0;68.0;190;67.0;2.7;10018.0;11.0;39.0;920;7896.0;11753.0;59.0;5.0;35.0;2;;;;15;15;0
107;140202;B;1;Groningen                          ;14;02;02;3319.0;9741;6230;3010;3220;12.0;22.0;23.0;19.0;24.0;45.0;1270;51.0;2.7;7482.0;9.0;49.0;2650;8440.0;12524.0;54.0;10.0;34.0;4;8.0;59.0;33.0;83;83;0
108;140203;B;1;Groningen                          ;14;02;03;3940.0;9742;3830;1790;2040;15.0;15.0;28.0;22.0;20.0;38.0;850;66.0;2.8;6836.0;20.0;42.0;1860;8077.0;11163.0;61.0;;46.0;3;;;;57;56;1
109;140204;B;1;Groningen                          ;14;02;04;2914.0;9742;5170;2330;2840;11.0;13.0;20.0;23.0;34.0;40.0;1180;42.0;2.7;7693.0;9.0;52.0;2710;9983.0;13160.0;52.0;12.0;28.0;5;7.0;78.0;14.0;68;67;1
110;140205;B;4;Groningen                          ;14;02;05;885.0;9738;290;150;150;23.0;10.0;35.0;23.0;9.0;18.0;80;66.0;3.1;497.0;;74.0;100;10573.0;15338.0;51.0;19.0;;3;;;;61;60;1
111;140206;B;4;Groningen                          ;14;02;06;719.0;9747;20;10;10;;;;;;;0;;;6.0;;;10;;;;;;3;;;;303;285;18
