ID;Geslacht;Leeftijd;Onderwijsvolgend;Perioden;BeroepsEnNietBeroepsbevolking_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7;ZelfstandigeZonderPersoneelZzp_8;ZelfstandigeMetPersoneel_9;MeewerkendGezinslid_10;PositieInDeWerkkringOnbekend_11;Deeltijd_12;MinderDan20UurPerWeek_13;MinderDan12UurPerWeek_14;k_12Tot20UurPerWeek_15;k_20Tot35UurPerWeek_16;k_20Tot28UurPerWeek_17;k_28Tot35UurPerWeek_18;Voltijd_19;WerklozeBeroepsbevolking_20;Werkloosheidspercentage_21;NietBeroepsbevolking_22;BrutoArbeidsparticipatie_23;NettoArbeidsparticipatie_24
0;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2013 1e kwartaal;2036;1595;1369;1319;335;984;50;46;1;3;0;1042;786;627;158;256;141;115;327;226;14.2;440;78.4;67.2
1;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2013 2e kwartaal;2038;1615;1392;1339;328;1011;53;49;2;3;0;1066;802;628;174;263;130;134;326;224;13.8;423;79.3;68.3
2;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2013 3e kwartaal;2041;1638;1403;1347;326;1022;55;49;2;4;0;1054;755;582;173;299;155;144;349;235;14.3;403;80.2;68.7
3;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2013 4e kwartaal;2044;1606;1377;1322;322;999;55;51;2;3;0;1063;806;640;166;257;114;143;314;229;14.3;437;78.6;67.4
4;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2013;2040;1614;1385;1332;328;1004;54;49;2;3;0;1056;787;619;168;269;135;134;329;228;14.2;426;79.1;67.9
5;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2014 1e kwartaal;2045;1568;1332;1281;315;966;51;47;2;2;0;1025;776;628;148;249;124;125;308;236;15.0;477;76.7;65.2
6;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2014 2e kwartaal;2045;1572;1355;1302;304;998;53;48;2;3;0;1049;786;625;161;264;142;121;305;217;13.8;473;76.8;66.2
7;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2014 3e kwartaal;2045;1598;1389;1342;304;1039;47;39;3;5;0;1058;769;589;180;289;149;140;331;209;13.1;448;78.1;67.9
8;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2014 4e kwartaal;2045;1579;1375;1322;301;1022;53;47;2;4;0;1074;813;644;169;261;131;130;301;204;12.9;467;77.2;67.2
9;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2014;2045;1579;1363;1312;306;1006;51;45;2;4;0;1051;786;621;164;266;137;129;311;216;13.7;466;77.2;66.6
10;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2015 1e kwartaal;2046;1583;1374;1322;301;1021;52;47;1;4;0;1086;822;658;164;264;132;131;289;209;13.2;463;77.4;67.2
11;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2015 2e kwartaal;2048;1612;1412;1356;294;1062;56;50;2;4;0;1107;836;655;181;271;138;133;305;200;12.4;436;78.7;68.9
12;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2015 3e kwartaal;2049;1630;1430;1374;285;1088;56;49;2;5;0;1096;779;585;194;316;162;154;334;200;12.3;419;79.5;69.8
13;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2015 4e kwartaal;2050;1591;1394;1336;292;1044;58;52;2;5;0;1088;824;643;181;264;136;129;305;197;12.4;459;77.6;68.0
14;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2015 ;2048;1604;1402;1347;293;1054;56;49;2;5;0;1094;815;635;180;279;142;137;308;202;12.6;444;78.3;68.5
15;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2016 1e kwartaal;2055;1582;1375;1308;271;1037;67;59;2;6;0;1078;822;647;175;256;129;127;298;207;13.1;473;77.0;66.9
16;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2016 2e kwartaal;2062;1613;1417;1352;277;1075;65;55;2;7;0;1118;833;647;187;284;153;131;299;197;12.2;448;78.3;68.7
17;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2016 3e kwartaal;2069;1638;1448;1393;281;1112;55;49;3;4;0;1121;792;591;200;329;173;156;327;191;11.6;431;79.2;70.0
18;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2016 4e kwartaal;2076;1606;1422;1366;293;1073;56;50;2;4;0;1105;838;652;186;268;124;144;317;184;11.5;470;77.4;68.5
19;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2016;2065;1610;1415;1355;280;1074;61;53;2;5;0;1105;821;634;187;284;145;139;310;195;12.1;455;78.0;68.5
20;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2017 1e kwartaal;2082;1597;1410;1356;283;1073;54;49;3;2;0;1104;823;648;175;281;131;150;306;186;11.7;485;76.7;67.7
21;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2017 2e kwartaal;2086;1622;1451;1401;278;1123;50;46;1;3;0;1139;848;648;200;291;140;151;312;170;10.5;464;77.8;69.6
