ID;Geslacht;Leeftijd;Geboorteland;Herkomst;Opleiding;Huishoudensinkomen;Perioden;TotaalVerdachtenVanMisdrijven_1;VerdachtenVanVermogensmisdrijven_2;VerdachtenVanVernielingEnOpenbOrde_3;VerdachtenVanGeweldsmisdrijven_4;VerdachtenVanVerkeersmisdrijven_5;VerdachtenVanDrugsmisdrijven_6;VerdachtenVanVuurWapenmisdrijven_7;TotaalVerdachtenVanMisdrijven_8;VerdachtenVanVermogensmisdrijven_9;VerdachtenVanVernielingEnOpenbOrde_10;VerdachtenVanGeweldsmisdrijven_11;VerdachtenVanVerkeersmisdrijven_12;VerdachtenVanDrugsmisdrijven_13;VerdachtenVanVuurWapenmisdrijven_14
0;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal;2010;272120.0;91760.0;48950.0;74360.0;57800.0;21560.0;6540.0;165.0;53.0;30.0;47.0;37.0;12.0;4.0
1;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal;2011;267210.0;91090.0;44930.0;73910.0;56920.0;21030.0;7480.0;161.0;52.0;28.0;47.0;36.0;11.0;4.0
2;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal;2012;249380.0;87340.0;37320.0;69490.0;51670.0;20890.0;6970.0;149.0;49.0;23.0;44.0;32.0;11.0;4.0
3;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal;2013;232390.0;85280.0;31630.0;63390.0;46910.0;21140.0;6510.0;139.0;48.0;19.0;40.0;29.0;11.0;4.0
4;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal;2014;217100.0;79780.0;29490.0;58110.0;44450.0;19710.0;6010.0;129.0;45.0;18.0;37.0;28.0;11.0;3.0
5;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal;2015;198510.0;74330.0;26370.0;53900.0;38900.0;18180.0;5650.0;117.0;41.0;16.0;34.0;24.0;10.0;3.0
6;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal;2016;185460.0;68400.0;24960.0;49710.0;37890.0;16380.0;5420.0;108.0;37.0;15.0;30.0;23.0;9.0;3.0
7;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal;2017;171240.0;63050.0;22140.0;45090.0;35980.0;15260.0;4720.0;98.0;34.0;13.0;27.0;22.0;8.0;3.0
8;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal;2018;164590.0;59350.0;22540.0;42260.0;38420.0;15370.0;5340.0;93.0;31.0;13.0;25.0;23.0;8.0;3.0
9;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal;2019;166610.0;60760.0;24630.0;41590.0;41240.0;16840.0;6600.0;93.0;31.0;14.0;25.0;24.0;9.0;4.0
10;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal;2020;152810.0;55970.0;24410.0;38680.0;37360.0;15270.0;6890.0;86.0;29.0;14.0;23.0;22.0;8.0;4.0
11;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal;2021;142040.0;46720.0;24740.0;35120.0;38510.0;13340.0;6890.0;80.0;24.0;14.0;21.0;22.0;7.0;4.0
12;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal;2022;155650.0;51850.0;24370.0;36010.0;47800.0;12910.0;6970.0;84.0;25.0;13.0;21.0;27.0;7.0;4.0
13;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal;2023;150300.0;52000.0;23330.0;33060.0;45280.0;14030.0;6650.0;79.0;24.0;12.0;19.0;25.0;8.0;4.0
14;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal;2024;140610.0;48070.0;22210.0;31310.0;43180.0;13810.0;6880.0;74.0;22.0;12.0;18.0;24.0;7.0;4.0
15;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Inkomen tot lage-inkomensgrens;2010;;;;;;;;;;;;;;
16;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Inkomen tot lage-inkomensgrens;2011;38900.0;16100.0;6500.0;12200.0;5800.0;3600.0;1300.0;521.0;215.0;86.0;164.0;79.0;48.0;17.0
17;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Inkomen tot lage-inkomensgrens;2012;42200.0;18000.0;6200.0;13400.0;6000.0;3900.0;1300.0;483.0;205.0;71.0;154.0;69.0;44.0;15.0
18;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Inkomen tot lage-inkomensgrens;2013;43700.0;19400.0;6000.0;13400.0;5800.0;4300.0;1400.0;451.0;199.0;61.0;138.0;61.0;45.0;14.0
19;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Inkomen tot lage-inkomensgrens;2014;39800.0;17600.0;5600.0;12200.0;5400.0;3700.0;1200.0;427.0;187.0;60.0;131.0;58.0;40.0;13.0
20;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Inkomen tot lage-inkomensgrens;2015;35900.0;16200.0;4800.0;10800.0;4600.0;3500.0;1100.0;398.0;179.0;53.0;120.0;51.0;39.0;12.0
21;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Inkomen tot lage-inkomensgrens;2016;32300.0;14200.0;4500.0;9800.0;4300.0;3100.0;1100.0;378.0;165.0;52.0;115.0;50.0;36.0;13.0
