ID;Periods;IndexFiguresIncludingVAT_1;ChangesComparedTo4thQuartInclVAT_2;IndexFiguresExcludingVAT_3;ChangesComparedTo4thQuartExclVAT_4
0;2000 1st quarter;97;;97;
1;2000 2nd quarter;98;;98;
2;2000 3rd quarter;99;;99;
3;2000 4th quarter;106;;106;
4;2000;100;;100;
5;2001 1st quarter;106;9.8;105;8.5
6;2001 2nd quarter;110;11.7;108;10.3
7;2001 3rd quarter;113;13.5;111;12.1
8;2001 4th quarter;113;7.0;112;5.7
9;2001;110;10.5;109;9.1
10;2002 1st quarter;118;10.6;116;10.6
11;2002 2nd quarter;118;8.0;117;8.0
12;2002 3rd quarter;123;8.9;121;8.9
13;2002 4th quarter;125;10.6;124;10.6
14;2002;121;9.5;119;9.5
15;2003 1st quarter;124;5.8;123;5.8
16;2003 2nd quarter;126;6.5;125;6.5
17;2003 3rd quarter;124;1.5;123;1.5
18;2003 4th quarter;123;-1.7;122;-1.7
19;2003;125;2.9;123;2.9
20;2004 1st quarter;122;-1.9;121;-1.9
21;2004 2nd quarter;119;-5.6;118;-5.6
22;2004 3rd quarter;120;-3.4;119;-3.4
23;2004 4th quarter;124;0.6;122;0.6
24;2004;121;-2.6;120;-2.6
25;2005 1st quarter;122;0.1;121;0.1
26;2005 2nd quarter;122;2.1;120;2.1
27;2005 3rd quarter;124;3.3;123;3.3
28;2005 4th quarter;127;2.6;126;2.6
29;2005;124;2.1;122;2.1
30;2006 1st quarter;123;1.0;122;1.0
31;2006 2nd quarter;125;2.5;123;2.5
32;2006 3rd quarter;123;-0.8;122;-0.8
33;2006 4th quarter;125;-2.0;123;-2.0
34;2006;124;0.1;122;0.1
35;2007 1st quarter;127;2.8;125;2.8
36;2007 2nd quarter;128;2.9;127;2.9
37;2007 3rd quarter;131;6.3;129;6.3
38;2007 4th quarter;134;7.8;133;7.8
39;2007;130;4.9;128;4.9
40;2008 1st quarter;137;8.4;136;8.4
41;2008 2nd quarter;137;6.9;135;6.9
42;2008 3rd quarter;137;4.7;135;4.7
43;2008 4th quarter;140;4.5;139;4.5
44;2008;138;6.1;136;6.1
