ID;Geslacht;Leeftijden;BurgerlijkeStaat;Migratieachtergrond;Woonland;Perioden;AOWUitkeringenTotaal_1;AOWUitkeringenVolledig_2;AOWUitkeringenGekort_3
0;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2006 november;2600140;2189960;410180
1;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2006 december;2604560;2192600;411960
2;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2007 januari;2607020;2193010;414020
3;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2007 februari;2609450;2193540;415910
4;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2007 maart;2614350;2196370;417980
5;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2007 april;2620010;2200050;419960
6;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2007 mei;2625640;2203530;422120
7;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2007 juni;2630170;2206210;423960
8;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2007 juli;2637950;2209660;428300
9;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2007 augustus;2643120;2212880;430230
10;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2007 september;2649550;2217290;432260
11;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2007 oktober;2655810;2221450;434360
12;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2007 november;2659400;2223150;436250
13;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2007 december;2664420;2226170;438250
14;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2008 januari;2666850;2226770;440090
15;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2008 februari;2670730;2228790;441940
16;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2008 maart;2677330;2233050;444280
17;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2008 april;2681700;2235390;446310
18;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2008 mei;2686790;2238480;448300
19;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2008 juni;2692810;2242750;450060
20;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2008 juli;2700760;2246890;453870
21;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2008 augustus;2707400;2251540;455850
22;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2008 september;2714340;2256410;457930
23;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2008 oktober;2721450;2261490;459970
24;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2008 november;2727160;2265160;462000
25;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2008 december;2734510;2270360;464150
26;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2009 januari;2737950;2271650;466300
27;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2009 februari;2741560;2273500;468060
28;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2009 maart;2749000;2278780;470220
29;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2009 april;2755800;2283290;472510
30;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2009 mei;2763070;2288470;474600
31;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2009 juni;2768400;2291980;476420
32;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2009 juli;2778200;2297770;480440
33;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2009 augustus;2785810;2303380;482430
34;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2009 september;2793590;2309200;484390
35;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2009 oktober;2800250;2313870;486380
36;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2009 november;2805330;2317140;488200
37;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2009 december;2812870;2322620;490240
38;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2010 januari;2817450;2324860;492590
39;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2010 februari;2823050;2328370;494680
40;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2010 maart;2831410;2334220;497190
41;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2010 april;2839650;2340070;499580
42;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2010 mei;2847300;2345430;501870
43;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2010 juni;2852240;2348550;503690
44;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2010 juli;2859530;2352140;507390
45;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2010 augustus;2865980;2356510;509470
46;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2010 september;2870470;2359240;511230
47;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2010 oktober;2874410;2361400;513010
48;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2010 november;2877290;2362690;514600
49;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2010 december;2881340;2365020;516310
50;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2011 januari;2885690;2367150;518540
51;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2011 februari;2893160;2372610;520550
52;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2011 maart;2907160;2384000;523160
53;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2011 april;2920930;2395270;525660
54;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2011 mei;2934720;2406370;528350
55;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2011 juni;2947040;2416290;530750
56;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2011 juli;2962570;2427620;534950
57;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2011 augustus;2974880;2437580;537300
58;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2011 september;2986120;2446370;539740
59;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2011 oktober;2997370;2454950;542420
60;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2011 november;3006250;2461670;544580
61;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2011 december;3016960;2470070;546890
62;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2012 januari;3026210;2476750;549460
63;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2012 februari;3034080;2482550;551530
64;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2012 maart;3044860;2490680;554170
65;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2012 april;3054510;2497930;556580
66;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2012 mei;3066680;2507640;559040
67;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2012 juni;3075580;2514470;561110
68;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2012 juli;3087710;2522740;564970
69;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2012 augustus;3098470;2531180;567290
70;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2012 september;3107660;2538230;569440
71;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2012 oktober;3117320;2545750;571570
72;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2012 november;3125380;2551660;573710
73;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2012 december;3135930;2560190;575750
74;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2013 januari;3124010;2549150;574860
75;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2013 februari;3131430;2554500;576930
76;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2013 maart;3139150;2560180;578960
77;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2013 april;3147510;2566190;581320
78;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2013 mei;3157180;2573760;583420
79;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2013 juni;3166540;2580920;585620
80;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2013 juli;3175890;2587950;587940
81;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2013 augustus;3187480;2595630;591850
82;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2013 september;3197060;2603010;594050
83;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2013 oktober;3206040;2609870;596180
84;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2013 november;3214520;2616360;598150
85;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2013 december;3222600;2622570;600030
86;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2014 januari;3212080;2612970;599110
87;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2014 februari;3218900;2618260;600640
88;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2014 maart;3228380;2625500;602890
89;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2014 april;3235940;2631160;604780
90;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2014 mei;3246340;2639130;607220
91;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2014 juni;3255100;2645730;609380
92;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2014 juli;3264370;2653040;611330
93;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2014 augustus;3272780;2659600;613190
94;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2014 september;3281450;2665140;616310
95;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2014 oktober;3290710;2672420;618290
96;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2014 november;3297710;2677600;620110
97;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2014 december;3303800;2681910;621900
98;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2015 januari;3291730;2676030;615700
99;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2015 februari;3295220;2678280;616940
100;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2015 maart;3300620;2682590;618030
101;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2015 april;3308420;2688270;620140
102;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2015 mei;3315370;2693640;621730
103;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2015 juni;3323840;2700390;623450
104;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2015 juli;3332660;2707520;625140
105;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2015 augustus;3341260;2714510;626750
106;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2015 september;3348560;2720340;628220
107;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2015 oktober;3357120;2725930;631200
108;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2015 november;3364540;2731360;633180
109;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2015 december;3371260;2736670;634590
110;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2016 januari;3360410;2727030;633380
111;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2016 februari;3347890;2716170;631720
112;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2016 maart;3336580;2706430;630150
113;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2016 april;3342390;2711120;631260
114;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2016 mei;3347270;2715060;632220
115;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2016 juni;3353900;2720430;633470
