ID;Benefits;Periods;SocialBenefits_1
0;Total social benefits;1995;66254
1;Total social benefits;1996;65922
2;Total social benefits;1997;67457
3;Total social benefits;1998;68889
4;Total social benefits;1999;70743
5;Total social benefits;2000;74094
6;Total social benefits;2001;79255
7;Total social benefits;2002;85343
8;Total social benefits;2003;91237
9;Total social benefits;2004;93355
10;Total social benefits;2005;95335
11;Total social benefits;2006;108629
12;Total social benefits;2007;112795
13;Total social benefits;2008;119565
14;Total social benefits;2009;128265
15;Total social benefits;2010;133994
16;Total social benefits;2011;137613
17;Total social benefits;2012;141912
18;Total social benefits;2013;145560
19;Total social benefits;2014;147105
20;Total social benefits;2015;147869
21;Total social benefits;2016;150981
22;Total social benefits;2017;153484
23;Total social benefits;2018;158338
24;Total social benefits;2019;165372
25;Total social benefits;2020;169979
26;Total social benefits;2021;181346
27;Total statutory social security benefits;1995;50635
28;Total statutory social security benefits;1996;50462
29;Total statutory social security benefits;1997;53380
30;Total statutory social security benefits;1998;53503
31;Total statutory social security benefits;1999;55351
32;Total statutory social security benefits;2000;58171
33;Total statutory social security benefits;2001;62722
34;Total statutory social security benefits;2002;68207
35;Total statutory social security benefits;2003;73372
36;Total statutory social security benefits;2004;75227
37;Total statutory social security benefits;2005;76170
38;Total statutory social security benefits;2006;86073
39;Total statutory social security benefits;2007;87129
40;Total statutory social security benefits;2008;91090
41;Total statutory social security benefits;2009;97430
42;Total statutory social security benefits;2010;101622
43;Total statutory social security benefits;2011;103957
44;Total statutory social security benefits;2012;108475
45;Total statutory social security benefits;2013;111561
46;Total statutory social security benefits;2014;113497
47;Total statutory social security benefits;2015;110031
48;Total statutory social security benefits;2016;111824
49;Total statutory social security benefits;2017;113458
50;Total statutory social security benefits;2018;116919
51;Total statutory social security benefits;2019;121950
52;Total statutory social security benefits;2020;124814
53;Total statutory social security benefits;2021;133057
54;Act on Work and Income based on Work ...;1995;0
55;Act on Work and Income based on Work ...;1996;0
56;Act on Work and Income based on Work ...;1997;0
57;Act on Work and Income based on Work ...;1998;0
58;Act on Work and Income based on Work ...;1999;0
59;Act on Work and Income based on Work ...;2000;0
60;Act on Work and Income based on Work ...;2001;0
61;Act on Work and Income based on Work ...;2002;0
62;Act on Work and Income based on Work ...;2003;0
63;Act on Work and Income based on Work ...;2004;0
64;Act on Work and Income based on Work ...;2005;0
65;Act on Work and Income based on Work ...;2006;131
66;Act on Work and Income based on Work ...;2007;420
67;Act on Work and Income based on Work ...;2008;725
68;Act on Work and Income based on Work ...;2009;1012
69;Act on Work and Income based on Work ...;2010;1362
70;Act on Work and Income based on Work ...;2011;1753
71;Act on Work and Income based on Work ...;2012;2142
72;Act on Work and Income based on Work ...;2013;2598
73;Act on Work and Income based on Work ...;2014;3012
74;Act on Work and Income based on Work ...;2015;3464
75;Act on Work and Income based on Work ...;2016;4016
76;Act on Work and Income based on Work ...;2017;4512
77;Act on Work and Income based on Work ...;2018;5094
78;Act on Work and Income based on Work ...;2019;5672
79;Act on Work and Income based on Work ...;2020;6273
80;Act on Work and Income based on Work ...;2021;6756
81;Compulsory Health Insurance Act (ZFW-vp);1995;7071
82;Compulsory Health Insurance Act (ZFW-vp);1996;9540
83;Compulsory Health Insurance Act (ZFW-vp);1997;10322
84;Compulsory Health Insurance Act (ZFW-vp);1998;10758
85;Compulsory Health Insurance Act (ZFW-vp);1999;11346
86;Compulsory Health Insurance Act (ZFW-vp);2000;12318
87;Compulsory Health Insurance Act (ZFW-vp);2001;13512
88;Compulsory Health Insurance Act (ZFW-vp);2002;15049
89;Compulsory Health Insurance Act (ZFW-vp);2003;16162
90;Compulsory Health Insurance Act (ZFW-vp);2004;16412
91;Compulsory Health Insurance Act (ZFW-vp);2005;16743
92;Compulsory Health Insurance Act (ZFW-vp);2006;0
93;Compulsory Health Insurance Act (ZFW-vp);2007;0
94;Compulsory Health Insurance Act (ZFW-vp);2008;0
95;Compulsory Health Insurance Act (ZFW-vp);2009;0
96;Compulsory Health Insurance Act (ZFW-vp);2010;0
97;Compulsory Health Insurance Act (ZFW-vp);2011;0
98;Compulsory Health Insurance Act (ZFW-vp);2012;0
99;Compulsory Health Insurance Act (ZFW-vp);2013;0
100;Compulsory Health Insurance Act (ZFW-vp);2014;0
101;Compulsory Health Insurance Act (ZFW-vp);2015;0
102;Compulsory Health Insurance Act (ZFW-vp);2016;0
103;Compulsory Health Insurance Act (ZFW-vp);2017;0
104;Compulsory Health Insurance Act (ZFW-vp);2018;0
105;Compulsory Health Insurance Act (ZFW-vp);2019;0
106;Compulsory Health Insurance Act (ZFW-vp);2020;0
107;Compulsory Health Insurance Act (ZFW-vp);2021;0
108;Disability Benefits Act (WAO);1995;3290
109;Disability Benefits Act (WAO);1996;3288
110;Disability Benefits Act (WAO);1997;3147
111;Disability Benefits Act (WAO);1998;8119
112;Disability Benefits Act (WAO);1999;8383
113;Disability Benefits Act (WAO);2000;8684
114;Disability Benefits Act (WAO);2001;9121
115;Disability Benefits Act (WAO);2002;9399
116;Disability Benefits Act (WAO);2003;9623
117;Disability Benefits Act (WAO);2004;9331
118;Disability Benefits Act (WAO);2005;8709
119;Disability Benefits Act (WAO);2006;7970
120;Disability Benefits Act (WAO);2007;7944
121;Disability Benefits Act (WAO);2008;7991
122;Disability Benefits Act (WAO);2009;7569
123;Disability Benefits Act (WAO);2010;7188
124;Disability Benefits Act (WAO);2011;6670
125;Disability Benefits Act (WAO);2012;6136
