ID;Sex;Age;MaritalStatus;CountryOfOrigin;CountryOfBirth;ParentsCountryOfBirth;Periods;Population_1
0;Total males and females;Total;Total;Total;Total;Total;2022;17590672.0
1;Total males and females;Total;Total;Total;Total;Total;2023;17811291.0
2;Total males and females;Total;Total;Total;Total;Total;2024;17942942.0
3;Total males and females;Total;Total;Total;Total;Two parents born in the Netherlands;2022;13151772.0
4;Total males and females;Total;Total;Total;Total;Two parents born in the Netherlands;2023;13116438.0
5;Total males and females;Total;Total;Total;Total;Two parents born in the Netherlands;2024;13079846.0
6;Total males and females;Total;Total;Total;Total;One parent born in NL, one born abroad;2022;1228104.0
7;Total males and females;Total;Total;Total;Total;One parent born in NL, one born abroad;2023;1240228.0
8;Total males and females;Total;Total;Total;Total;One parent born in NL, one born abroad;2024;1251595.0
9;Total males and females;Total;Total;Total;Total;Two parents born abroad;2022;3210796.0
10;Total males and females;Total;Total;Total;Total;Two parents born abroad;2023;3454625.0
11;Total males and females;Total;Total;Total;Total;Two parents born abroad;2024;3611501.0
12;Total males and females;Total;Total;Total;Person born in the Netherlands;Total;2022;15039835.0
13;Total males and females;Total;Total;Total;Person born in the Netherlands;Total;2023;15034341.0
14;Total males and females;Total;Total;Total;Person born in the Netherlands;Total;2024;15028003.0
15;Total males and females;Total;Total;Total;Person born in the Netherlands;Two parents born in the Netherlands;2022;13013279.0
16;Total males and females;Total;Total;Total;Person born in the Netherlands;Two parents born in the Netherlands;2023;12978154.0
17;Total males and females;Total;Total;Total;Person born in the Netherlands;Two parents born in the Netherlands;2024;12941748.0
18;Total males and females;Total;Total;Total;Person born in the Netherlands;One parent born in NL, one born abroad;2022;1116716.0
19;Total males and females;Total;Total;Total;Person born in the Netherlands;One parent born in NL, one born abroad;2023;1127785.0
20;Total males and females;Total;Total;Total;Person born in the Netherlands;One parent born in NL, one born abroad;2024;1138301.0
21;Total males and females;Total;Total;Total;Person born in the Netherlands;Two parents born abroad;2022;909840.0
22;Total males and females;Total;Total;Total;Person born in the Netherlands;Two parents born abroad;2023;928402.0
23;Total males and females;Total;Total;Total;Person born in the Netherlands;Two parents born abroad;2024;947954.0
24;Total males and females;Total;Total;Total;Person born abroad;Total;2022;2550837.0
