ID;Geslacht;Leeftijd;Migratieachtergrond;DuurVanDeUitkeringssituatie;Perioden;PersonenVanWieBijstandIsBeeindigd_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2008;98500
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2009;84260
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2010;101230
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2011;106870
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2012;109600
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2013;117140
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2014;127060
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2015;125960
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2016;119950
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2017;118120
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2018;113620
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2019;100000
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2020;85520
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2021;98040
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2022;83560
15;Totaal mannen en vrouwen;Totaal;Totaal;0 tot 6 maanden;2008;25070
16;Totaal mannen en vrouwen;Totaal;Totaal;0 tot 6 maanden;2009;28390
17;Totaal mannen en vrouwen;Totaal;Totaal;0 tot 6 maanden;2010;35560
18;Totaal mannen en vrouwen;Totaal;Totaal;0 tot 6 maanden;2011;35420
19;Totaal mannen en vrouwen;Totaal;Totaal;0 tot 6 maanden;2012;39780
20;Totaal mannen en vrouwen;Totaal;Totaal;0 tot 6 maanden;2013;41710
21;Totaal mannen en vrouwen;Totaal;Totaal;0 tot 6 maanden;2014;42600
22;Totaal mannen en vrouwen;Totaal;Totaal;0 tot 6 maanden;2015;37050
23;Totaal mannen en vrouwen;Totaal;Totaal;0 tot 6 maanden;2016;34860
