ID;Inkomensgroepen;DuurInkomenspositie;Kenmerken;Perioden;ParticuliereHuishoudens_1;HuishoudensVanDeDoelpopulatie_2;PersonenInParticuliereHuishoudens_3;PersonenVanDeDoelpopulatie_4
0;901;931;1;2000;6791.0;106.1;15650.0;104.6
1;901;931;1;2001;6862.0;105.9;15785.0;104.3
2;901;931;1;2002;6919.0;105.8;15864.0;103.9
3;901;931;1;2003;6948.0;106.2;15905.0;104.1
4;901;931;1;2004;6990.0;106.4;15954.0;104.3
5;901;931;1;2005;7063.0;106.8;16006.0;104.6
6;901;931;1;2006;7109.0;106.0;16034.0;103.7
7;901;931;1;2007;7166.0;105.9;16090.0;103.5
8;901;931;1;2008;7242.0;105.8;16186.0;103.4
9;901;931;1;2009;7303.0;105.8;16258.0;103.5
10;901;931;1;2010;7337.0;106.2;16303.0;103.7
11;901;931;1;2011;7416.0;106.2;16392.0;103.7
12;901;931;1;2012;7470.0;106.0;16442.0;103.6
13;901;931;1;2013;7488.0;106.2;16452.0;103.7
14;901;931;1;2014;7557.0;106.5;16524.0;103.9
15;901;931;22;2000;2249.0;112.9;2249.0;112.9
16;901;931;22;2001;2288.0;112.8;2288.0;112.8
17;901;931;22;2002;2325.0;113.3;2325.0;113.3
18;901;931;22;2003;2342.0;114.4;2342.0;114.4
19;901;931;22;2004;2368.0;114.7;2368.0;114.7
20;901;931;22;2005;2436.0;115.2;2436.0;115.2
21;901;931;22;2006;2473.0;114.5;2473.0;114.5
22;901;931;22;2007;2511.0;114.3;2511.0;114.3
23;901;931;22;2008;2561.0;114.2;2561.0;114.2
24;901;931;22;2009;2599.0;113.8;2599.0;113.8
25;901;931;22;2010;2617.0;114.5;2617.0;114.5
26;901;931;22;2011;2679.0;114.6;2679.0;114.6
27;901;931;22;2012;2717.0;114.0;2717.0;114.0
28;901;931;22;2013;2716.0;114.2;2716.0;114.2
29;901;931;22;2014;2774.0;114.9;2774.0;114.9
