ID;Periods;GrossDomesticProductVolumeGrowth_1;Total_2;Total_3;Households_4;GeneralGovernment_5;GrossCapitalFormation_6;Total_7;ExportsOfGoodsFromDomesticProd_8;ReExports_9;Services_10
0;1995;;;;;;;;;;
1;1996;3.6;2.2;1.5;1.6;-0.1;0.7;1.4;0.5;0.3;0.6
2;1997;4.3;2.6;1.7;1.2;0.5;0.9;1.7;0.5;0.4;0.8
3;1998;4.5;3.1;2.6;1.9;0.7;0.5;1.4;0.7;0.3;0.4
4;1999;5.1;3.3;2.3;1.9;0.4;1.0;1.8;1.1;0.3;0.4
5;2000;4.2;1.8;1.6;1.0;0.6;0.2;2.4;1.2;0.5;0.7
6;2001;2.1;1.7;1.4;0.6;0.8;0.3;0.4;-0.1;0.1;0.4
7;2002;0.1;-0.1;0.9;0.2;0.7;-1.0;0.2;0.3;0.0;-0.1
8;2003;0.3;0.2;0.7;0.1;0.6;-0.5;0.1;-0.2;0.2;0.1
9;2004;2.0;0.5;0.1;0.3;-0.2;0.4;1.5;0.9;0.3;0.3
10;2005;2.2;1.1;0.7;0.4;0.3;0.4;1.1;0.4;0.3;0.4
11;2006;3.5;2.2;1.3;-0.4;1.7;0.9;1.3;0.5;0.4;0.4
12;2007;3.7;2.4;1.3;0.6;0.7;1.1;1.3;0.8;0.2;0.3
13;2008;1.7;1.7;1.1;0.3;0.8;0.6;0.0;-0.4;0.1;0.3
14;2009;-3.8;-1.5;0.1;-0.8;0.9;-1.6;-2.3;-1.5;-0.3;-0.5
15;2010;1.4;-0.4;0.3;0.0;0.3;-0.7;1.8;1.1;0.4;0.3
16;2011;1.7;0.3;0.0;0.0;0.0;0.3;1.4;0.6;0.3;0.5
17;2012;-1.1;-1.9;-0.8;-0.5;-0.3;-1.1;0.8;0.2;0.1;0.5
18;2013;-0.2;-1.0;-0.4;-0.4;0.0;-0.6;0.8;0.4;0.1;0.3
19;2014;1.4;0.4;0.0;0.0;0.0;0.4;1.0;0.3;0.2;0.5
20;2015;2.3;1.3;0.3;0.4;-0.1;1.0;1.0;-0.1;0.2;0.9
21;2016;2.2;1.2;0.5;0.3;0.2;0.7;1.0;0.6;0.2;0.2
