ID;Transactions;InstitutionalSectors;Periods;GovernmentRevenue_1
0;Total government revenue;General government;1995;152021
1;Total government revenue;General government;1996;159580
2;Total government revenue;General government;1997;165801
3;Total government revenue;General government;1998;173893
4;Total government revenue;General government;1999 1st quarter;45271
5;Total government revenue;General government;1999 2nd quarter;47052
6;Total government revenue;General government;1999 3rd quarter;44465
7;Total government revenue;General government;1999 4th quarter;50422
8;Total government revenue;General government;1999;187210
9;Total government revenue;General government;2000 1st quarter;46703
10;Total government revenue;General government;2000 2nd quarter;52048
11;Total government revenue;General government;2000 3rd quarter;46827
12;Total government revenue;General government;2000 4th quarter;54951
13;Total government revenue;General government;2000;200529
14;Total government revenue;General government;2001 1st quarter;50298
15;Total government revenue;General government;2001 2nd quarter;54464
16;Total government revenue;General government;2001 3rd quarter;50029
17;Total government revenue;General government;2001 4th quarter;55808
18;Total government revenue;General government;2001;210599
19;Total government revenue;General government;2002 1st quarter;52224
20;Total government revenue;General government;2002 2nd quarter;55237
21;Total government revenue;General government;2002 3rd quarter;49831
22;Total government revenue;General government;2002 4th quarter;56698
23;Total government revenue;General government;2002;213990
24;Total government revenue;General government;2003 1st quarter;53758
25;Total government revenue;General government;2003 2nd quarter;56453
26;Total government revenue;General government;2003 3rd quarter;50169
27;Total government revenue;General government;2003 4th quarter;58763
28;Total government revenue;General government;2003;219143
29;Total government revenue;General government;2004 1st quarter;54398
30;Total government revenue;General government;2004 2nd quarter;57918
31;Total government revenue;General government;2004 3rd quarter;53778
32;Total government revenue;General government;2004 4th quarter;61675
33;Total government revenue;General government;2004;227769
34;Total government revenue;General government;2005 1st quarter;56288
35;Total government revenue;General government;2005 2nd quarter;58897
36;Total government revenue;General government;2005 3rd quarter;56371
37;Total government revenue;General government;2005 4th quarter;65764
38;Total government revenue;General government;2005;237320
39;Total government revenue;General government;2006 1st quarter;61470
40;Total government revenue;General government;2006 2nd quarter;64698
41;Total government revenue;General government;2006 3rd quarter;61142
42;Total government revenue;General government;2006 4th quarter;71113
43;Total government revenue;General government;2006;258423
44;Total government revenue;General government;2007 1st quarter;65792
45;Total government revenue;General government;2007 2nd quarter;66362
46;Total government revenue;General government;2007 3rd quarter;60347
47;Total government revenue;General government;2007 4th quarter;75347
48;Total government revenue;General government;2007;267848
49;Total government revenue;General government;2008 1st quarter;72319
50;Total government revenue;General government;2008 2nd quarter;71506
51;Total government revenue;General government;2008 3rd quarter;65395
52;Total government revenue;General government;2008 4th quarter;79017
53;Total government revenue;General government;2008;288237
54;Total government revenue;General government;2009 1st quarter;70367
55;Total government revenue;General government;2009 2nd quarter;67246
56;Total government revenue;General government;2009 3rd quarter;62281
57;Total government revenue;General government;2009 4th quarter;73134
58;Total government revenue;General government;2009;273028
59;Total government revenue;General government;2010 1st quarter;70155
60;Total government revenue;General government;2010 2nd quarter;71175
61;Total government revenue;General government;2010 3rd quarter;62043
62;Total government revenue;General government;2010 4th quarter;76918
63;Total government revenue;General government;2010;280291
64;Total government revenue;General government;2011 1st quarter;74184
65;Total government revenue;General government;2011 2nd quarter;70330
66;Total government revenue;General government;2011 3rd quarter;65822
67;Total government revenue;General government;2011 4th quarter;74085
68;Total government revenue;General government;2011;284421
69;Total government revenue;General government;2012 1st quarter;74756
70;Total government revenue;General government;2012 2nd quarter;72547
71;Total government revenue;General government;2012 3rd quarter;64569
72;Total government revenue;General government;2012 4th quarter;76470
73;Total government revenue;General government;2012;288342
74;Total government revenue;General government;2013 1st quarter;78121
75;Total government revenue;General government;2013 2nd quarter;75161
76;Total government revenue;General government;2013 3rd quarter;68108
77;Total government revenue;General government;2013 4th quarter;75993
78;Total government revenue;General government;2013;297383
79;Total government revenue;General government;2014 1st quarter;77545
80;Total government revenue;General government;2014 2nd quarter;76612
81;Total government revenue;General government;2014 3rd quarter;69109
82;Total government revenue;General government;2014 4th quarter;78707
83;Total government revenue;General government;2014;301973
84;Total government revenue;General government;2015 1st quarter;79682
85;Total government revenue;General government;2015 2nd quarter;76208
86;Total government revenue;General government;2015 3rd quarter;69192
87;Total government revenue;General government;2015 4th quarter;78873
