ID;GeboorteperiodeEersteKind;Opleidingsniveau;WerkendeVrouwenVoorGeboorte1eKind_1;DoorwerkendeVrouwenNaGeboorte1eKind_2;TotaalAantalVrouwenInDeSteekproef_3
0;Geboorteperiode: 1985-1989;Totaal opleidingsniveaus;69;46;566
1;Geboorteperiode: 1985-1989;Lager onderwijs, MAVO en VBO;61;32;186
2;Geboorteperiode: 1985-1989;HAVO / VWO en MBO;76;44;246
3;Geboorteperiode: 1985-1989;HBO en WO;81;66;110
4;Geboorteperiode: 1990-1994;Totaal opleidingsniveaus;75;62;566
5;Geboorteperiode: 1990-1994;Lager onderwijs, MAVO en VBO;59;44;172
6;Geboorteperiode: 1990-1994;HAVO / VWO en MBO;83;57;259
7;Geboorteperiode: 1990-1994;HBO en WO;85;87;122
8;Geboorteperiode: 1995-1997;Totaal opleidingsniveaus;83;72;412
9;Geboorteperiode: 1995-1997;Lager onderwijs, MAVO en VBO;74;48;108
10;Geboorteperiode: 1995-1997;HAVO / VWO en MBO;87;75;202
11;Geboorteperiode: 1995-1997;HBO en WO;90;86;93
