ID;CompanySize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
0;Total 1 or more employed persons;900063;2005 1st quarter;69.0;-2.3
1;Total 1 or more employed persons;900063;2005 2nd quarter;93.2;9.0
2;Total 1 or more employed persons;900063;2005 3rd quarter;82.9;8.6
3;Total 1 or more employed persons;900063;2005 4th quarter;108.3;5.9
4;Total 1 or more employed persons;900063;2005;88.4;5.6
5;Total 1 or more employed persons;900063;2006 1st quarter;76.6;10.9
6;Total 1 or more employed persons;900063;2006 2nd quarter;99.3;6.6
7;Total 1 or more employed persons;900063;2006 3rd quarter;88.5;6.7
8;Total 1 or more employed persons;900063;2006 4th quarter;118.7;9.6
9;Total 1 or more employed persons;900063;2006;95.8;8.4
10;Total 1 or more employed persons;900063;2007 1st quarter;87.3;14.0
11;Total 1 or more employed persons;900063;2007 2nd quarter;108.7;9.5
12;Total 1 or more employed persons;900063;2007 3rd quarter;96.4;8.9
13;Total 1 or more employed persons;900063;2007 4th quarter;127.6;7.5
14;Total 1 or more employed persons;900063;2007;105.0;9.6
15;Total 1 or more employed persons;900063;2008 1st quarter;97.7;11.9
16;Total 1 or more employed persons;900063;2008 2nd quarter;121.5;11.7
17;Total 1 or more employed persons;900063;2008 3rd quarter;106.8;10.9
18;Total 1 or more employed persons;900063;2008 4th quarter;134.3;5.2
19;Total 1 or more employed persons;900063;2008;115.1;9.6
20;Total 1 or more employed persons;900063;2009 1st quarter;99.0;1.3
21;Total 1 or more employed persons;900063;2009 2nd quarter;116.6;-4.0
22;Total 1 or more employed persons;900063;2009 3rd quarter;101.9;-4.6
23;Total 1 or more employed persons;900063;2009 4th quarter;121.5;-9.5
24;Total 1 or more employed persons;900063;2009;109.7;-4.6
25;Total 1 or more employed persons;900063;2010 1st quarter;82.0;-17.1
26;Total 1 or more employed persons;900063;2010 2nd quarter;107.2;-8.1
27;Total 1 or more employed persons;900063;2010 3rd quarter;94.9;-6.9
28;Total 1 or more employed persons;900063;2010 4th quarter;116.3;-4.3
29;Total 1 or more employed persons;900063;2010;100.1;-8.8
30;Total 1 or more employed persons;900063;2011 1st quarter;89.5;9.2
31;Total 1 or more employed persons;900063;2011 2nd quarter;110.3;2.9
32;Total 1 or more employed persons;900063;2011 3rd quarter;98.3;3.6
33;Total 1 or more employed persons;900063;2011 4th quarter;119.3;2.6
34;Total 1 or more employed persons;900063;2011;104.3;4.3
35;Total 1 or more employed persons;900063;2012 1st quarter;82.2;-8.2
36;Total 1 or more employed persons;900063;2012 2nd quarter;102.8;-6.8
37;Total 1 or more employed persons;900063;2012 3rd quarter;94.1;-4.3
38;Total 1 or more employed persons;900063;2012 4th quarter;109.3;-8.4
39;Total 1 or more employed persons;900063;2012;97.1;-6.9
40;Total 1 or more employed persons;900063;2013 1st quarter;74.9;-8.8
41;Total 1 or more employed persons;900063;2013 2nd quarter;96.4;-6.2
42;Total 1 or more employed persons;900063;2013 3rd quarter;89.7;-4.6
43;Total 1 or more employed persons;900063;2013 4th quarter;110.3;0.9
44;Total 1 or more employed persons;900063;2013;92.9;-4.4
45;Total 1 or more employed persons;900063;2014 1st quarter;78.5;4.8
46;Total 1 or more employed persons;900063;2014 2nd quarter;94.9;-1.5
47;Total 1 or more employed persons;900063;2014 3rd quarter;88.4;-1.5
48;Total 1 or more employed persons;900063;2014 4th quarter;116.7;5.8
49;Total 1 or more employed persons;900063;2014;94.6;1.9
50;Total 1 or more employed persons;900063;2015 1st quarter;83.1;5.7
51;Total 1 or more employed persons;900063;2015 2nd quarter;104.5;10.0
52;Total 1 or more employed persons;900063;2015 3rd quarter;94.6;7.0
53;Total 1 or more employed persons;900063;2015 4th quarter;117.9;1.0
54;Total 1 or more employed persons;900063;2015;100.0;5.7
55;Total 1 or more employed persons;900063;2016 1st quarter;87.8;5.7
56;Total 1 or more employed persons;900063;2016 2nd quarter;107.7;3.1
57;Total 1 or more employed persons;900063;2016 3rd quarter;102.6;8.5
58;Total 1 or more employed persons;900063;2016 4th quarter;127.2;7.8
59;Total 1 or more employed persons;900063;2016;106.3;6.3
60;Total 1 or more employed persons;900063;2017 1st quarter;93.4;6.4
61;Total 1 or more employed persons;900063;2017 2nd quarter;114.5;6.3
62;Total 1 or more employed persons;900063;2017 3rd quarter;106.2;3.5
63;Total 1 or more employed persons;900063;2017 4th quarter;136.6;7.4
64;Total 1 or more employed persons;900063;2017;112.7;6.0
65;Total 1 or more employed persons;900063;2018 1st quarter;101.5;8.6
66;Total 1 or more employed persons;900063;2018 2nd quarter;128.3;12.1
67;Total 1 or more employed persons;900063;2018 3rd quarter;116.6;9.8
68;Total 1 or more employed persons;900063;2018 4th quarter;151.4;10.9
69;Total 1 or more employed persons;900063;2018;124.5;10.5
70;Total 1 or more employed persons;900063;2019 1st quarter;113.2;11.6
71;Total 1 or more employed persons;900063;2019 2nd quarter;138.7;8.1
72;Total 1 or more employed persons;900063;2019 3rd quarter;127.6;9.4
73;Total 1 or more employed persons;900063;2019 4th quarter;154.9;2.3
74;Total 1 or more employed persons;900063;2019;133.6;7.4
75;Total 1 or more employed persons;900063;2020 1st quarter;124.3;9.7
76;Total 1 or more employed persons;900063;2020 2nd quarter;138.3;-0.3
77;Total 1 or more employed persons;900063;2020 3rd quarter;128.9;1.0
78;Total 1 or more employed persons;900063;2020 4th quarter;158.0;2.0
79;Total 1 or more employed persons;900063;2020;137.4;2.8
80;Total 1 or more employed persons;900063;2021 1st quarter;127.1;2.2
81;Total 1 or more employed persons;900063;2021 2nd quarter;152.1;10.0
82;Total 1 or more employed persons;900063;2021 3rd quarter;138.6;7.5
83;Total 1 or more employed persons;900063;2021 4th quarter;175.2;10.9
84;Total 1 or more employed persons;900063;2021;148.3;7.9
85;Total 1 or more employed persons;900063;2022 1st quarter;138.3;8.8
86;Total 1 or more employed persons;900063;2022 2nd quarter;168.2;10.6
87;Total 1 or more employed persons;900063;2022 3rd quarter;151.9;9.6
88;Total 1 or more employed persons;900063;2022 4th quarter;194.1;10.8
89;Total 1 or more employed persons;900063;2022;163.1;10.0
90;Total 1 or more employed persons;900063;2023 1st quarter;155.0;12.1
91;Total 1 or more employed persons;900063;2023 2nd quarter;181.6;7.9
92;Total 1 or more employed persons;900063;2023 3rd quarter;161.6;6.4
93;Total 1 or more employed persons;900063;2023 4rd quarter;198.9;2.5
94;Total 1 or more employed persons;900063;2023;174.3;6.8
95;Total 1 or more employed persons;350400;2005 1st quarter;79.7;-5.2
96;Total 1 or more employed persons;350400;2005 2nd quarter;110.0;8.2
97;Total 1 or more employed persons;350400;2005 3rd quarter;92.5;6.1
98;Total 1 or more employed persons;350400;2005 4th quarter;123.3;5.7
99;Total 1 or more employed persons;350400;2005;101.4;4.1
100;Total 1 or more employed persons;350400;2006 1st quarter;90.0;12.9
101;Total 1 or more employed persons;350400;2006 2nd quarter;117.6;6.9
102;Total 1 or more employed persons;350400;2006 3rd quarter;97.2;5.1
103;Total 1 or more employed persons;350400;2006 4th quarter;134.5;9.1
104;Total 1 or more employed persons;350400;2006;109.8;8.3
105;Total 1 or more employed persons;350400;2007 1st quarter;102.0;13.3
106;Total 1 or more employed persons;350400;2007 2nd quarter;128.6;9.4
107;Total 1 or more employed persons;350400;2007 3rd quarter;108.1;11.2
108;Total 1 or more employed persons;350400;2007 4th quarter;145.7;8.3
109;Total 1 or more employed persons;350400;2007;121.1;10.3
110;Total 1 or more employed persons;350400;2008 1st quarter;116.7;14.4
111;Total 1 or more employed persons;350400;2008 2nd quarter;142.9;11.1
112;Total 1 or more employed persons;350400;2008 3rd quarter;120.0;11.0
