ID;Bedrijfsgrootte;BedrijfstakkenBranchesSBI2008;Perioden;WerkzamePersonen_1;Arbeidsjaren_2;UitgavenVoorEigenRDActiviteiten_3;OndernemingenMetEigenRDActiviteiten_4
0;Totaal;A-U Alle economische activiteiten;2011;121051.0;74011.0;6922.0;18006.0
1;Totaal;A-U Alle economische activiteiten;2012;129978.0;76767.0;7078.0;18845.0
2;Totaal;A-U Alle economische activiteiten;2013;130094.0;77399.0;7095.0;18649.0
3;Totaal;A-U Alle economische activiteiten;2014;132409.0;76708.0;7433.0;18939.0
4;Totaal;A-U Alle economische activiteiten;2015;128611.0;81108.0;7669.0;20147.0
5;Totaal;A-U Alle economische activiteiten;2016;126461.0;83827.0;8242.0;19529.0
6;Totaal;A Landbouw, bosbouw en visserij;2011;4698.0;2263.0;176.0;521.0
7;Totaal;A Landbouw, bosbouw en visserij;2012;4071.0;1796.0;143.0;512.0
8;Totaal;A Landbouw, bosbouw en visserij;2013;4802.0;1897.0;140.0;534.0
9;Totaal;A Landbouw, bosbouw en visserij;2014;5748.0;2075.0;172.0;518.0
10;Totaal;A Landbouw, bosbouw en visserij;2015;4655.0;2153.0;215.0;916.0
11;Totaal;A Landbouw, bosbouw en visserij;2016;4354.0;2310.0;243.0;784.0
12;Totaal;B-E Nijverheid (geen bouw) en energie;2011;50641.0;35138.0;4006.0;4802.0
13;Totaal;B-E Nijverheid (geen bouw) en energie;2012;51213.0;35770.0;4138.0;4884.0
14;Totaal;B-E Nijverheid (geen bouw) en energie;2013;51745.0;36157.0;4227.0;4825.0
15;Totaal;B-E Nijverheid (geen bouw) en energie;2014;51403.0;35546.0;4499.0;4948.0
16;Totaal;B-E Nijverheid (geen bouw) en energie;2015;52563.0;37134.0;4411.0;4645.0
17;Totaal;B-E Nijverheid (geen bouw) en energie;2016;53596.0;38831.0;4669.0;4545.0
18;Totaal;B Delfstoffenwinning;2011;124.0;114.0;29.0;24.0
19;Totaal;B Delfstoffenwinning;2012;209.0;84.0;58.0;16.0
20;Totaal;B Delfstoffenwinning;2013;232.0;115.0;58.0;16.0
