ID;EigenaarHuurder;HuishoudensEnWoningkenmerken;RegioS;Perioden;AantalHuishoudens_1;TotaleWoonlasten_2;NettoWoonlasten_3;BijkomendeWoonlasten_4;Woonquote_5;TotaleWoonlasten_6;NettoWoonlasten_7;BijkomendeWoonlasten_8;Woonquote_9
0;Totaal;Totaal;Nederland;2018;7006.3;811.0;606.0;206.0;26.8;690.0;492.0;198.0;24.8
1;Totaal;Totaal;Nederland;2019;7075.5;831.0;617.0;214.0;26.4;708.0;501.0;204.0;24.3
2;Totaal;Totaal;Nederland;2020;7152.4;823.0;629.0;194.0;25.2;693.0;506.0;185.0;23.0
3;Totaal;Totaal;Nederland;2021;7221.3;847.0;637.0;210.0;25.3;717.0;514.0;199.0;22.9
4;Totaal;Totaal;Nederland;2022;7297.9;790.0;611.0;178.0;22.3;688.0;505.0;171.0;20.1
5;Totaal;Totaal;Aa en Hunze;2018;10.2;806.0;565.0;241.0;25.3;681.0;452.0;234.0;22.8
6;Totaal;Totaal;Aa en Hunze;2019;10.3;804.0;560.0;244.0;24.6;696.0;459.0;236.0;22.2
7;Totaal;Totaal;Aa en Hunze;2020;10.4;808.0;585.0;222.0;23.4;680.0;466.0;214.0;21.0
8;Totaal;Totaal;Aa en Hunze;2021;10.4;834.0;591.0;243.0;23.4;703.0;467.0;233.0;20.6
9;Totaal;Totaal;Aa en Hunze;2022;10.6;779.0;556.0;224.0;21.1;677.0;456.0;214.0;18.9
10;Totaal;Totaal;Aalburg;2018;4.7;879.0;644.0;235.0;25.9;734.0;510.0;227.0;23.4
11;Totaal;Totaal;Aalburg;2019;;;;;;;;;
12;Totaal;Totaal;Aalburg;2020;;;;;;;;;
13;Totaal;Totaal;Aalburg;2021;;;;;;;;;
14;Totaal;Totaal;Aalburg;2022;;;;;;;;;
15;Totaal;Totaal;Aalsmeer;2018;11.8;966.0;747.0;219.0;26.4;821.0;619.0;213.0;24.0
16;Totaal;Totaal;Aalsmeer;2019;12.0;981.0;749.0;232.0;25.8;845.0;630.0;225.0;23.4
17;Totaal;Totaal;Aalsmeer;2020;12.1;968.0;755.0;213.0;24.9;829.0;633.0;207.0;22.3
18;Totaal;Totaal;Aalsmeer;2021;12.2;999.0;771.0;228.0;24.8;852.0;639.0;220.0;21.8
19;Totaal;Totaal;Aalsmeer;2022;12.3;916.0;718.0;199.0;22.0;805.0;619.0;190.0;19.2
20;Totaal;Totaal;Aalten;2018;10.9;742.0;534.0;208.0;25.5;667.0;462.0;200.0;23.5
21;Totaal;Totaal;Aalten;2019;11.0;761.0;547.0;213.0;25.0;680.0;473.0;206.0;22.9
22;Totaal;Totaal;Aalten;2020;11.1;745.0;554.0;191.0;23.6;660.0;472.0;183.0;21.6
23;Totaal;Totaal;Aalten;2021;11.1;774.0;565.0;209.0;23.9;686.0;480.0;201.0;21.2
24;Totaal;Totaal;Aalten;2022;11.2;726.0;544.0;182.0;21.1;658.0;470.0;178.0;19.0
25;Totaal;Totaal;Achtkarspelen;2018;11.4;703.0;468.0;235.0;26.2;611.0;378.0;228.0;24.3
26;Totaal;Totaal;Achtkarspelen;2019;11.4;718.0;482.0;236.0;25.6;622.0;387.0;229.0;23.7
27;Totaal;Totaal;Achtkarspelen;2020;11.4;710.0;490.0;220.0;24.4;611.0;391.0;213.0;22.5
28;Totaal;Totaal;Achtkarspelen;2021;11.5;734.0;496.0;239.0;24.7;640.0;401.0;230.0;22.5
29;Totaal;Totaal;Achtkarspelen;2022;11.5;737.0;526.0;211.0;21.9;623.0;401.0;207.0;20.1
30;Totaal;Totaal;Alblasserdam;2018;7.9;786.0;581.0;205.0;25.5;686.0;489.0;200.0;24.0
31;Totaal;Totaal;Alblasserdam;2019;7.9;804.0;590.0;214.0;25.0;698.0;492.0;208.0;23.4
32;Totaal;Totaal;Alblasserdam;2020;8.0;792.0;597.0;195.0;23.7;679.0;493.0;188.0;22.0
33;Totaal;Totaal;Alblasserdam;2021;8.0;796.0;590.0;207.0;23.5;696.0;493.0;198.0;21.9
34;Totaal;Totaal;Alblasserdam;2022;8.0;744.0;570.0;174.0;20.8;662.0;488.0;169.0;19.3
35;Totaal;Totaal;Albrandswaard;2018;9.8;967.0;747.0;220.0;25.6;819.0;611.0;215.0;23.4
36;Totaal;Totaal;Albrandswaard;2019;9.8;981.0;752.0;228.0;25.0;834.0;620.0;222.0;22.7
37;Totaal;Totaal;Albrandswaard;2020;10.0;974.0;760.0;214.0;23.9;824.0;620.0;208.0;21.5
38;Totaal;Totaal;Albrandswaard;2021;10.0;993.0;761.0;232.0;24.0;848.0;631.0;225.0;21.3
39;Totaal;Totaal;Albrandswaard;2022;10.1;917.0;708.0;209.0;21.3;815.0;613.0;201.0;19.3
40;Totaal;Totaal;Alkmaar;2018;47.2;760.0;567.0;193.0;26.4;660.0;476.0;187.0;24.5
41;Totaal;Totaal;Alkmaar;2019;47.6;778.0;577.0;201.0;25.9;676.0;482.0;194.0;24.0
42;Totaal;Totaal;Alkmaar;2020;47.9;766.0;584.0;182.0;24.6;657.0;481.0;175.0;22.6
43;Totaal;Totaal;Alkmaar;2021;48.2;785.0;588.0;197.0;24.6;676.0;486.0;188.0;22.3
44;Totaal;Totaal;Alkmaar;2022;49.2;735.0;571.0;163.0;21.7;643.0;479.0;158.0;19.5
45;Totaal;Totaal;Almelo;2018;30.3;722.0;517.0;205.0;27.5;637.0;433.0;200.0;25.9
46;Totaal;Totaal;Almelo;2019;30.7;736.0;525.0;211.0;27.1;650.0;437.0;205.0;25.5
47;Totaal;Totaal;Almelo;2020;30.8;736.0;542.0;194.0;25.8;637.0;444.0;187.0;24.3
48;Totaal;Totaal;Almelo;2021;31.1;775.0;559.0;216.0;26.7;676.0;461.0;208.0;24.7
49;Totaal;Totaal;Almelo;2022;31.1;725.0;540.0;185.0;23.5;652.0;456.0;181.0;21.6
50;Totaal;Totaal;Almere;2018;76.2;838.0;641.0;197.0;26.8;751.0;561.0;195.0;24.6
51;Totaal;Totaal;Almere;2019;77.7;857.0;655.0;202.0;26.3;763.0;569.0;199.0;23.9
52;Totaal;Totaal;Almere;2020;79.2;860.0;673.0;187.0;25.2;750.0;568.0;184.0;22.8
53;Totaal;Totaal;Almere;2021;80.5;869.0;671.0;198.0;25.0;767.0;573.0;194.0;22.3
54;Totaal;Totaal;Almere;2022;82.2;805.0;641.0;164.0;21.7;723.0;553.0;165.0;19.5
55;Totaal;Totaal;Alphen aan den Rijn;2018;44.5;843.0;631.0;212.0;25.9;734.0;532.0;206.0;23.8
56;Totaal;Totaal;Alphen aan den Rijn;2019;45.1;862.0;641.0;221.0;25.3;749.0;537.0;214.0;23.2
57;Totaal;Totaal;Alphen aan den Rijn;2020;45.6;864.0;663.0;201.0;24.1;729.0;535.0;194.0;22.0
58;Totaal;Totaal;Alphen aan den Rijn;2021;46.3;863.0;646.0;217.0;24.0;749.0;539.0;209.0;21.6
59;Totaal;Totaal;Alphen aan den Rijn;2022;46.6;797.0;611.0;186.0;21.2;711.0;526.0;180.0;19.2
