ID;Geslacht;Leeftijd;Zorgtype;Diagnose;Perioden;AantalPatienten_1;AantalPatientenPer100000Inwoners_2;AantalPatienten_3;AantalPatientenPer100000Inwoners_4
0;Totaal mannen en vrouwen;Totaal alle leeftijden;0;Totaal alle diagnoses;2008;9578900.0;58246.0;8397105.0;51060.0
1;Totaal mannen en vrouwen;Totaal alle leeftijden;0;Totaal alle diagnoses;2009;9882065.0;59781.0;8668240.0;52438.0
2;Totaal mannen en vrouwen;Totaal alle leeftijden;0;Totaal alle diagnoses;2010;10122230.0;60921.0;8893285.0;53524.0
3;Totaal mannen en vrouwen;Totaal alle leeftijden;0;Totaal alle diagnoses;2011;;;9381610.0;56201.0
4;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG Totaal oogheelkunde;2008;1704135.0;10362.0;1469315.0;8934.0
5;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG Totaal oogheelkunde;2009;1665700.0;10077.0;1436045.0;8687.0
6;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG Totaal oogheelkunde;2010;1700970.0;10237.0;1454635.0;8755.0
7;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG Totaal oogheelkunde;2011;;;1540480.0;9228.0
8;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG1 Totaal geen pathologie;2008;145580.0;885.0;132010.0;803.0
9;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG1 Totaal geen pathologie;2009;159735.0;966.0;144000.0;871.0
10;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG1 Totaal geen pathologie;2010;178315.0;1073.0;159775.0;962.0
11;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG1 Totaal geen pathologie;2011;;;185855.0;1113.0
12;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG2 Totaal visus/refractie;2008;245245.0;1491.0;208950.0;1271.0
13;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG2 Totaal visus/refractie;2009;223135.0;1350.0;186025.0;1125.0
14;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG2 Totaal visus/refractie;2010;227545.0;1369.0;188625.0;1135.0
15;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG2 Totaal visus/refractie;2011;;;190960.0;1144.0
16;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG2.1 Lui oog;2008;31250.0;190.0;24055.0;146.0
17;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG2.1 Lui oog;2009;32705.0;198.0;24885.0;151.0
18;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG2.1 Lui oog;2010;33960.0;204.0;26070.0;157.0
19;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG2.1 Lui oog;2011;;;28275.0;169.0
20;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG2.2 Brekingsafwijking;2008;179880.0;1094.0;156265.0;950.0
21;Totaal mannen en vrouwen;Totaal alle leeftijden;0;OG2.2 Brekingsafwijking;2009;150065.0;908.0;127570.0;772.0
