ID;Geslacht;Leeftijd;Migratieachtergrond;RegioS;Perioden;Bevolking15JaarEnOuder_1;Totaal_2;Afgelopen4JaarVoortdurendWerkzaam_3;MeerDan3JaarWerkzaam_4;TussenDe2En3JaarWerkzaam_5;TussenDe1En2JaarWerkzaam_6;Tussen1MndEn1JaarWerkzaam_7;Totaal_8;MeerDan3JaarWerkzaam_9;TussenDe2En3JaarWerkzaam_10;TussenDe1En2JaarWerkzaam_11;Tussen1MndEn1JaarWerkzaam_12;NietWerkzaamAfgelopen4Jaar_13;k_1Maand_14;k_2Maanden_15;k_3Tot6Maanden_16;k_6MaandenTot1Jaar_17;k_1Tot2Jaar_18;k_2Tot3Jaar_19;k_3Tot4Jaar_20;k_4JaarEnLanger_21
0;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Nederland;2004;13299300;7778300;5956600;827200;508000;293400;193100;5520900;258600;376200;390400;585800;3909900;89400;93900;282800;227000;420100;280700;217100;3909900
1;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Nederland;2005;13352800;7842700;6015500;801600;497200;304900;223500;5510100;219600;363900;385600;595000;3946100;85500;87600;263600;204100;407500;286400;229200;3946100
2;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Nederland;2006;13402000;7997600;5948100;831700;546800;367300;303700;5404400;237700;323400;343900;565100;3934400;109700;87200;244000;178800;378600;250600;221100;3934400
3;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Nederland;2007;13473300;8180200;5931400;896800;593300;420700;338100;5293100;218200;289700;347000;545600;3892600;129300;85800;241800;169000;322100;254900;197700;3892600
4;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Nederland;2008;13565900;8284000;5992900;936700;615600;429100;309700;5281900;225600;297600;347000;560100;3851600;143400;97100;254000;179100;329200;222200;205300;3851600
5;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Nederland;2009;13665700;8230100;6014500;985600;592600;390500;246900;5435600;292100;344000;363000;548600;3887900;146800;102400;277900;235200;378900;224900;181500;3887900
6;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Nederland;2010;13749800;8267800;6085700;1020400;570200;344100;247300;5482100;276400;368400;397000;543500;3896800;124100;98300;267900;225200;411400;270700;187600;3896800
7;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Nederland;2011;13834600;8371100;6175800;1013400;560500;363700;257600;5463500;271100;342700;400300;549600;3899900;120100;102100;268000;233800;353000;279300;207400;3899900
8;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Nederland;2012;13902700;8309100;6189200;981100;540600;364000;234200;5593700;297300;370200;399400;579400;3947300;118200;103300;274200;249800;406400;258700;235700;3947300
9;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Nederland;2013;13979600;8235400;6140700;984600;552000;325300;232800;5744200;312000;403100;421900;577100;4030200;123800;103800;267900;251700;442600;303400;220800;4030200
10;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Nederland;2014;14074100;8275100;6175100;984300;528000;334900;252900;5798200;294700;395100;425900;593800;4088800;133200;99600;257100;230200;418200;316700;254500;4088800
11;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Nederland;2015;14061900;8280600;6111200;984600;546400;364400;273900;5781300;279500;363500;411400;587700;4139200;135800;94700;252200;224200;377700;296500;261000;4139200
12;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Noord-Nederland (LD);2004;1394100;773000;585800;83400;52500;30900;20400;621100;27600;40800;43000;67000;442800;10100;10500;34900;24500;45600;30000;22800;442800
13;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Noord-Nederland (LD);2005;1396000;780200;592400;80500;51500;32000;23800;615800;23200;39500;42000;66900;444100;9900;9700;31700;21400;43800;30900;24300;444100
14;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Noord-Nederland (LD);2006;1399800;794600;587200;83100;55700;38300;30200;605300;23700;35500;38300;64300;443400;11200;9800;28400;17700;43000;27600;24100;443400
15;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Noord-Nederland (LD);2007;1404800;813100;585100;88900;60700;43500;34900;591700;22300;30800;38600;60800;439300;13800;8900;28200;16600;34500;28900;21600;439300
16;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Noord-Nederland (LD);2008;1410700;821200;592100;92000;61400;44100;31800;589500;23100;31400;37700;62900;434300;15800;10300;28900;18100;35000;23900;23100;434300
17;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Noord-Nederland (LD);2009;1417600;813500;595800;93300;58900;39900;25600;604100;30300;35900;38800;61100;438000;15800;10600;32100;23200;40300;24300;19800;438000
18;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Noord-Nederland (LD);2010;1423400;817800;601900;98600;56400;34900;26000;605600;27300;38300;41800;59800;438400;12700;10400;30400;21600;43400;28600;20200;438400
19;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Noord-Nederland (LD);2011;1427400;822200;608400;97300;54200;36000;26200;605200;27200;36300;42700;61100;437900;12800;11300;30300;23100;37200;30000;22700;437900
20;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Noord-Nederland (LD);2012;1430600;813100;606900;94000;53100;35200;24000;617400;29600;39100;42400;63800;442500;12600;11200;30900;23600;43500;27500;25600;442500
21;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Noord-Nederland (LD);2013;1434800;803500;599400;94900;52700;32200;24200;631300;30500;42100;44500;62700;451500;13400;10800;29200;23600;46400;32700;23700;451500
22;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Noord-Nederland (LD);2014;1440000;801900;597700;94400;50800;33000;26000;638100;30500;41000;44900;64400;457400;14200;11800;28500;22600;42600;33400;27700;457400
23;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Noord-Nederland (LD);2015;1402400;780700;573600;92900;51600;35400;27200;621700;28000;37600;41700;61400;453000;14400;9900;27300;21600;38600;29800;27100;453000
24;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Oost-Nederland (LD);2004;2773500;1645900;1268700;169100;105300;61800;41000;1127600;53500;76500;79500;123700;794300;18800;20800;60500;45600;84900;57200;45500;794300
25;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Oost-Nederland (LD);2005;2789200;1661400;1283600;164500;102200;63400;47800;1127800;45400;74800;78600;124900;804200;17800;19000;56400;41100;83900;58500;47000;804200
26;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Oost-Nederland (LD);2006;2803000;1696400;1271800;170200;111900;76900;65600;1106600;50600;65700;70200;117800;802300;24600;19000;51600;35800;76500;51500;45300;802300
27;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Oost-Nederland (LD);2007;2819400;1740900;1273000;183300;122900;88800;72800;1078500;43000;58100;70200;114000;793100;25600;17700;51500;33200;65000;51400;40900;793100
28;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Oost-Nederland (LD);2008;2840000;1762000;1286400;190200;128000;90800;66600;1078000;45000;60400;70500;116400;785800;29000;21100;53000;35300;67300;45100;41400;785800
29;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Oost-Nederland (LD);2009;2861000;1751600;1293800;199500;122300;82400;53600;1109400;59700;69200;74000;114000;792600;30600;21900;57800;46200;76900;46400;37100;792600
30;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Oost-Nederland (LD);2010;2876900;1758700;1309300;208100;116300;71700;53200;1118300;56000;75000;80400;114000;792900;25600;21100;56200;44100;84500;54900;39000;792900
31;Totaal mannen en vrouwen;Totaal;Totaal migratieachtergrond;Oost-Nederland (LD);2011;2893700;1781200;1329400;206300;114000;75900;55600;1112400;54600;69000;81100;114100;793600;25300;21600;56100;45000;70900;57500;42400;793600
