ID;Geslacht;Leeftijd;RegioSSituatie2011;Perioden;BevolkingTotaal_1;Autochtonen_2;TotaalWesterseAllochtonen_3;Eerstegeneratieallochtoon_4;Tweedegeneratieallochtoon_5;TotaalNietWesterseAllochtonen_6;Eerstegeneratieallochtoon_7;Tweedegeneratieallochtoon_8;RegionaleCodering_9
0;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2012;16733.2;13245.0;1549.1;680.5;868.6;1939.1;1081.1;858.1;NL01  
1;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2013;16808.6;13258.9;1572.2;697.6;874.6;1977.4;1092.9;884.6;NL01  
2;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2014;16877.7;13268.6;1594.2;713.8;880.4;2015.0;1105.3;909.6;NL01  
3;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2015;16941.2;13275.3;1614.7;729.1;885.7;2051.2;1118.0;933.2;NL01  
4;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2016;17001.3;13279.8;1634.5;743.5;891.0;2087.0;1130.6;956.4;NL01  
5;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2017;17059.3;13283.6;1653.5;757.1;896.3;2122.3;1143.1;979.2;NL01  
6;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2018;17116.4;13287.6;1671.8;770.2;901.7;2157.0;1155.6;1001.4;NL01  
7;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2019;17173.0;13292.1;1689.7;782.6;907.1;2191.2;1168.0;1023.2;NL01  
8;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2020;17228.8;13297.0;1706.9;794.5;912.4;2224.9;1180.2;1044.7;NL01  
9;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2021;17283.8;13302.1;1723.6;805.8;917.8;2258.0;1192.3;1065.7;NL01  
10;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2022;17337.6;13307.0;1739.7;816.7;923.1;2290.8;1204.3;1086.5;NL01  
11;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2023;17389.8;13311.3;1755.2;826.9;928.2;2323.4;1216.3;1107.1;NL01  
12;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2024;17440.2;13314.4;1770.0;836.8;933.3;2355.7;1228.2;1127.5;NL01  
13;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2025;17488.4;13316.1;1784.4;846.1;938.2;2387.9;1240.1;1147.8;NL01  
14;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2026;17534.0;13316.0;1798.1;855.0;943.1;2419.8;1251.7;1168.1;NL01  
15;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2027;17576.9;13313.9;1811.3;863.5;947.7;2451.6;1263.4;1188.3;NL01  
16;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2028;17616.9;13309.7;1823.9;871.7;952.2;2483.3;1274.8;1208.5;NL01  
17;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2029;17653.9;13303.0;1836.1;879.5;956.6;2514.7;1286.1;1228.6;NL01  
18;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2030;17687.8;13293.9;1847.9;887.1;960.8;2546.0;1297.3;1248.8;NL01  
19;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2031;17718.5;13282.0;1859.3;894.5;964.9;2577.2;1308.3;1268.9;NL01  
20;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2032;17745.9;13267.4;1870.5;901.7;968.8;2608.1;1319.1;1289.0;NL01  
21;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2033;17769.8;13249.8;1881.3;908.7;972.6;2638.7;1329.7;1309.1;NL01  
22;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2034;17790.2;13229.1;1892.0;915.8;976.3;2669.1;1340.0;1329.1;NL01  
23;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2035;17807.0;13205.2;1902.6;922.8;979.8;2699.1;1350.1;1349.0;NL01  
24;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2036;17820.2;13178.2;1913.2;929.9;983.3;2728.8;1359.9;1368.9;NL01  
25;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2037;17829.9;13148.2;1923.7;937.1;986.7;2758.0;1369.4;1388.7;NL01  
26;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2038;17836.5;13115.4;1934.2;944.3;990.0;2786.8;1378.5;1408.4;NL01  
27;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2039;17839.9;13080.0;1944.7;951.5;993.2;2815.2;1387.2;1428.0;NL01  
28;Mannen en vrouwen;Totaal alle leeftijden;Nederland;2040;17840.7;13042.6;1955.1;958.7;996.5;2843.0;1395.6;1447.4;NL01  
29;Mannen en vrouwen;Totaal alle leeftijden;Noord-Nederland (LD);2012;1722.7;1541.0;103.1;42.5;60.6;78.5;45.9;32.7;LD01  
30;Mannen en vrouwen;Totaal alle leeftijden;Noord-Nederland (LD);2013;1726.5;1540.6;104.7;43.6;61.1;81.2;47.1;34.2;LD01  
31;Mannen en vrouwen;Totaal alle leeftijden;Noord-Nederland (LD);2014;1730.0;1539.9;106.2;44.7;61.5;84.0;48.4;35.6;LD01  
