ID;Functions;Financing;Periods;HealthCareExpenditure_1
0;Health expenditure for residents;Total financing of residents;2021;100183.0
1;Health expenditure for residents;Total financing of residents;2022;100607.0
2;Health expenditure for residents;Total financing of residents;2023;106359.0
3;Health expenditure for residents;HF1: Government, comp. contr. schemes;2021;84279.0
4;Health expenditure for residents;HF1: Government, comp. contr. schemes;2022;83775.0
5;Health expenditure for residents;HF1: Government, comp. contr. schemes;2023;88424.0
6;Health expenditure for residents;HF11: Government schemes;2021;14116.0
7;Health expenditure for residents;HF11: Government schemes;2022;11184.0
8;Health expenditure for residents;HF11: Government schemes;2023;9636.0
9;Health expenditure for residents;HF12: Compulsory contributory schemes;2021;70163.0
10;Health expenditure for residents;HF12: Compulsory contributory schemes;2022;72591.0
11;Health expenditure for residents;HF12: Compulsory contributory schemes;2023;78788.0
12;Health expenditure for residents;HF121a: Long-term care insurance;2021;21916.0
13;Health expenditure for residents;HF121a: Long-term care insurance;2022;23052.0
14;Health expenditure for residents;HF121a: Long-term care insurance;2023;25489.0
15;Health expenditure for residents;HF121b: Health Insurance Fund;2021;
16;Health expenditure for residents;HF121b: Health Insurance Fund;2022;
17;Health expenditure for residents;HF121b: Health Insurance Fund;2023;
18;Health expenditure for residents;HF122: Compulsory private insurance;2021;48247.0
19;Health expenditure for residents;HF122: Compulsory private insurance;2022;49538.0
20;Health expenditure for residents;HF122: Compulsory private insurance;2023;53300.0
21;Health expenditure for residents;Voluntary schemes (incl. OOP);2021;15904.0
22;Health expenditure for residents;Voluntary schemes (incl. OOP);2022;16832.0
23;Health expenditure for residents;Voluntary schemes (incl. OOP);2023;17935.0
24;Health expenditure for residents;HF2: Voluntary schemes;2021;5243.0
25;Health expenditure for residents;HF2: Voluntary schemes;2022;5230.0
26;Health expenditure for residents;HF2: Voluntary schemes;2023;5594.0
27;Health expenditure for residents;HF21: Voluntary health insurance schemes;2021;4127.0
28;Health expenditure for residents;HF21: Voluntary health insurance schemes;2022;4135.0
29;Health expenditure for residents;HF21: Voluntary health insurance schemes;2023;4422.0
30;Health expenditure for residents;HF22: Financing schemes NPISH;2021;44.0
31;Health expenditure for residents;HF22: Financing schemes NPISH;2022;46.0
32;Health expenditure for residents;HF22: Financing schemes NPISH;2023;51.0
33;Health expenditure for residents;HF23: Enterprise financing schemes;2021;1072.0
34;Health expenditure for residents;HF23: Enterprise financing schemes;2022;1049.0
35;Health expenditure for residents;HF23: Enterprise financing schemes;2023;1121.0
36;Health expenditure for residents;HF3: Household out-of-pocket payments;2021;10662.0
37;Health expenditure for residents;HF3: Household out-of-pocket payments;2022;11602.0
38;Health expenditure for residents;HF3: Household out-of-pocket payments;2023;12341.0
39;Health expenditure for residents;HF31: Out-of-pocket excl cost sharing;2021;5574.0
40;Health expenditure for residents;HF31: Out-of-pocket excl cost sharing;2022;6305.0
41;Health expenditure for residents;HF31: Out-of-pocket excl cost sharing;2023;6835.0
42;Health expenditure for residents;HF32: Cost sharing;2021;5088.0
43;Health expenditure for residents;HF32: Cost sharing;2022;5297.0
44;Health expenditure for residents;HF32: Cost sharing;2023;5506.0
45;HC1: Services of curative care;Total financing of residents;2021;42429.0
46;HC1: Services of curative care;Total financing of residents;2022;44070.0
47;HC1: Services of curative care;Total financing of residents;2023;47766.0
48;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2021;36373.0
49;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2022;37328.0
50;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2023;40538.0
51;HC1: Services of curative care;HF11: Government schemes;2021;2554.0
52;HC1: Services of curative care;HF11: Government schemes;2022;2541.0
53;HC1: Services of curative care;HF11: Government schemes;2023;2830.0
54;HC1: Services of curative care;HF12: Compulsory contributory schemes;2021;33819.0
55;HC1: Services of curative care;HF12: Compulsory contributory schemes;2022;34787.0
56;HC1: Services of curative care;HF12: Compulsory contributory schemes;2023;37707.0
57;HC1: Services of curative care;HF121a: Long-term care insurance;2021;95.0
58;HC1: Services of curative care;HF121a: Long-term care insurance;2022;103.0
59;HC1: Services of curative care;HF121a: Long-term care insurance;2023;123.0
60;HC1: Services of curative care;HF121b: Health Insurance Fund;2021;
61;HC1: Services of curative care;HF121b: Health Insurance Fund;2022;
62;HC1: Services of curative care;HF121b: Health Insurance Fund;2023;
63;HC1: Services of curative care;HF122: Compulsory private insurance;2021;33724.0
64;HC1: Services of curative care;HF122: Compulsory private insurance;2022;34684.0
65;HC1: Services of curative care;HF122: Compulsory private insurance;2023;37584.0
66;HC1: Services of curative care;Voluntary schemes (incl. OOP);2021;6056.0
67;HC1: Services of curative care;Voluntary schemes (incl. OOP);2022;6742.0
68;HC1: Services of curative care;Voluntary schemes (incl. OOP);2023;7228.0
69;HC1: Services of curative care;HF2: Voluntary schemes;2021;1522.0
70;HC1: Services of curative care;HF2: Voluntary schemes;2022;1529.0
71;HC1: Services of curative care;HF2: Voluntary schemes;2023;1647.0
72;HC1: Services of curative care;HF21: Voluntary health insurance schemes;2021;1522.0
73;HC1: Services of curative care;HF21: Voluntary health insurance schemes;2022;1529.0
74;HC1: Services of curative care;HF21: Voluntary health insurance schemes;2023;1647.0
75;HC1: Services of curative care;HF22: Financing schemes NPISH;2021;0.0
76;HC1: Services of curative care;HF22: Financing schemes NPISH;2022;0.0
77;HC1: Services of curative care;HF22: Financing schemes NPISH;2023;0.0
78;HC1: Services of curative care;HF23: Enterprise financing schemes;2021;0.0
79;HC1: Services of curative care;HF23: Enterprise financing schemes;2022;0.0
80;HC1: Services of curative care;HF23: Enterprise financing schemes;2023;0.0
81;HC1: Services of curative care;HF3: Household out-of-pocket payments;2021;4535.0
82;HC1: Services of curative care;HF3: Household out-of-pocket payments;2022;5213.0
83;HC1: Services of curative care;HF3: Household out-of-pocket payments;2023;5582.0
84;HC1: Services of curative care;HF31: Out-of-pocket excl cost sharing;2021;2531.0
85;HC1: Services of curative care;HF31: Out-of-pocket excl cost sharing;2022;3120.0
86;HC1: Services of curative care;HF31: Out-of-pocket excl cost sharing;2023;3423.0
87;HC1: Services of curative care;HF32: Cost sharing;2021;2003.0
88;HC1: Services of curative care;HF32: Cost sharing;2022;2092.0
89;HC1: Services of curative care;HF32: Cost sharing;2023;2159.0
90;HC11: In-patient curative care;Total financing of residents;2021;13251.0
91;HC11: In-patient curative care;Total financing of residents;2022;13355.0
92;HC11: In-patient curative care;Total financing of residents;2023;14262.0
93;HC11: In-patient curative care;HF1: Government, comp. contr. schemes;2021;12459.0
94;HC11: In-patient curative care;HF1: Government, comp. contr. schemes;2022;12502.0
95;HC11: In-patient curative care;HF1: Government, comp. contr. schemes;2023;13386.0
96;HC11: In-patient curative care;HF11: Government schemes;2021;892.0
97;HC11: In-patient curative care;HF11: Government schemes;2022;808.0
98;HC11: In-patient curative care;HF11: Government schemes;2023;845.0
99;HC11: In-patient curative care;HF12: Compulsory contributory schemes;2021;11567.0
100;HC11: In-patient curative care;HF12: Compulsory contributory schemes;2022;11694.0
101;HC11: In-patient curative care;HF12: Compulsory contributory schemes;2023;12541.0
102;HC11: In-patient curative care;HF121a: Long-term care insurance;2021;0.0
103;HC11: In-patient curative care;HF121a: Long-term care insurance;2022;0.0
104;HC11: In-patient curative care;HF121a: Long-term care insurance;2023;0.0
105;HC11: In-patient curative care;HF121b: Health Insurance Fund;2021;
106;HC11: In-patient curative care;HF121b: Health Insurance Fund;2022;
107;HC11: In-patient curative care;HF121b: Health Insurance Fund;2023;
108;HC11: In-patient curative care;HF122: Compulsory private insurance;2021;11567.0
109;HC11: In-patient curative care;HF122: Compulsory private insurance;2022;11694.0
110;HC11: In-patient curative care;HF122: Compulsory private insurance;2023;12541.0
111;HC11: In-patient curative care;Voluntary schemes (incl. OOP);2021;792.0
112;HC11: In-patient curative care;Voluntary schemes (incl. OOP);2022;853.0
113;HC11: In-patient curative care;Voluntary schemes (incl. OOP);2023;875.0
114;HC11: In-patient curative care;HF2: Voluntary schemes;2021;12.0
115;HC11: In-patient curative care;HF2: Voluntary schemes;2022;22.0
116;HC11: In-patient curative care;HF2: Voluntary schemes;2023;23.0
117;HC11: In-patient curative care;HF21: Voluntary health insurance schemes;2021;12.0
118;HC11: In-patient curative care;HF21: Voluntary health insurance schemes;2022;22.0
119;HC11: In-patient curative care;HF21: Voluntary health insurance schemes;2023;23.0
120;HC11: In-patient curative care;HF22: Financing schemes NPISH;2021;0.0
121;HC11: In-patient curative care;HF22: Financing schemes NPISH;2022;0.0
122;HC11: In-patient curative care;HF22: Financing schemes NPISH;2023;0.0
123;HC11: In-patient curative care;HF23: Enterprise financing schemes;2021;0.0
124;HC11: In-patient curative care;HF23: Enterprise financing schemes;2022;0.0
125;HC11: In-patient curative care;HF23: Enterprise financing schemes;2023;0.0
126;HC11: In-patient curative care;HF3: Household out-of-pocket payments;2021;780.0
127;HC11: In-patient curative care;HF3: Household out-of-pocket payments;2022;831.0
128;HC11: In-patient curative care;HF3: Household out-of-pocket payments;2023;853.0
129;HC11: In-patient curative care;HF31: Out-of-pocket excl cost sharing;2021;41.0
130;HC11: In-patient curative care;HF31: Out-of-pocket excl cost sharing;2022;68.0
131;HC11: In-patient curative care;HF31: Out-of-pocket excl cost sharing;2023;65.0
132;HC11: In-patient curative care;HF32: Cost sharing;2021;739.0
133;HC11: In-patient curative care;HF32: Cost sharing;2022;763.0
134;HC11: In-patient curative care;HF32: Cost sharing;2023;788.0
135;HC12: Day cases of curative care;Total financing of residents;2021;2685.0
136;HC12: Day cases of curative care;Total financing of residents;2022;2911.0
137;HC12: Day cases of curative care;Total financing of residents;2023;3161.0
138;HC12: Day cases of curative care;HF1: Government, comp. contr. schemes;2021;2507.0
139;HC12: Day cases of curative care;HF1: Government, comp. contr. schemes;2022;2717.0
140;HC12: Day cases of curative care;HF1: Government, comp. contr. schemes;2023;2960.0
141;HC12: Day cases of curative care;HF11: Government schemes;2021;75.0
142;HC12: Day cases of curative care;HF11: Government schemes;2022;59.0
143;HC12: Day cases of curative care;HF11: Government schemes;2023;72.0
144;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2021;2432.0
145;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2022;2658.0
146;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2023;2889.0
147;HC12: Day cases of curative care;HF121a: Long-term care insurance;2021;0.0
148;HC12: Day cases of curative care;HF121a: Long-term care insurance;2022;0.0
149;HC12: Day cases of curative care;HF121a: Long-term care insurance;2023;0.0
150;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2021;
151;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2022;
152;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2023;
153;HC12: Day cases of curative care;HF122: Compulsory private insurance;2021;2432.0
154;HC12: Day cases of curative care;HF122: Compulsory private insurance;2022;2658.0
155;HC12: Day cases of curative care;HF122: Compulsory private insurance;2023;2889.0
156;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2021;178.0
157;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2022;194.0
158;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2023;200.0
159;HC12: Day cases of curative care;HF2: Voluntary schemes;2021;3.0
160;HC12: Day cases of curative care;HF2: Voluntary schemes;2022;4.0
161;HC12: Day cases of curative care;HF2: Voluntary schemes;2023;4.0
162;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2021;3.0
163;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2022;4.0
164;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2023;4.0
165;HC12: Day cases of curative care;HF22: Financing schemes NPISH;2021;0.0
166;HC12: Day cases of curative care;HF22: Financing schemes NPISH;2022;0.0
167;HC12: Day cases of curative care;HF22: Financing schemes NPISH;2023;0.0
168;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2021;0.0
169;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2022;0.0
170;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2023;0.0
171;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2021;175.0
172;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2022;190.0
173;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2023;197.0
174;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2021;0.0
175;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2022;0.0
176;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2023;0.0
177;HC12: Day cases of curative care;HF32: Cost sharing;2021;175.0
178;HC12: Day cases of curative care;HF32: Cost sharing;2022;190.0
179;HC12: Day cases of curative care;HF32: Cost sharing;2023;197.0
180;HC13: Outpatient curative care;Total financing of residents;2021;25901.0
181;HC13: Outpatient curative care;Total financing of residents;2022;27224.0
182;HC13: Outpatient curative care;Total financing of residents;2023;29717.0
183;HC13: Outpatient curative care;HF1: Government, comp. contr. schemes;2021;20859.0
184;HC13: Outpatient curative care;HF1: Government, comp. contr. schemes;2022;21575.0
185;HC13: Outpatient curative care;HF1: Government, comp. contr. schemes;2023;23615.0
