ID;Geslacht;Migratieachtergrond;GestandaardiseerdInkomen;WoonsituatieKind;Perioden;EindtoetsGemiddeldeTotaalscore_1;Taal_2;RekenenWiskunde_3;Studievaardigheden_4
0;Totaal jongens en meisjes;Totaal;Totaal;Totaal ;2005/'06;535.0;8.0;1.0;2.0
1;Totaal jongens en meisjes;Totaal;Totaal;Totaal ;2006/'07;535.0;2.0;2.0;2.0
2;Totaal jongens en meisjes;Totaal;Totaal;Totaal ;2007/'08;535.0;2.0;2.0;2.0
3;Totaal jongens en meisjes;Totaal;Totaal;Totaal ;2008/'09;535.0;2.0;1.0;2.0
4;Totaal jongens en meisjes;Totaal;Totaal;Totaal ;2009/'10;535.0;2.0;1.0;2.0
5;Totaal jongens en meisjes;Totaal;Totaal;Totaal ;2010/'11;536.0;2.0;1.0;2.0
6;Totaal jongens en meisjes;Totaal;Totaal;Totaal ;2011/'12;535.0;1.0;1.0;1.0
7;Totaal jongens en meisjes;Totaal;Totaal;Totaal ;2012/'13;535.0;0.0;0.0;0.0
8;Totaal jongens en meisjes;Totaal;Totaal;Totaal ;2013/'14;535.0;0.0;0.0;1.0
9;Totaal jongens en meisjes;Totaal;Totaal;Totaal ;2014/'15;535.0;1.0;1.0;
10;Totaal jongens en meisjes;Totaal;Totaal;Totaal ;2015/'16;535.0;1.0;1.0;
11;Totaal jongens en meisjes;Totaal;Totaal;Totaal ;2016/'17;535.0;1.0;1.0;
12;Totaal jongens en meisjes;Totaal;Totaal;Woont met beide juridische ouders;2005/'06;535.0;13.0;7.0;7.0
13;Totaal jongens en meisjes;Totaal;Totaal;Woont met beide juridische ouders;2006/'07;536.0;6.0;7.0;7.0
14;Totaal jongens en meisjes;Totaal;Totaal;Woont met beide juridische ouders;2007/'08;536.0;7.0;7.0;7.0
15;Totaal jongens en meisjes;Totaal;Totaal;Woont met beide juridische ouders;2008/'09;536.0;7.0;7.0;8.0
16;Totaal jongens en meisjes;Totaal;Totaal;Woont met beide juridische ouders;2009/'10;536.0;7.0;7.0;8.0
17;Totaal jongens en meisjes;Totaal;Totaal;Woont met beide juridische ouders;2010/'11;536.0;7.0;7.0;8.0
