ID;Geslacht;Leeftijd;IndicatieGrondslag;IndicatieZZV;GebruikZZV;Persoonskenmerken;Perioden;PersMetIndicatieGebruikInJaar_1;PersMetIndicatieGebruikInJaar_2;PersMetIndicatieGebruikOpPeildatum_3;UrenInJaar_4;DagdelenInJaar_5
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal;2009;813810.0;4.83;621395.0;;
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal;2010;870055.0;5.14;656950.0;;
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal;2011;904490.0;5.32;693740.0;;
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal;2012;907130.0;5.31;703040.0;;
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal;2013;893120.0;5.21;686495.0;;
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal;2014;884725.0;5.14;691420.0;;
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Huishouden: eenpersoonshuishouden;2009;412555.0;15.45;345070.0;;
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Huishouden: eenpersoonshuishouden;2010;429420.0;15.73;358525.0;;
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Huishouden: eenpersoonshuishouden;2011;447820.0;16.08;378035.0;;
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Huishouden: eenpersoonshuishouden;2012;456100.0;16.15;386380.0;;
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Huishouden: eenpersoonshuishouden;2013;456935.0;16.04;379835.0;;
