ID;KenmerkenNISBehandelingen;Perioden;NietIngesteldeGestaakteBehandelingen_1;Per100OverledenenDoorNIS_2;Per100TotaalNISBehandelingen_3
0;1;1995;12584;100.0;
1;1;2001;13718;100.0;
2;2;1995;5909;47.0;
3;2;2001;6692;48.8;
4;3;1995;3270;26.0;
5;3;2001;4743;34.6;
6;4;1995;1253;10.0;
7;4;2001;1861;13.6;
8;5;1995;1147;9.1;
9;5;2001;1044;7.6;
10;6;1995;548;4.4;
11;6;2001;713;5.2;
12;7;1995;1890;15.0;
13;7;2001;3496;25.5;
14;8;1995;1775;14.1;
15;8;2001;1501;10.9;
16;9;1995;15948;126.7;100.0
17;9;2001;23866;174.0;100.0
18;Totaal medicatie;1995;7146;56.8;44.8
19;Totaal medicatie;2001;9175;66.9;38.4
20;Antimicrobieel;1995;3151;25.0;19.8
21;Antimicrobieel;2001;3123;22.8;13.1
22;Hart- en vaatmiddelen;1995;1458;11.6;9.1
23;Hart- en vaatmiddelen;2001;2203;16.1;9.2
24;Corticosteroïden;1995;262;2.1;1.6
25;Corticosteroïden;2001;375;2.7;1.6
26;Antidiabetica (incl. insuline);1995;303;2.4;1.9
27;Antidiabetica (incl. insuline);2001;291;2.1;1.2
28;Longmiddelen;1995;201;1.6;1.3
29;Longmiddelen;2001;123;0.9;0.5
30;Overige / onbekende medicatie;1995;1771;14.1;11.1
31;Overige / onbekende medicatie;2001;3060;22.3;12.8
32;Totaal kunstmatige toed. vocht / voeding;1995;3800;30.2;23.8
33;Totaal kunstmatige toed. vocht / voeding;2001;5656;41.2;23.7
34;Kunstmatige toediening vocht en voeding;1995;499;4.0;3.1
35;Kunstmatige toediening vocht en voeding;2001;3858;28.1;16.2
36;Kunstmatige toediening vocht;1995;817;6.5;5.1
37;Kunstmatige toediening vocht;2001;1601;11.7;6.7
38;Kunstmatige toediening voeding;1995;2484;19.7;15.6
39;Kunstmatige toediening voeding;2001;197;1.4;0.8
40;Totaal kunstmatige beademing;1995;1253;10.0;7.9
41;Totaal kunstmatige beademing;2001;1874;13.7;7.9
42;Totaal operaties en ingrepen;1995;1146;9.1;7.2
43;Totaal operaties en ingrepen;2001;1067;7.8;4.5
44;Buik;1995;412;3.3;2.6
45;Buik;2001;419;3.1;1.8
46;Extremiteiten;1995;163;1.3;1.0
47;Extremiteiten;2001;171;1.2;0.7
48;Hoofd en / of hals;1995;44;0.3;0.3
49;Hoofd en / of hals;2001;91;0.7;0.4
50;Overige / onbekende operaties / ingrepen;1995;527;4.2;3.3
51;Overige / onbekende operaties / ingrepen;2001;386;2.8;1.6
52;Totaal oncotherapie;1995;608;4.8;3.8
53;Totaal oncotherapie;2001;841;6.1;3.5
54;Chemotherapie;1995;408;3.2;2.6
55;Chemotherapie;2001;470;3.4;2.0
56;Radiotherapie;1995;200;1.6;1.3
57;Radiotherapie;2001;234;1.7;1.0
58;Overige oncotherapie;1995;0;0.0;0.0
59;Overige oncotherapie;2001;137;1.0;0.6
60;Totaal overige behandelingen;1995;1995;15.9;12.5
61;Totaal overige behandelingen;2001;5253;38.3;22.0
62;Opname;1995;694;5.5;4.4
63;Opname;2001;1199;8.7;5.0
64;Diagnostiek;1995;400;3.2;2.5
65;Diagnostiek;2001;575;4.2;2.4
66;Dialyse;1995;269;2.1;1.7
67;Dialyse;2001;548;4.0;2.3
68;Bloed / bloedprodukten;1995;362;2.9;2.3
69;Bloed / bloedprodukten;2001;459;3.3;1.9
70;Andere overige / onbekende behandelingen;1995;270;2.1;1.7
71;Andere overige / onbekende behandelingen;2001;2472;18.0;10.4
